,Rank,Name,G,Att,Comp,Pct.,Yards,Yards/Att,TD,Int,Rating,Att/G,Yards/G
0,1,Michigan,13,328,143,43.6,1853,5.6,11,13,94.19,25.2,142.5
1,2,Florida,13,328,148,45.1,1931,5.9,8,16,92.86,25.2,148.5
2,3,Temple,14,342,182,53.2,2130,6.2,13,12,111.06,24.4,152.1
3,4,Nevada,12,240,142,59.2,1901,7.9,12,5,138.04,20.0,158.4
4,5,Fresno State,12,271,160,59.0,2012,7.4,21,5,143.28,22.6,167.7
5,6,Army,13,338,191,56.5,2213,6.5,14,17,115.11,26.0,170.2
6,7,Ohio State,13,401,196,48.9,2239,5.6,11,21,94.37,30.8,172.2
7,8,Georgia State,12,355,193,54.4,2087,5.9,8,11,104.99,29.6,173.9
8,9,South Alabama,13,313,188,60.1,2270,7.3,14,10,129.35,24.1,174.6
9,10,Southern Mississippi,13,312,170,54.5,2274,7.3,19,10,129.40,24.0,174.9
10,11,Utah State,12,314,181,57.6,2118,6.7,20,7,130.86,26.2,176.5
11,12,North Carolina,13,328,183,55.8,2350,7.2,11,1,126.44,25.2,180.8
12,13,Buffalo,12,284,163,57.4,2178,7.7,15,5,135.72,23.7,181.5
13,14,Clemson,15,483,252,52.2,2728,5.6,13,20,100.21,32.2,181.9
14,15,Washington,14,449,257,57.2,2561,5.7,13,19,106.24,32.1,182.9
15,16,Georgia,13,339,200,59.0,2389,7.0,14,15,122.97,26.1,183.8
16,17,Illinois,12,308,194,63.0,2231,7.2,11,7,131.07,25.7,185.9
17,18,Rutgers,12,295,172,58.3,2238,7.6,21,8,140.10,24.6,186.5
18,19,San Jose State,12,266,160,60.2,2263,8.5,18,10,146.43,22.2,188.6
19,20,Colorado,14,472,235,49.8,2710,5.7,18,15,104.25,33.7,193.6
20,21,Notre Dame,12,313,193,61.7,2357,7.5,14,8,134.56,26.1,196.4
21,22,Kent State,12,353,183,51.8,2361,6.7,16,12,116.18,29.4,196.8
22,23,LSU,12,364,194,53.3,2366,6.5,9,9,111.11,30.3,197.2
23,24,Alabama,15,507,273,53.8,2968,5.9,15,16,106.47,33.8,197.9
24,25,Western Michigan,14,395,223,56.5,2801,7.1,17,15,122.63,28.2,200.1
25,26,Virginia Tech,14,431,216,50.1,2803,6.5,18,16,111.11,30.8,200.2
26,26,North Texas,13,354,182,51.4,2603,7.4,20,14,123.92,27.2,200.2
27,28,UCF,13,432,223,51.6,2610,6.0,16,15,107.65,33.2,200.8
28,29,Iowa,13,401,202,50.4,2618,6.5,18,9,115.53,30.8,201.4
29,30,Wisconsin,14,436,229,52.5,2836,6.5,13,22,106.91,31.1,202.6
30,31,Appalachian State,13,444,255,57.4,2649,6.0,12,20,107.45,34.2,203.8
31,32,Colorado State,13,315,185,58.7,2668,8.5,18,8,143.66,24.2,205.2
32,33,Tulane,12,344,187,54.4,2463,7.2,17,12,123.83,28.7,205.3
33,34,Boston College,13,381,213,55.9,2673,7.0,28,12,132.79,29.3,205.6
34,35,Kentucky,13,352,202,57.4,2679,7.6,20,13,132.68,27.1,206.1
35,36,Michigan State,12,332,198,59.6,2474,7.5,19,8,136.31,27.7,206.2
36,37,Louisville,13,411,224,54.5,2692,6.5,29,15,125.50,31.6,207.1
37,38,Purdue,12,315,187,59.4,2489,7.9,22,12,141.18,26.3,207.4
38,39,South Carolina,13,403,243,60.3,2713,6.7,20,15,125.79,31.0,208.7
39,40,Miami (Ohio),13,408,238,58.3,2715,6.7,15,14,119.49,31.4,208.8
40,41,UTEP,12,346,210,60.7,2508,7.2,26,6,142.91,28.8,209.0
41,42,San Diego State,14,445,240,53.9,2936,6.6,24,26,115.46,31.8,209.7
42,43,UCLA,12,441,245,55.6,2526,5.7,12,15,105.86,36.8,210.5
43,44,Oregon State,12,402,226,56.2,2534,6.3,15,7,118.00,33.5,211.2
44,45,Maryland,13,394,221,56.1,2760,7.0,19,5,128.30,30.3,212.3
45,46,Boise State,13,442,268,60.6,2769,6.3,19,7,124.28,34.0,213.0
46,47,Miami (Florida),13,446,262,58.7,2779,6.2,17,8,120.07,34.3,213.8
47,48,Mississippi,12,350,206,58.9,2579,7.4,15,8,130.33,29.2,214.9
48,49,Nebraska,13,422,254,60.2,2806,6.6,16,16,120.97,32.5,215.8
49,50,Penn State,14,472,292,61.9,3033,6.4,18,10,124.19,33.7,216.6
50,51,Arkansas State,13,424,230,54.2,2853,6.7,15,11,117.26,32.6,219.5
51,51,Houston,13,419,235,56.1,2853,6.8,19,7,124.92,32.2,219.5
52,53,Indiana,13,417,219,52.5,2856,6.8,17,13,117.26,32.1,219.7
