,Rank,Name,G,TFL,TFL Yards,TFL/G
0,1,Clemson,15,130.0,551,8.67
1,2,Arkansas State,13,125.0,441,9.62
2,3,Michigan,13,120.0,493,9.23
3,4,Alabama,15,118.0,615,7.87
4,5,Penn State,14,114.0,445,8.14
5,6,Virginia Tech,14,113.0,421,8.07
6,7,Texas A&M,13,111.0,437,8.54
7,8,Miami (Florida),13,108.0,409,8.31
8,9,Boston College,13,106.0,523,8.15
9,10,Ohio,14,105.0,452,7.50
10,11,Temple,14,103.0,432,7.36
11,11,UCF,13,103.0,415,7.92
12,13,Utah,13,102.0,391,7.85
13,14,Minnesota,13,101.0,407,7.77
14,15,Houston,13,100.0,429,7.69
15,15,Tennessee,13,100.0,371,7.69
16,17,Baylor,13,98.0,391,7.54
17,18,Indiana,13,97.0,354,7.46
18,19,Florida State,13,95.0,431,7.31
19,19,Illinois,12,95.0,320,7.92
20,21,Wake Forest,13,94.0,419,7.23
21,21,Southern Mississippi,13,94.0,410,7.23
22,21,Louisville,13,94.0,391,7.23
23,24,Troy,13,92.0,358,7.08
24,24,Hawai'i,14,92.0,328,6.57
25,26,Texas,12,91.0,427,7.58
26,26,Washington,14,91.0,347,6.50
27,26,South Alabama,13,91.0,317,7.00
28,29,Pittsburgh,13,90.0,411,6.92
29,29,Kansas,12,90.0,340,7.50
30,29,Oklahoma State,13,90.0,339,6.92
31,32,North Carolina State,13,89.0,388,6.85
32,33,Louisiana Tech,14,88.0,406,6.29
33,33,Western Kentucky,14,88.0,322,6.29
34,35,Maryland,13,87.0,368,6.69
35,35,Ohio State,13,87.0,357,6.69
36,35,Tulane,12,87.0,327,7.25
37,38,TCU,13,85.0,383,6.54
38,38,Arizona State,12,85.0,324,7.08
39,40,Ball State,12,84.0,295,7.00
40,41,Auburn,13,83.0,313,6.39
41,42,Colorado State,13,82.0,324,6.31
42,43,Tulsa,13,81.0,348,6.23
43,43,Mississippi State,13,81.0,277,6.23
44,45,Florida,13,80.0,341,6.15
45,45,Boise State,13,80.0,296,6.15
46,45,Iowa State,12,80.0,234,6.67
47,48,Wyoming,14,79.0,367,5.64
48,48,Louisiana-Lafayette,13,79.0,347,6.08
49,48,Old Dominion,13,79.0,341,6.08
50,48,Duke,12,79.0,317,6.58
51,48,South Florida,13,79.0,305,6.08
52,53,LSU,12,78.0,348,6.50
53,53,Western Michigan,14,78.0,280,5.57
54,55,Northwestern,13,77.0,328,5.92
55,55,UTSA,13,77.0,301,5.92
56,57,San Diego State,14,76.0,341,5.43
57,57,Appalachian State,13,76.0,286,5.85
58,59,Wisconsin,14,74.0,306,5.29
59,59,Toledo,13,74.0,294,5.69
60,59,BYU,13,74.0,282,5.69
61,59,Memphis,13,74.0,274,5.69
62,63,North Texas,13,73.0,307,5.62
63,63,Northern Illinois,12,73.0,281,6.08
64,63,New Mexico,13,73.0,275,5.62
65,63,New Mexico State,12,73.0,237,6.08
66,67,SMU,12,72.0,343,6.00
67,67,Stanford,13,72.0,327,5.54
68,67,Army,13,72.0,275,5.54
69,67,Washington State,13,72.0,269,5.54
70,67,Missouri,12,72.0,267,6.00
71,72,Air Force,13,71.0,319,5.46
72,72,USC,13,71.0,315,5.46
73,72,Cincinnati,12,71.0,225,5.92
74,75,Kansas State,13,70.0,311,5.39
75,75,South Carolina,13,70.0,300,5.39
76,75,Massachusetts,12,70.0,280,5.83
77,75,Buffalo,12,70.0,276,5.83
78,75,Marshall,12,70.0,254,5.83
79,75,Rice,12,70.0,253,5.83
80,75,Central Michigan,13,70.0,248,5.39
81,82,Kentucky,13,69.0,277,5.31
82,82,Kent State,12,69.0,258,5.75
83,82,San Jose State,12,69.0,253,5.75
84,85,Colorado,14,68.0,373,4.86
85,85,Louisiana-Monroe,12,68.0,290,5.67
86,85,Middle Tennessee,13,68.0,272,5.23
87,85,Mississippi,12,68.0,265,5.67
88,85,Miami (Ohio),13,68.0,265,5.23
89,85,Nebraska,13,68.0,246,5.23
90,85,Oklahoma,13,68.0,244,5.23
91,85,Vanderbilt,13,68.0,201,5.23
92,93,Purdue,12,67.0,315,5.58
93,93,North Carolina,13,67.0,294,5.15
94,93,Georgia Southern,12,67.0,237,5.58
95,93,Utah State,12,67.0,236,5.58
96,97,Akron,12,66.0,229,5.50
97,97,Virginia,12,66.0,229,5.50
98,97,Rutgers,12,66.0,207,5.50
99,100,Idaho,13,65.0,281,5.00
100,100,Florida Atlantic,12,65.0,233,5.42
101,100,UCLA,12,65.0,210,5.42
102,103,UNLV,12,63.0,225,5.25
103,103,Texas State,12,63.0,177,5.25
104,105,Georgia,13,62.0,284,4.77
105,106,Oregon,12,61.0,263,5.08
106,106,West Virginia,13,61.0,238,4.69
107,106,Notre Dame,12,61.0,217,5.08
108,106,Eastern Michigan,13,61.0,214,4.69
109,110,Iowa,13,60.0,247,4.62
110,111,Arkansas,13,59.0,286,4.54
111,111,Arizona,12,59.0,237,4.92
112,113,Syracuse,12,58.0,261,4.83
113,114,Georgia Tech,13,57.0,164,4.39
114,115,Navy,14,56.0,249,4.00
115,115,Michigan State,12,56.0,197,4.67
116,115,Fresno State,12,56.0,190,4.67
117,118,Bowling Green,12,55.0,252,4.58
118,118,Nevada,12,55.0,203,4.58
119,118,Connecticut,12,55.0,186,4.58
120,121,East Carolina,12,54.0,154,4.50
121,122,Oregon State,12,52.0,177,4.33
122,123,California,12,51.0,192,4.25
123,124,Charlotte,12,49.0,170,4.08
124,125,Texas Tech,12,47.0,147,3.92
125,126,Georgia State,12,46.0,204,3.83
126,126,UTEP,12,46.0,175,3.83
127,128,Florida International,12,45.0,155,3.75
