,Rank,Name,G,Punts,Yards,Avg.,Punts/G,Yards/G
0,1,Marshall,12,47,1729,36.79,3.9,144.1
1,2,Maryland,13,71,2637,37.14,5.5,202.8
2,3,Army,13,62,2304,37.16,4.8,177.2
3,4,Idaho,13,53,1985,37.45,4.1,152.7
4,5,Georgia Southern,12,55,2072,37.67,4.6,172.7
5,6,Fresno State,12,68,2574,37.85,5.7,214.5
6,7,Ball State,12,61,2311,37.89,5.1,192.6
7,8,Miami (Ohio),13,61,2315,37.95,4.7,178.1
8,9,Charlotte,12,57,2167,38.02,4.8,180.6
9,10,Massachusetts,12,55,2099,38.16,4.6,174.9
10,11,Michigan,13,88,3363,38.22,6.8,258.7
11,12,Louisiana-Monroe,12,44,1689,38.39,3.7,140.8
12,13,Temple,14,81,3110,38.40,5.8,222.1
13,14,Rutgers,12,59,2275,38.56,4.9,189.6
14,14,Iowa,13,80,3085,38.56,6.2,237.3
15,16,Buffalo,12,49,1903,38.84,4.1,158.6
16,16,Akron,12,51,1981,38.84,4.3,165.1
17,18,Illinois,12,52,2024,38.92,4.3,168.7
18,19,Indiana,13,81,3159,39.00,6.2,243.0
19,20,Florida International,12,52,2034,39.12,4.3,169.5
20,20,Eastern Michigan,13,69,2699,39.12,5.3,207.6
21,22,Georgia Tech,13,48,1879,39.15,3.7,144.5
22,23,Kansas State,13,61,2393,39.23,4.7,184.1
23,24,Louisiana-Lafayette,13,68,2669,39.25,5.2,205.3
24,25,Minnesota,13,77,3024,39.27,5.9,232.6
25,26,Auburn,13,72,2831,39.32,5.5,217.8
26,27,Arizona State,12,61,2399,39.33,5.1,199.9
27,27,UCF,13,90,3540,39.33,6.9,272.3
28,29,Virginia,12,56,2207,39.41,4.7,183.9
29,30,Troy,13,76,2996,39.42,5.8,230.5
30,31,Stanford,13,63,2488,39.49,4.8,191.4
31,32,South Alabama,13,60,2370,39.50,4.6,182.3
32,33,Texas,12,77,3043,39.52,6.4,253.6
33,34,Connecticut,12,58,2295,39.57,4.8,191.3
34,35,Oregon State,12,56,2217,39.59,4.7,184.8
35,36,Toledo,13,86,3409,39.64,6.6,262.2
36,37,Air Force,13,65,2578,39.66,5.0,198.3
37,38,East Carolina,12,58,2304,39.72,4.8,192.0
38,39,Ohio,14,80,3184,39.80,5.7,227.4
39,39,Baylor,13,81,3224,39.80,6.2,248.0
40,41,Central Michigan,13,66,2632,39.88,5.1,202.5
41,42,Cincinnati,12,56,2242,40.04,4.7,186.8
42,43,Tulane,12,71,2845,40.07,5.9,237.1
43,44,California,12,51,2047,40.14,4.3,170.6
44,45,Utah State,12,61,2449,40.15,5.1,204.1
45,46,Purdue,12,57,2290,40.18,4.8,190.8
46,47,Penn State,14,80,3215,40.19,5.7,229.6
47,48,Pittsburgh,13,65,2616,40.25,5.0,201.2
48,49,Rice,12,57,2296,40.28,4.8,191.3
49,50,Western Kentucky,14,81,3269,40.36,5.8,233.5
50,51,Texas State,12,62,2505,40.40,5.2,208.8
51,52,Ohio State,13,83,3356,40.43,6.4,258.2
52,53,North Texas,13,50,2022,40.44,3.8,155.5
53,54,Old Dominion,13,59,2387,40.46,4.5,183.6
54,54,Missouri,12,67,2711,40.46,5.6,225.9
55,56,Michigan State,12,61,2470,40.49,5.1,205.8
56,57,Wake Forest,13,74,2997,40.50,5.7,230.5
57,58,Nebraska,13,66,2675,40.53,5.1,205.8
58,59,Appalachian State,13,75,3045,40.60,5.8,234.2
59,60,Syracuse,12,61,2479,40.64,5.1,206.6
60,61,UTSA,13,67,2724,40.66,5.2,209.5
61,61,West Virginia,13,68,2765,40.66,5.2,212.7
62,63,Miami (Florida),13,79,3215,40.70,6.1,247.3
63,64,UNLV,12,53,2159,40.74,4.4,179.9
64,65,North Carolina State,13,64,2618,40.91,4.9,201.4
65,65,Louisville,13,94,3846,40.91,7.2,295.8
66,67,Kansas,12,60,2455,40.92,5.0,204.6
67,67,Boston College,13,86,3519,40.92,6.6,270.7
68,69,Florida Atlantic,12,53,2173,41.00,4.4,181.1
69,70,San Jose State,12,56,2297,41.02,4.7,191.4
70,71,Northern Illinois,12,75,3085,41.13,6.3,257.1
71,72,Navy,14,37,1524,41.19,2.6,108.9
72,72,Boise State,13,72,2966,41.19,5.5,228.2
73,74,Texas A&M,13,74,3050,41.22,5.7,234.6
74,75,Virginia Tech,14,98,4041,41.23,7.0,288.6
75,76,Houston,13,91,3753,41.24,7.0,288.7
76,77,SMU,12,59,2434,41.25,4.9,202.8
77,78,Notre Dame,12,62,2561,41.31,5.2,213.4
78,79,Kentucky,13,60,2480,41.33,4.6,190.8
79,80,Vanderbilt,13,61,2525,41.39,4.7,194.2
80,81,New Mexico State,12,49,2032,41.47,4.1,169.3
81,82,Nevada,12,42,1743,41.50,3.5,145.3
82,83,Georgia State,12,58,2411,41.57,4.8,200.9
83,84,Oklahoma State,13,73,3036,41.59,5.6,233.5
84,85,Tulsa,13,86,3580,41.63,6.6,275.4
85,86,Florida,13,78,3249,41.65,6.0,249.9
86,87,Washington State,13,62,2584,41.68,4.8,198.8
87,88,San Diego State,14,83,3460,41.69,5.9,247.1
88,89,Northwestern,13,68,2837,41.72,5.2,218.2
89,90,BYU,13,61,2550,41.80,4.7,196.2
90,91,South Florida,13,68,2843,41.81,5.2,218.7
91,92,Wisconsin,14,76,3178,41.82,5.4,227.0
92,92,Arkansas State,13,87,3638,41.82,6.7,279.8
93,94,Colorado State,13,63,2635,41.83,4.8,202.7
94,95,Oregon,12,55,2301,41.84,4.6,191.8
