,Rank,Name,G,TFL,TFL Yards,TFL/G
0,1,Missouri,12,36.0,154,3.00
1,2,Eastern Michigan,13,43.0,144,3.31
2,3,Louisiana Tech,14,53.0,232,3.79
3,4,Georgia State,12,55.0,216,4.58
4,5,California,12,56.0,231,4.67
5,5,Mississippi,12,56.0,241,4.67
6,7,Western Michigan,14,57.0,176,4.07
7,7,Ball State,12,57.0,202,4.75
8,7,Army,13,57.0,213,4.39
9,7,Buffalo,12,57.0,234,4.75
10,11,USC,13,58.0,206,4.46
11,11,Old Dominion,13,58.0,213,4.46
12,11,Oregon State,12,58.0,244,4.83
13,14,Navy,14,59.0,195,4.21
14,15,UNLV,12,60.0,202,5.00
15,15,Air Force,13,60.0,224,4.62
16,15,Western Kentucky,14,60.0,242,4.29
17,18,Colorado State,13,61.0,208,4.69
18,18,Illinois,12,61.0,227,5.08
19,18,Washington State,13,61.0,257,4.69
20,21,Baylor,13,62.0,196,4.77
21,21,Middle Tennessee,13,62.0,217,4.77
22,21,North Carolina State,13,62.0,231,4.77
23,21,Iowa State,12,62.0,239,5.17
24,21,Cincinnati,12,62.0,252,5.17
25,26,Northern Illinois,12,64.0,166,5.33
26,26,BYU,13,64.0,232,4.92
27,26,Florida Atlantic,12,64.0,236,5.33
28,26,Tulsa,13,64.0,240,4.92
29,26,Notre Dame,12,64.0,273,5.33
30,26,Hawai'i,14,64.0,274,4.57
31,32,Nebraska,13,65.0,253,5.00
32,32,Nevada,12,65.0,262,5.42
33,34,New Mexico,13,66.0,204,5.08
34,34,Troy,13,66.0,220,5.08
35,34,Oklahoma,13,66.0,236,5.08
36,34,Texas,12,66.0,242,5.50
37,34,Ohio State,13,66.0,251,5.08
38,39,Toledo,13,67.0,192,5.15
39,39,Idaho,13,67.0,237,5.15
40,39,Florida International,12,67.0,240,5.58
41,39,Washington,14,67.0,256,4.79
42,39,Texas Tech,12,67.0,378,5.58
43,44,Mississippi State,13,68.0,240,5.23
44,44,Bowling Green,12,68.0,288,5.67
45,44,Iowa,13,68.0,302,5.23
46,47,Purdue,12,69.0,261,5.75
47,48,LSU,12,70.0,230,5.83
48,48,Minnesota,13,70.0,233,5.39
49,48,Boise State,13,70.0,269,5.39
50,48,UCLA,12,70.0,271,5.83
51,48,Georgia Tech,13,70.0,275,5.39
52,48,Texas A&M,13,70.0,303,5.39
53,48,Florida,13,70.0,317,5.39
54,48,Virginia,12,70.0,327,5.83
55,48,Central Michigan,13,70.0,339,5.39
56,57,South Florida,13,71.0,258,5.46
57,57,Wyoming,14,71.0,311,5.07
58,59,Louisiana-Monroe,12,72.0,219,6.00
59,59,Kansas,12,72.0,277,6.00
60,59,Stanford,13,72.0,309,5.54
61,59,Tennessee,13,72.0,339,5.54
62,59,UTEP,12,72.0,345,6.00
63,64,Pittsburgh,13,73.0,228,5.62
64,64,Michigan State,12,73.0,242,6.08
65,64,Auburn,13,73.0,255,5.62
66,64,Tulane,12,73.0,256,6.08
67,64,Duke,12,73.0,278,6.08
68,64,Miami (Florida),13,73.0,286,5.62
69,64,Rice,12,73.0,301,6.08
70,64,Utah State,12,73.0,306,6.08
71,64,Arizona,12,73.0,311,6.08
72,73,Oregon,12,74.0,287,6.17
73,74,Appalachian State,13,75.0,235,5.77
74,74,Clemson,15,75.0,256,5.00
75,74,Kentucky,13,75.0,294,5.77
76,74,West Virginia,13,75.0,299,5.77
77,74,SMU,12,75.0,301,6.25
78,74,TCU,13,75.0,311,5.77
79,74,Miami (Ohio),13,75.0,331,5.77
80,81,Wake Forest,13,77.0,382,5.92
81,81,Massachusetts,12,77.0,387,6.42
82,83,Akron,12,78.0,264,6.50
83,83,Vanderbilt,13,78.0,319,6.00
84,85,Colorado,14,80.0,283,5.71
85,85,Kansas State,13,80.0,285,6.15
86,85,Marshall,12,80.0,326,6.67
87,85,South Alabama,13,80.0,343,6.15
88,89,North Carolina,13,81.0,307,6.23
89,90,Georgia,13,82.0,305,6.31
90,90,Utah,13,82.0,306,6.31
91,90,Oklahoma State,13,82.0,311,6.31
92,90,Charlotte,12,82.0,322,6.83
93,94,Wisconsin,14,83.0,269,5.93
94,94,Louisville,13,83.0,430,6.39
95,96,Ohio,14,84.0,273,6.00
96,97,Georgia Southern,12,86.0,272,7.17
97,97,San Diego State,14,86.0,291,6.14
98,97,Virginia Tech,14,86.0,298,6.14
99,97,Fresno State,12,86.0,305,7.17
100,97,Michigan,13,86.0,306,6.62
101,97,Florida State,13,86.0,426,6.62
102,103,Arkansas,13,87.0,404,6.69
103,104,Penn State,14,89.0,380,6.36
104,105,Arizona State,12,90.0,367,7.50
105,105,Kent State,12,90.0,418,7.50
106,107,East Carolina,12,92.0,367,7.67
107,107,Southern Mississippi,13,92.0,403,7.08
108,109,North Texas,13,93.0,422,7.15
