,Rank,Name,G,Fum. Gain,Int. Gain,Total Gain,Fum. Lost,Int. Lost,Total Lost,Margin,Margin/G
0,1,Washington,14,14,19,33,6,9,15,18,1.29
1,1,Western Michigan,14,11,15,26,4,4,8,18,1.29
2,3,Ohio State,13,6,21,27,5,7,12,15,1.15
3,4,San Diego State,14,3,26,29,9,6,15,14,1.00
4,4,Kansas State,13,9,16,25,7,5,12,13,1.00
5,4,Old Dominion,13,12,11,23,4,6,10,13,1.00
6,7,BYU,13,10,21,31,7,12,19,12,0.92
7,7,Kent State,12,12,12,24,5,8,13,11,0.92
8,9,Wisconsin,14,6,22,28,6,10,16,12,0.86
9,10,Idaho,13,11,17,28,6,11,17,11,0.85
10,10,Oklahoma State,13,11,14,25,10,4,14,11,0.85
11,12,Troy,13,8,22,30,7,13,20,10,0.77
12,13,Tulane,12,15,12,27,10,8,18,9,0.75
13,14,South Florida,13,11,15,26,9,8,17,9,0.69
14,14,Northwestern,13,9,16,25,7,9,16,9,0.69
15,14,Miami (Florida),13,11,8,19,3,7,10,9,0.69
16,17,Alabama,15,13,16,29,10,9,19,10,0.67
17,17,Charlotte,12,7,16,23,9,6,15,8,0.67
18,19,Memphis,13,13,16,29,11,10,21,8,0.62
19,19,Wake Forest,13,15,12,27,6,13,19,8,0.62
20,19,Georgia,13,12,15,27,10,9,19,8,0.62
21,19,Minnesota,13,16,9,25,5,12,17,8,0.62
22,19,Appalachian State,13,1,20,21,5,8,13,8,0.62
23,24,Boston College,13,15,12,27,12,8,20,7,0.54
24,24,South Carolina,13,12,15,27,13,7,20,7,0.54
25,24,Mississippi State,13,9,14,23,6,10,16,7,0.54
26,24,Michigan,13,6,13,19,5,7,12,7,0.54
27,28,Utah,13,13,18,31,17,8,25,6,0.46
28,28,Washington State,13,11,12,23,5,12,17,6,0.46
29,28,Air Force,13,8,15,23,9,8,17,6,0.46
30,28,Iowa,13,9,9,18,2,10,12,6,0.46
31,32,Colorado,14,11,15,26,9,11,20,6,0.43
32,32,Temple,14,13,12,25,6,13,19,6,0.43
33,34,Arkansas State,13,11,11,22,8,9,17,5,0.38
