,Rank,Name,G,Kickoffs,Yards,Avg.,Touchback,Touchback %,Out-Of-Bounds,Onside
0,1,Stanford,13,56,3041,54.30,15,26.79,2,5
1,2,Michigan,13,42,2339,55.69,12,28.57,3,0
2,3,South Florida,13,81,4541,56.06,31,38.27,1,2
3,4,Western Kentucky,14,68,3833,56.37,17,25.00,2,1
4,5,Buffalo,12,77,4408,57.25,21,27.27,2,0
5,6,USC,13,65,3732,57.42,18,27.69,4,0
6,7,San Diego State,14,58,3340,57.59,17,29.31,1,1
7,8,Washington,14,52,2996,57.62,17,32.69,4,3
8,9,Miami (Ohio),13,66,3807,57.68,18,27.27,0,0
9,10,Akron,12,76,4407,57.99,25,32.89,6,1
10,11,Louisiana Tech,14,88,5111,58.08,21,23.86,3,1
11,12,Kansas State,13,56,3277,58.52,15,26.79,1,3
12,13,Indiana,13,76,4465,58.75,19,25.00,4,1
13,14,Minnesota,13,59,3469,58.80,17,28.81,4,3
14,15,East Carolina,12,81,4780,59.01,22,27.16,3,0
15,16,Penn State,14,74,4372,59.08,19,25.68,3,0
16,16,Eastern Michigan,13,74,4372,59.08,21,28.38,0,0
17,18,Toledo,13,67,3961,59.12,17,25.37,0,2
18,19,Appalachian State,13,51,3021,59.24,12,23.53,3,1
19,19,Oregon,12,84,4976,59.24,29,34.52,1,0
20,21,Northern Illinois,12,64,3793,59.27,16,25.00,1,1
21,22,Ball State,12,67,3982,59.43,23,34.33,2,2
22,23,UCLA,12,69,4105,59.49,24,34.78,3,1
23,24,Alabama,15,49,2916,59.51,13,26.53,4,3
24,25,Ohio State,13,50,2976,59.52,20,40.00,0,0
25,26,North Carolina State,13,66,3933,59.59,23,34.85,3,0
26,26,North Texas,13,80,4767,59.59,28,35.00,2,0
27,28,Marshall,12,78,4651,59.63,16,20.51,1,0
28,29,Southern Mississippi,13,70,4175,59.64,14,20.00,2,2
29,30,Central Michigan,13,77,4596,59.69,13,16.88,5,0
30,31,Maryland,13,72,4300,59.72,25,34.72,2,1
31,32,Florida Atlantic,12,86,5138,59.74,17,19.77,5,1
32,33,Old Dominion,13,64,3824,59.75,20,31.25,2,3
33,34,UCF,13,64,3825,59.77,20,31.25,4,1
34,35,Kent State,12,60,3587,59.78,17,28.33,2,2
35,35,Pittsburgh,13,82,4902,59.78,38,46.34,5,6
36,37,Tulsa,13,72,4307,59.82,27,37.50,3,3
37,38,Navy,14,84,5028,59.86,33,39.29,3,3
38,39,Notre Dame,12,62,3714,59.90,21,33.87,1,2
39,40,Western Michigan,14,59,3538,59.97,13,22.03,2,2
40,41,Illinois,12,76,4566,60.08,33,43.42,2,0
41,42,Bowling Green,12,81,4870,60.12,30,37.04,2,1
42,43,Ohio,14,66,3969,60.14,18,27.27,4,0
43,44,Connecticut,12,66,3970,60.15,22,33.33,3,0
44,45,Wake Forest,13,59,3557,60.29,24,40.68,0,1
45,45,Georgia Southern,12,66,3979,60.29,12,18.18,0,0
46,47,Memphis,13,72,4342,60.31,21,29.17,3,1
47,48,Tennessee,13,71,4290,60.42,25,35.21,2,2
48,49,Arkansas State,13,61,3690,60.49,27,44.26,3,1
49,50,Air Force,13,62,3753,60.53,38,61.29,2,1
50,51,Houston,13,60,3633,60.55,23,38.33,0,8
51,52,Army,13,54,3272,60.59,21,38.89,2,1
52,53,New Mexico,13,75,4547,60.63,33,44.00,2,2
53,54,California,12,89,5398,60.65,31,34.83,3,1
54,55,UNLV,12,80,4853,60.66,13,16.25,3,0
55,56,Massachusetts,12,84,5097,60.68,22,26.19,2,0
56,57,South Carolina,13,65,3949,60.75,27,41.54,5,2
57,58,Texas State,12,89,5408,60.76,29,32.58,4,1
58,59,Georgia State,12,63,3830,60.79,26,41.27,2,3
59,60,Northwestern,13,63,3831,60.81,30,47.62,4,2
60,61,TCU,13,73,4440,60.82,28,38.36,0,0
61,62,Colorado State,13,73,4445,60.89,36,49.32,0,2
62,63,South Alabama,13,68,4141,60.90,30,44.12,1,2
63,64,Clemson,15,59,3596,60.95,22,37.29,1,3
64,64,Mississippi State,13,75,4571,60.95,31,41.33,2,2
65,66,Idaho,13,74,4513,60.99,23,31.08,1,4
66,67,Virginia,12,77,4697,61.00,38,49.35,1,1
67,68,Wisconsin,14,52,3173,61.02,23,44.23,3,1
68,69,Louisiana-Monroe,12,87,5311,61.05,39,44.83,4,1
69,70,Oklahoma,13,71,4342,61.15,31,43.66,3,2
70,70,Charlotte,12,78,4770,61.15,23,29.49,3,2
71,72,Iowa State,12,72,4406,61.19,25,34.72,2,0
72,73,Arkansas,13,72,4407,61.21,33,45.83,2,2
73,74,Oregon State,12,70,4286,61.23,28,40.00,3,0
74,75,Florida International,12,76,4656,61.26,29,38.16,2,1
75,76,Rice,12,78,4779,61.27,40,51.28,4,2
76,77,Baylor,13,75,4596,61.28,33,44.00,4,0
77,77,Rutgers,12,81,4964,61.28,39,48.15,1,1
78,79,Virginia Tech,14,68,4175,61.40,23,33.82,1,0
79,80,Troy,13,59,3623,61.41,19,32.20,1,2
80,80,Texas A&M,13,66,4053,61.41,22,33.33,2,3
81,82,Boston College,13,63,3870,61.43,27,42.86,4,0
82,83,Kansas,12,87,5346,61.45,37,42.53,3,0
83,84,Iowa,13,51,3135,61.47,18,35.29,0,2
84,85,Utah,13,66,4059,61.50,36,54.55,2,2
85,86,UTSA,13,63,3881,61.60,25,39.68,1,3
86,87,Missouri,12,73,4502,61.67,29,39.73,1,0
87,88,Florida State,13,65,4009,61.68,26,40.00,5,1
88,89,SMU,12,79,4875,61.71,24,30.38,2,2
89,90,BYU,13,53,3273,61.75,19,35.85,1,0
90,91,Arizona,12,82,5065,61.77,49,59.76,2,0
91,92,Cincinnati,12,66,4080,61.82,29,43.94,1,0
92,93,Kentucky,13,79,4891,61.91,36,45.57,4,1
93,94,Nevada,12,68,4212,61.94,37,54.41,2,0
94,95,Hawai'i,14,100,6196,61.96,30,30.00,4,0
95,96,Utah State,12,71,4400,61.97,32,45.07,3,0
96,97,Miami (Florida),13,56,3472,62.00,32,57.14,2,0
97,97,Fresno State,12,70,4340,62.00,27,38.57,2,0
98,99,LSU,12,50,3101,62.02,26,52.00,0,3
99,99,Louisville,13,64,3969,62.02,23,35.94,0,0
100,101,Middle Tennessee,13,80,4967,62.09,47,58.75,3,2
101,102,Boise State,13,59,3667,62.15,23,38.98,4,6
102,102,Nebraska,13,61,3791,62.15,22,36.07,7,0
