,Rank,Name,G,Rush Yards,Pass Yards,Plays,Total Yards,Yards/Play,Yards/G
0,1,Texas Tech,12,1243,5556,1042,6799,6.52,566.6
1,2,Oklahoma,13,3078,4134,957,7212,7.54,554.8
2,3,Louisville,13,3148,3777,961,6925,7.21,532.7
3,4,Tulsa,13,3402,3449,1114,6851,6.15,527.0
4,5,Western Kentucky,14,2609,4715,958,7324,7.65,523.1
5,6,Baylor,13,3143,3652,1108,6795,6.13,522.7
6,7,Toledo,13,2535,4196,935,6731,7.20,517.8
7,8,Middle Tennessee,13,2494,4236,973,6730,6.92,517.7
8,9,Louisiana Tech,14,2119,5087,960,7206,7.51,514.7
9,10,California,12,1852,4306,1035,6158,5.95,513.2
10,11,South Florida,13,3709,2941,928,6650,7.17,511.5
11,12,Clemson,15,2546,5009,1220,7555,6.19,503.7
12,13,Missouri,12,2461,3545,948,6006,6.34,500.5
13,14,Oklahoma State,13,2221,4211,956,6432,6.73,494.8
14,15,Oregon,12,2717,3183,892,5900,6.61,491.7
15,16,Texas,12,2871,3024,999,5895,5.90,491.3
16,17,West Virginia,13,2969,3343,983,6312,6.42,485.5
17,18,Washington State,13,1560,4713,1026,6273,6.11,482.5
18,19,Western Michigan,14,3204,3533,1012,6737,6.66,481.2
19,20,USC,13,2609,3593,969,6202,6.40,477.1
20,21,Boise State,13,2268,3878,899,6146,6.84,472.8
21,21,Southern Mississippi,13,2269,3877,1022,6146,6.01,472.8
22,23,East Carolina,12,1589,4016,958,5605,5.85,467.1
23,24,Texas A&M,13,2754,3317,953,6071,6.37,467.0
24,25,Florida State,13,2628,3433,939,6061,6.45,466.2
25,26,Mississippi,12,1793,3779,905,5572,6.16,464.3
26,27,Northern Illinois,12,2877,2688,949,5565,5.86,463.8
27,28,Memphis,13,2071,3957,964,6028,6.25,463.7
28,29,TCU,13,2535,3486,991,6021,6.08,463.2
29,30,Colorado State,13,2831,3181,900,6012,6.68,462.5
30,31,Ohio State,13,3188,2781,992,5969,6.02,459.2
31,32,Washington,14,2774,3623,937,6397,6.83,456.9
32,33,New Mexico,13,4550,1389,867,5939,6.85,456.8
33,34,Alabama,15,3675,3154,1056,6829,6.47,455.3
34,35,Eastern Michigan,13,2068,3849,999,5917,5.92,455.2
35,36,Air Force,13,4126,1752,977,5878,6.02,452.2
36,37,Ball State,12,2640,2750,955,5390,5.64,449.2
37,38,Pittsburgh,13,2926,2882,866,5808,6.71,446.8
38,39,Virginia Tech,14,2563,3666,1087,6229,5.73,444.9
39,40,Tennessee,13,2668,3100,896,5768,6.44,443.7
40,41,Houston,13,1912,3852,1084,5764,5.32,443.4
41,42,Auburn,13,3527,2203,934,5730,6.13,440.8
42,42,Syracuse,12,1435,3855,971,5290,5.45,440.8
43,44,Mississippi State,13,2997,2726,943,5723,6.07,440.2
44,45,North Carolina,13,1896,3811,860,5707,6.64,439.0
45,46,Navy,14,4342,1794,900,6136,6.82,438.3
46,47,Colorado,14,2557,3563,1104,6120,5.54,437.1
47,48,Wyoming,14,2876,3207,1006,6083,6.05,434.5
48,49,Penn State,14,2406,3650,931,6056,6.50,432.6
49,50,Old Dominion,13,2559,3042,874,5601,6.41,430.8
50,51,Utah,13,2782,2817,969,5599,5.78,430.7
51,52,Appalachian State,13,3262,2327,912,5589,6.13,429.9
52,53,Troy,13,2199,3386,977,5585,5.72,429.6
53,54,Arkansas,13,2135,3434,923,5569,6.03,428.4
54,55,SMU,12,1959,3168,934,5127,5.49,427.3
