,Rank,Name,G,10+Yards,20+Yards,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
0,1,Michigan,13,130,43,25,12,5,4,4,2,1
1,2,LSU,12,132,44,19,10,6,2,2,1,1
2,3,Army,13,135,46,19,10,4,1,0,0,0
3,4,Boston College,13,137,55,32,16,12,5,1,0,0
4,5,Iowa,13,139,45,24,15,9,3,2,1,0
5,6,Michigan State,12,140,52,25,16,6,2,0,0,0
6,7,Florida,13,142,48,21,9,3,1,0,0,0
7,8,Ohio State,13,143,48,22,4,4,3,0,0,0
8,9,Southern Mississippi,13,144,57,33,21,14,11,7,3,1
9,10,Georgia,13,146,47,22,9,4,3,1,0,0
10,10,Temple,14,146,40,23,14,8,3,1,0,0
11,12,Alabama,15,147,53,21,11,4,2,1,0,0
12,13,San Diego State,14,150,51,27,11,3,2,1,0,0
13,13,Washington,14,150,42,16,7,6,4,2,0,0
14,15,Air Force,13,152,76,43,26,11,5,3,0,0
15,15,Utah State,12,152,45,22,11,5,3,0,0,0
16,17,Appalachian State,13,154,37,17,12,10,4,1,1,0
17,18,Georgia State,12,155,40,12,3,0,0,0,0,0
18,18,Notre Dame,12,155,47,20,12,10,8,3,0,0
19,20,Nebraska,13,157,51,26,14,8,5,5,2,1
20,20,USC,13,157,50,28,19,11,7,6,0,0
21,22,UCLA,12,158,38,20,8,3,2,0,0,0
22,23,Miami (Ohio),13,159,47,18,10,4,3,3,0,0
23,23,Tulane,12,159,60,31,17,7,2,0,0,0
24,25,Virginia Tech,14,160,64,30,13,8,5,4,1,0
25,26,Kent State,12,162,47,22,11,4,2,1,1,0
26,26,Wisconsin,14,162,48,22,10,4,3,2,0,0
27,28,Fresno State,12,163,42,22,12,5,3,1,1,1
28,28,Minnesota,13,163,57,22,9,8,4,3,2,0
29,28,San Jose State,12,163,64,35,20,11,6,3,0,0
30,31,Cincinnati,12,164,58,18,8,4,1,0,0,0
31,31,Louisville,13,164,49,22,9,6,4,3,0,0
32,33,Auburn,13,165,55,21,7,5,2,1,1,0
33,33,Duke,12,165,74,40,24,15,5,4,3,0
34,35,Houston,13,166,56,19,6,5,5,0,0,0
35,35,Miami (Florida),13,166,56,20,10,5,1,1,0,0
36,37,Colorado,14,168,55,26,15,3,0,0,0,0
37,38,Clemson,15,169,61,25,15,7,4,1,0,0
38,38,North Carolina,13,169,54,23,14,8,3,1,1,0
39,40,Buffalo,12,170,58,29,18,9,6,3,1,0
40,41,Boise State,13,171,51,23,8,5,3,0,0,0
41,41,New Mexico,13,171,63,36,23,11,6,4,1,0
