,Rank,Name,G,Opponent Fumbles,Fumbles Recovered,Fumble Recovery %
0,1,Minnesota,13,23,16,69.57
1,2,Boston College,13,25,15,60.00
2,2,Wake Forest,13,25,15,60.00
3,2,Tulane,12,19,15,78.95
4,5,Washington,14,28,14,50.00
5,5,Vanderbilt,13,24,14,58.33
6,7,Temple,14,32,13,40.63
7,7,North Carolina,13,29,13,44.83
8,7,Eastern Michigan,13,29,13,44.83
9,7,Alabama,15,26,13,50.00
10,7,Oregon State,12,23,13,56.52
11,7,Utah,13,22,13,59.09
12,7,Tennessee,13,21,13,61.90
13,7,Memphis,13,19,13,68.42
14,15,Wyoming,14,30,12,40.00
15,15,Texas A&M,13,29,12,41.38
16,15,Old Dominion,13,25,12,48.00
17,15,Georgia,13,24,12,50.00
18,15,Kent State,12,22,12,54.55
19,15,North Carolina State,13,22,12,54.55
20,15,South Carolina,13,22,12,54.55
21,15,Kansas,12,19,12,63.16
22,15,Marshall,12,16,12,75.00
23,24,Ohio,14,28,11,39.29
24,24,UTSA,13,26,11,42.31
25,24,Oklahoma State,13,26,11,42.31
26,24,UCF,13,24,11,45.83
27,24,Houston,13,23,11,47.83
28,24,Arkansas,13,23,11,47.83
29,24,Colorado,14,22,11,50.00
30,24,Penn State,14,22,11,50.00
31,24,Tulsa,13,21,11,52.38
32,24,Navy,14,21,11,52.38
33,24,Arkansas State,13,21,11,52.38
34,24,Miami (Florida),13,21,11,52.38
35,24,Idaho,13,20,11,55.00
36,24,Illinois,12,20,11,55.00
37,24,Massachusetts,12,20,11,55.00
38,24,West Virginia,13,20,11,55.00
39,24,Washington State,13,19,11,57.89
40,24,Western Michigan,14,18,11,61.11
41,24,South Florida,13,17,11,64.71
42,43,BYU,13,28,10,35.71
43,43,Texas,12,24,10,41.67
44,43,South Alabama,13,24,10,41.67
45,43,Georgia Southern,12,21,10,47.62
46,43,New Mexico State,12,20,10,50.00
47,43,Nevada,12,20,10,50.00
48,43,Baylor,13,19,10,52.63
49,43,Indiana,13,19,10,52.63
50,43,UNLV,12,19,10,52.63
51,43,Louisville,13,17,10,58.82
52,43,Pittsburgh,13,15,10,66.67
53,54,Virginia Tech,14,21,9,42.86
54,54,Syracuse,12,19,9,47.37
55,54,Kansas State,13,19,9,47.37
56,54,Louisiana Tech,14,18,9,50.00
57,54,Mississippi State,13,16,9,56.25
58,54,Iowa,13,15,9,60.00
59,54,Duke,12,15,9,60.00
60,54,Northwestern,13,14,9,64.29
61,54,San Jose State,12,13,9,69.23
62,63,Mississippi,12,22,8,36.36
63,63,Texas State,12,21,8,38.10
64,63,Arizona State,12,21,8,38.10
65,63,UCLA,12,21,8,38.10
66,63,Bowling Green,12,20,8,40.00
67,63,Louisiana-Lafayette,13,20,8,40.00
68,63,Middle Tennessee,13,20,8,40.00
69,63,SMU,12,19,8,42.11
70,63,North Texas,13,19,8,42.11
71,63,Florida,13,19,8,42.11
72,63,Virginia,12,19,8,42.11
73,63,Kentucky,13,18,8,44.44
74,63,Buffalo,12,18,8,44.44
75,63,Troy,13,17,8,47.06
76,63,LSU,12,16,8,50.00
77,63,TCU,13,15,8,53.33
78,63,Texas Tech,12,15,8,53.33
79,63,Florida State,13,15,8,53.33
80,63,Air Force,13,14,8,57.14
81,63,Oklahoma,13,13,8,61.54
82,63,Florida International,12,13,8,61.54
83,63,Georgia Tech,13,11,8,72.73
84,85,Maryland,13,20,7,35.00
85,85,Clemson,15,20,7,35.00
86,85,Miami (Ohio),13,19,7,36.84
87,85,Charlotte,12,18,7,38.89
88,85,Louisiana-Monroe,12,17,7,41.18
89,85,California,12,17,7,41.18
90,85,Cincinnati,12,15,7,46.67
91,85,Western Kentucky,14,15,7,46.67
92,85,Georgia State,12,15,7,46.67
93,85,Ball State,12,14,7,50.00
94,95,Auburn,13,21,6,28.57
95,95,Notre Dame,12,21,6,28.57
96,95,Arizona,12,19,6,31.58
97,95,USC,13,18,6,33.33
98,95,Wisconsin,14,17,6,35.29
99,95,Colorado State,13,16,6,37.50
100,95,Rice,12,15,6,40.00
101,95,Hawai'i,14,15,6,40.00
102,95,Michigan,13,15,6,40.00
103,95,Rutgers,12,15,6,40.00
104,95,Ohio State,13,14,6,42.86
105,95,Stanford,13,13,6,46.15
106,95,Akron,12,8,6,75.00
107,108,Southern Mississippi,13,15,5,33.33
108,108,Army,13,12,5,41.67
109,108,New Mexico,13,12,5,41.67
110,108,UTEP,12,11,5,45.45
111,108,Central Michigan,13,11,5,45.45
112,108,Michigan State,12,9,5,55.56
113,108,Florida Atlantic,12,8,5,62.50
114,108,Missouri,12,7,5,71.43
115,116,Connecticut,12,15,4,26.67
116,116,Purdue,12,14,4,28.57
117,116,Fresno State,12,14,4,28.57
118,116,Toledo,13,10,4,40.00
119,116,Iowa State,12,8,4,50.00
120,121,San Diego State,14,12,3,25.00
121,121,Nebraska,13,10,3,30.00
122,121,Utah State,12,9,3,33.33
123,121,Oregon,12,8,3,37.50
124,121,East Carolina,12,8,3,37.50
125,126,Northern Illinois,12,12,2,16.67
126,126,Boise State,13,7,2,28.57
127,128,Appalachian State,13,6,1,16.67
