,Rank,Name,G,Rush,Pass,Penalty,Total,Total/G
0,1,Michigan,13,91,71,24,186,14.3
1,2,Army,13,87,91,10,188,14.5
2,2,Alabama,15,71,125,21,217,14.5
3,4,Southern Mississippi,13,90,83,20,193,14.8
4,5,Ohio State,13,88,104,8,200,15.4
5,5,Temple,14,101,96,18,215,15.4
6,7,Boston College,13,67,107,27,201,15.5
7,8,Florida,13,96,83,27,206,15.8
8,9,LSU,12,77,100,15,192,16.0
9,9,Georgia,13,101,96,11,208,16.0
10,11,Houston,13,74,123,16,213,16.4
11,11,Wisconsin,14,83,130,16,229,16.4
12,13,San Diego State,14,92,126,18,236,16.9
13,14,Clemson,15,102,116,37,255,17.0
14,15,Virginia Tech,14,98,116,26,240,17.1
15,16,Louisville,13,84,115,28,227,17.5
16,17,Air Force,13,78,127,24,229,17.6
17,17,Washington,14,98,119,29,246,17.6
18,17,Colorado,14,99,128,19,246,17.6
19,20,Nebraska,13,91,121,19,231,17.8
20,20,Appalachian State,13,83,125,24,232,17.8
21,22,Western Michigan,14,111,125,15,251,17.9
22,23,Tulane,12,100,98,18,216,18.0
23,23,Duke,12,103,102,11,216,18.0
24,25,Iowa,13,106,115,15,236,18.2
25,26,Michigan State,12,92,108,23,223,18.6
26,27,BYU,13,78,143,23,244,18.8
27,27,Florida State,13,89,125,31,245,18.8
28,27,Miami (Florida),13,102,123,20,245,18.8
29,30,Minnesota,13,95,129,23,247,19.0
30,31,North Carolina State,13,81,141,26,248,19.1
31,31,Ohio,14,96,153,18,267,19.1
32,33,USC,13,93,130,26,249,19.2
33,33,Arkansas,13,114,124,11,249,19.2
34,33,Troy,13,92,136,22,250,19.2
35,33,Auburn,13,95,137,18,250,19.2
36,37,Arkansas State,13,97,125,29,251,19.3
37,37,Wake Forest,13,107,129,15,251,19.3
38,39,Stanford,13,105,129,19,253,19.5
39,39,Indiana,13,112,123,18,253,19.5
40,39,Utah,13,89,145,20,254,19.5
41,39,New Mexico,13,107,121,26,254,19.5
42,43,UCF,13,124,113,18,255,19.6
43,43,Penn State,14,109,140,25,274,19.6
44,45,Toledo,13,110,126,20,256,19.7
45,46,Central Michigan,13,108,134,17,259,19.9
46,47,Tulsa,13,107,138,16,261,20.1
47,47,Western Kentucky,14,81,166,34,281,20.1
48,49,Rutgers,12,143,87,12,242,20.2
49,49,Kansas State,13,89,155,18,262,20.2
50,49,Miami (Ohio),13,114,119,29,262,20.2
51,52,Notre Dame,12,120,102,22,244,20.3
52,52,Washington State,13,89,151,24,264,20.3
53,54,Louisiana-Lafayette,13,93,156,16,265,20.4
54,55,Vanderbilt,13,108,138,20,266,20.5
55,56,Colorado State,13,131,121,17,269,20.7
56,56,Wyoming,14,120,152,18,290,20.7
57,58,UTSA,13,115,128,28,271,20.8
58,59,Connecticut,12,89,149,13,251,20.9
59,60,San Jose State,12,148,89,16,253,21.1
60,60,TCU,13,130,128,16,274,21.1
61,62,Georgia Southern,12,113,116,25,254,21.2
62,62,Oklahoma,13,112,145,19,276,21.2
63,62,South Alabama,13,142,108,26,276,21.2
64,65,East Carolina,12,129,107,20,256,21.3
65,66,Utah State,12,144,87,26,257,21.4
66,66,Old Dominion,13,118,139,21,278,21.4
67,66,Boise State,13,144,120,14,278,21.4
68,69,Virginia,12,102,135,21,258,21.5
69,69,Rice,12,120,124,14,258,21.5
70,69,Illinois,12,126,112,20,258,21.5
71,69,Northwestern,13,113,156,11,280,21.5
72,73,Buffalo,12,147,96,16,259,21.6
73,73,Georgia Tech,13,122,147,12,281,21.6
74,75,Kent State,12,134,105,21,260,21.7
75,76,Purdue,12,135,112,14,261,21.8
76,76,Fresno State,12,167,80,14,261,21.8
77,76,West Virginia,13,118,144,22,284,21.8
78,76,North Texas,13,147,103,34,284,21.8
79,80,North Carolina,13,154,108,23,285,21.9
80,80,Navy,14,136,161,10,307,21.9
81,82,UTEP,12,139,108,18,265,22.1
82,82,Nevada,12,168,89,8,265,22.1
83,84,UCLA,12,105,129,33,267,22.3
84,84,UNLV,12,118,128,21,267,22.3
85,84,Georgia State,12,138,110,19,267,22.3
86,84,SMU,12,128,124,16,268,22.3
87,84,Baylor,13,133,128,29,290,22.3
88,89,Florida International,12,120,138,11,269,22.4
89,89,Idaho,13,108,155,28,291,22.4
90,91,Mississippi,12,137,116,17,270,22.5
91,91,Tennessee,13,136,135,22,293,22.5
92,93,Bowling Green,12,119,129,24,272,22.7
93,93,Oklahoma State,13,126,144,25,295,22.7
94,93,Kentucky,13,157,123,15,295,22.7
95,96,Ball State,12,93,165,15,273,22.8
96,96,Missouri,12,120,133,20,273,22.8
97,98,Syracuse,12,121,139,15,275,22.9
98,98,Mississippi State,13,110,172,16,298,22.9
99,98,South Carolina,13,144,134,20,298,22.9
100,101,Texas,12,124,128,24,276,23.0
101,101,Maryland,13,143,129,27,299,23.0
102,103,Oregon State,12,133,118,26,277,23.1
103,103,Kansas,12,149,107,21,277,23.1
104,105,Arizona State,12,93,163,22,278,23.2
105,106,Pittsburgh,13,87,193,23,303,23.3
106,107,Texas A&M,13,133,142,31,306,23.5
107,108,Massachusetts,12,119,142,25,286,23.8
108,108,Texas State,12,138,122,26,286,23.8
109,108,Memphis,13,137,147,25,309,23.8
110,111,Cincinnati,12,133,136,18,287,23.9
111,111,Eastern Michigan,13,124,159,28,311,23.9
112,111,Hawai'i,14,185,124,26,335,23.9
113,114,Louisiana Tech,14,130,183,23,336,24.0
114,115,New Mexico State,12,133,141,15,289,24.1
115,116,Charlotte,12,95,169,26,290,24.2
116,116,Marshall,12,120,137,33,290,24.2
117,118,Northern Illinois,12,120,141,31,292,24.3
118,118,Louisiana-Monroe,12,153,119,20,292,24.3
119,120,Iowa State,12,147,126,20,293,24.4
120,121,Akron,12,144,130,20,294,24.5
121,121,Middle Tennessee,13,150,150,19,319,24.5
122,123,Florida Atlantic,12,142,137,17,296,24.7
123,124,South Florida,13,144,159,23,326,25.1
124,125,Arizona,12,130,141,31,302,25.2
125,126,California,12,158,133,29,320,26.7
126,127,Texas Tech,12,138,172,11,321,26.8
127,128,Oregon,12,157,156,24,337,28.1
