,Rank,Name,G,Attempts,Scores,Score %,TD,TD %,FG,FG %
0,1,Vanderbilt,13,49,32,65.31,23,46.94,9,18.37
1,2,UCF,13,58,41,70.69,27,46.55,14,24.14
2,3,Michigan,13,28,20,71.43,14,50.00,6,21.43
3,4,Florida,13,39,28,71.79,18,46.15,10,25.64
4,5,Ohio State,13,40,29,72.50,15,37.50,14,35.00
5,6,Rutgers,12,55,40,72.73,33,60.00,7,12.73
6,7,Connecticut,12,48,35,72.92,26,54.17,9,18.75
7,8,Appalachian State,13,37,27,72.97,19,51.35,8,21.62
8,9,Northwestern,13,56,41,73.21,27,48.21,14,25.00
9,10,BYU,13,35,26,74.29,20,57.14,6,17.14
10,11,Auburn,13,43,32,74.42,18,41.86,14,32.56
11,12,Colorado,14,47,35,74.47,24,51.06,11,23.40
12,13,Iowa,13,36,27,75.00,18,50.00,9,25.00
13,13,Washington,14,44,33,75.00,24,54.55,9,20.45
14,13,Oklahoma State,13,48,36,75.00,28,58.33,8,16.67
15,13,Texas A&M,13,56,42,75.00,26,46.43,16,28.57
16,17,South Carolina,13,53,40,75.47,31,58.49,9,16.98
17,18,Northern Illinois,12,49,37,75.51,30,61.22,7,14.29
18,19,Temple,14,34,26,76.47,19,55.88,7,20.59
19,20,Georgia Southern,12,48,37,77.08,25,52.08,12,25.00
20,21,Kansas,12,62,48,77.42,37,59.68,11,17.74
21,22,Kansas State,13,36,28,77.78,22,61.11,6,16.67
22,22,Wake Forest,13,45,35,77.78,27,60.00,8,17.78
23,22,Georgia State,12,54,42,77.78,30,55.56,12,22.22
24,25,Oklahoma,13,46,36,78.26,22,47.83,14,30.43
25,26,Cincinnati,12,51,40,78.43,23,45.10,17,33.33
26,27,Miami (Ohio),13,42,33,78.57,23,54.76,10,23.81
27,27,Maryland,13,56,44,78.57,37,66.07,7,12.50
28,29,Central Michigan,13,52,41,78.85,33,63.46,8,15.38
29,30,Wisconsin,14,38,30,78.95,17,44.74,13,34.21
30,30,Clemson,15,38,30,78.95,22,57.89,8,21.05
31,32,UTSA,13,48,38,79.17,28,58.33,10,20.83
32,33,Miami (Florida),13,39,31,79.49,20,51.28,11,28.21
33,34,North Carolina,13,54,43,79.63,31,57.41,12,22.22
34,35,Middle Tennessee,13,69,55,79.71,48,69.57,7,10.14
35,36,Troy,13,35,28,80.00,20,57.14,8,22.86
