,Rank,Name,G,Att,Comp,Pct.,Yards,Yards/Att,TD,Int,Rating,Att/G,Yards/G
0,1,Washington State,13,677,478,70.6,4859,7.2,39,10,146.96,52.1,373.8
1,2,Ohio State,14,561,396,70.6,5100,9.1,51,8,174.10,40.1,364.3
2,3,Texas Tech,12,535,361,67.5,4231,7.9,28,15,145.57,44.6,352.6
3,4,West Virginia,12,445,291,65.4,4216,9.5,38,10,168.66,37.1,351.3
4,5,Mississippi,12,441,282,63.9,4157,9.4,21,9,154.76,36.8,346.4
5,6,Alabama,15,438,301,68.7,4854,11.1,52,8,197.34,29.2,323.6
6,7,Oklahoma,14,401,274,68.3,4520,11.3,43,7,194.91,28.6,322.9
7,8,North Carolina State,13,496,334,67.3,4071,8.2,25,11,148.48,38.2,313.2
8,9,Hawai'i,14,545,320,58.7,4344,8.0,43,12,147.32,38.9,310.3
9,10,Oklahoma State,13,493,293,59.4,4028,8.2,33,13,144.88,37.9,309.8
10,11,Purdue,13,509,333,65.4,3998,7.9,28,13,144.44,39.2,307.5
11,12,North Texas,13,504,321,63.7,3988,7.9,28,9,144.92,38.8,306.8
12,13,Colorado State,12,502,303,60.4,3659,7.3,26,16,132.31,41.8,304.9
13,14,Massachusetts,12,411,263,64.0,3577,8.7,27,10,153.91,34.3,298.1
14,15,Old Dominion,12,480,293,61.0,3564,7.4,21,12,132.85,40.0,297.0
15,16,Houston,13,474,284,59.9,3841,8.1,45,9,155.52,36.5,295.5
16,17,Utah State,13,465,303,65.2,3825,8.2,32,6,154.39,35.8,294.2
17,18,Boise State,13,460,310,67.4,3796,8.3,31,8,155.47,35.4,292.0
18,19,Baylor,13,486,296,60.9,3770,7.8,22,13,135.66,37.4,290.0
19,20,East Carolina,12,568,285,50.2,3417,6.0,18,15,105.89,47.3,284.8
20,21,Arkansas State,13,472,303,64.2,3659,7.8,28,10,144.66,36.3,281.5
21,22,Missouri,13,451,281,62.3,3632,8.1,28,8,146.90,34.7,279.4
22,23,Clemson,15,508,328,64.6,4185,8.2,37,8,154.65,33.9,279.0
23,24,Nevada,13,493,295,59.8,3624,7.4,25,17,131.42,37.9,278.8
24,25,Stanford,13,424,271,63.9,3550,8.4,29,11,151.63,32.6,273.1
25,26,South Carolina,13,443,272,61.4,3547,8.0,32,14,146.18,34.1,272.8
26,27,SMU,12,468,268,57.3,3260,7.0,28,8,132.10,39.0,271.7
27,28,Florida State,12,455,260,57.1,3241,7.1,20,13,125.77,37.9,270.1
