,Rank,Name,G,Fumbles Forced,Fumbles Forced/G
0,1,Pittsburgh,14,19,1.36
1,1,Clemson,15,19,1.27
2,3,Central Michigan,12,18,1.50
3,3,Western Michigan,13,18,1.38
4,3,Washington,14,18,1.29
5,6,Washington State,13,17,1.31
6,6,Navy,13,17,1.31
7,6,Memphis,14,17,1.21
8,6,Georgia,14,17,1.21
9,10,North Carolina,11,16,1.45
10,10,New Mexico,12,16,1.33
11,10,Penn State,13,16,1.23
12,10,Duke,13,16,1.23
13,10,Temple,13,16,1.23
14,10,Buffalo,14,16,1.14
15,16,Arkansas,12,15,1.25
16,16,Toledo,13,15,1.15
17,16,Michigan State,13,15,1.15
18,16,Eastern Michigan,13,15,1.15
19,16,Boise State,13,15,1.15
20,16,Kentucky,13,15,1.15
21,16,Troy,13,15,1.15
22,16,Northwestern,14,15,1.07
23,24,Indiana,12,14,1.17
24,24,Texas State,12,14,1.17
25,24,Georgia Southern,13,14,1.08
26,24,Army,13,14,1.08
27,24,Texas,14,14,1.00
28,24,Hawai'i,14,14,1.00
29,24,UAB,14,14,1.00
30,31,Mississippi,12,13,1.08
31,31,West Virginia,12,13,1.08
32,31,Tulsa,12,13,1.08
33,31,Oregon,13,13,1.00
34,31,UCF,13,13,1.00
35,31,Notre Dame,13,13,1.00
36,31,Vanderbilt,13,13,1.00
37,31,Nevada,13,13,1.00
38,31,Houston,13,13,1.00
39,31,Northern Illinois,14,13,0.93
40,41,SMU,12,12,1.00
41,41,Arizona,12,12,1.00
42,41,Charlotte,12,12,1.00
43,41,Nebraska,12,12,1.00
44,41,Wisconsin,13,12,0.92
45,41,Arkansas State,13,12,0.92
46,41,Marshall,13,12,0.92
47,41,North Carolina State,13,12,0.92
48,41,Virginia Tech,13,12,0.92
49,41,California,13,12,0.92
50,41,Alabama,15,12,0.80
51,52,Akron,12,11,0.92
52,52,New Mexico State,12,11,0.92
53,52,Kansas,12,11,0.92
54,52,Minnesota,13,11,0.85
55,52,Iowa State,13,11,0.85
56,52,Auburn,13,11,0.85
57,52,Arizona State,13,11,0.85
58,52,Florida,13,11,0.85
59,52,Utah State,13,11,0.85
60,52,Texas A&M,13,11,0.85
61,52,Ohio State,14,11,0.79
62,63,Coastal Carolina,12,10,0.83
63,63,Ball State,12,10,0.83
64,63,Colorado State,12,10,0.83
65,63,Florida State,12,10,0.83
66,63,Liberty,12,10,0.83
67,63,Kansas State,12,10,0.83
68,63,Georgia Tech,13,10,0.77
69,63,Ohio,13,10,0.77
70,63,Oklahoma State,13,10,0.77
71,63,Louisiana Tech,13,10,0.77
72,63,Syracuse,13,10,0.77
73,63,Tulane,13,10,0.77
74,63,Middle Tennessee,14,10,0.71
75,76,Southern Mississippi,11,9,0.82
76,76,Texas Tech,12,9,0.75
77,76,UTSA,12,9,0.75
78,76,Maryland,12,9,0.75
79,76,Miami (Ohio),12,9,0.75
80,76,East Carolina,12,9,0.75
81,76,UCLA,12,9,0.75
82,76,UNLV,12,9,0.75
83,76,Kent State,12,9,0.75
84,76,Tennessee,12,9,0.75
85,76,Stanford,13,9,0.69
86,76,Miami (Florida),13,9,0.69
87,76,South Carolina,13,9,0.69
88,76,Virginia,13,9,0.69
89,76,BYU,13,9,0.69
90,76,Rice,13,9,0.69
91,92,UTEP,12,8,0.67
92,92,Wyoming,12,8,0.67
93,92,Illinois,12,8,0.67
94,92,Western Kentucky,12,8,0.67
95,92,San Jose State,12,8,0.67
96,92,Boston College,12,8,0.67
97,92,Cincinnati,13,8,0.62
98,92,Appalachian State,13,8,0.62
99,92,South Florida,13,8,0.62
100,92,Florida International,13,8,0.62
101,92,Utah,14,8,0.57
102,103,Colorado,12,7,0.58
103,103,South Alabama,12,7,0.58
104,103,Mississippi State,13,7,0.54
105,103,Iowa,13,7,0.54
106,103,LSU,13,7,0.54
107,103,San Diego State,13,7,0.54
108,103,Wake Forest,13,7,0.54
109,103,Missouri,13,7,0.54
110,103,Louisiana-Lafayette,14,7,0.50
111,103,Oklahoma,14,7,0.50
112,113,USC,12,6,0.50
113,113,Oregon State,12,6,0.50
114,113,Old Dominion,12,6,0.50
115,113,Georgia State,12,6,0.50
116,113,Louisiana-Monroe,12,6,0.50
117,113,Massachusetts,12,6,0.50
118,113,Bowling Green,12,6,0.50
119,113,Rutgers,12,6,0.50
120,113,Air Force,12,6,0.50
121,122,Louisville,12,5,0.42
122,122,Florida Atlantic,12,5,0.42
123,122,Baylor,13,5,0.38
124,122,Fresno State,14,5,0.36
125,126,Connecticut,12,4,0.33
126,126,North Texas,13,4,0.31
127,126,TCU,13,4,0.31
128,129,Michigan,13,3,0.23
129,129,Purdue,13,3,0.23
