,Rank,Name,G,20+Yards,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
0,1,Boston College,12,9,2,1,1,1,1,0,0
1,1,Miami (Florida),13,9,8,5,2,1,0,0,0
2,3,Georgia,14,8,2,2,2,2,1,0,0
3,3,Toledo,13,8,5,2,2,1,1,1,0
4,5,North Carolina,11,7,2,2,1,1,1,0,0
5,5,Wake Forest,13,7,4,2,2,2,1,0,0
6,7,Auburn,13,6,4,1,0,0,0,0,0
7,7,Colorado,12,6,1,1,1,0,0,0,0
8,7,Michigan,13,6,1,1,1,1,0,0,0
9,7,New Mexico,12,6,3,2,2,1,1,1,0
10,7,Stanford,13,6,2,0,0,0,0,0,0
11,7,Syracuse,13,6,4,3,1,1,0,0,0
12,7,TCU,13,6,4,3,3,2,2,0,0
13,7,Temple,13,6,3,2,2,1,1,0,0
14,7,Utah,14,6,3,0,0,0,0,0,0
15,16,Alabama,15,5,4,1,1,1,0,0,0
16,16,Appalachian State,13,5,4,4,3,1,0,0,0
17,16,Clemson,15,5,3,2,2,1,0,0,0
18,16,Florida,13,5,2,1,1,1,1,1,0
19,16,Florida State,12,5,3,2,1,1,1,0,0
20,16,Ohio State,14,5,1,0,0,0,0,0,0
21,16,Oklahoma,14,5,3,2,2,2,0,0,0
22,16,Oregon,13,5,3,2,2,0,0,0,0
23,16,Penn State,13,5,3,0,0,0,0,0,0
24,16,Southern Mississippi,11,5,3,1,1,1,1,1,0
25,16,Texas State,12,5,3,1,0,0,0,0,0
26,16,USC,12,5,1,1,1,1,1,1,0
27,16,Western Michigan,13,5,5,2,2,2,2,1,1
28,29,Arizona,12,4,0,0,0,0,0,0,0
29,29,Buffalo,14,4,0,0,0,0,0,0,0
30,29,Houston,13,4,0,0,0,0,0,0,0
31,29,Iowa,13,4,2,1,1,1,0,0,0
32,29,Iowa State,13,4,2,1,0,0,0,0,0
33,29,Louisville,12,4,3,2,1,0,0,0,0
34,29,Marshall,13,4,1,1,1,0,0,0,0
35,29,Memphis,14,4,2,2,1,1,1,0,0
36,29,Minnesota,13,4,4,2,2,2,1,0,0
37,29,Nevada,13,4,1,1,1,1,1,1,0
38,29,Texas,14,4,2,1,1,1,1,1,1
39,29,Texas A&M,13,4,3,1,0,0,0,0,0
40,29,Troy,13,4,1,1,1,0,0,0,0
41,29,Utah State,13,4,2,1,1,0,0,0,0
42,29,Virginia,13,4,2,2,0,0,0,0,0
43,44,Army,13,3,2,0,0,0,0,0,0
44,44,Baylor,13,3,1,0,0,0,0,0,0
45,44,Boise State,13,3,2,2,2,2,1,0,0
46,44,Cincinnati,13,3,1,0,0,0,0,0,0
47,44,Eastern Michigan,13,3,1,1,0,0,0,0,0
48,44,Georgia State,12,3,2,2,0,0,0,0,0
49,44,Kentucky,13,3,2,2,2,1,0,0,0
50,44,LSU,13,3,0,0,0,0,0,0,0
51,44,Liberty,12,3,1,1,1,1,0,0,0
52,44,Louisiana Tech,13,3,1,0,0,0,0,0,0
53,44,Middle Tennessee,14,3,1,0,0,0,0,0,0
54,44,Mississippi State,13,3,0,0,0,0,0,0,0
55,44,North Texas,13,3,2,1,1,1,1,1,1
56,44,Ohio,13,3,2,0,0,0,0,0,0
57,44,SMU,12,3,2,0,0,0,0,0,0
58,44,South Carolina,13,3,1,0,0,0,0,0,0
59,44,UAB,14,3,0,0,0,0,0,0,0
60,44,Vanderbilt,13,3,1,0,0,0,0,0,0
61,62,Akron,12,2,1,1,1,1,1,0,0
62,62,Arizona State,13,2,2,2,1,1,1,1,1
63,62,Arkansas,12,2,1,1,0,0,0,0,0
64,62,Arkansas State,13,2,1,0,0,0,0,0,0
65,62,BYU,13,2,1,0,0,0,0,0,0
66,62,Ball State,12,2,0,0,0,0,0,0,0
67,62,California,13,2,2,1,0,0,0,0,0
68,62,Duke,13,2,1,0,0,0,0,0,0
69,62,Florida International,13,2,1,1,1,1,0,0,0
70,62,Fresno State,14,2,1,1,0,0,0,0,0
71,62,Georgia Southern,13,2,0,0,0,0,0,0,0
72,62,Hawai'i,14,2,1,1,0,0,0,0,0
