,Rank,Name,G,Rush,Pass,Penalty,Total,Total/G
0,1,Southern Mississippi,11,59,89,13,161,14.6
1,2,Cincinnati,13,64,102,34,200,15.4
2,3,Army,13,78,107,19,204,15.7
3,3,Clemson,15,97,116,22,235,15.7
4,5,Miami (Florida),13,107,80,18,205,15.8
5,5,Michigan,13,89,82,35,206,15.8
6,7,Appalachian State,13,91,98,19,208,16.0
7,8,Mississippi State,13,90,98,24,212,16.3
8,9,Charlotte,12,64,116,17,197,16.4
9,9,Michigan State,13,55,139,19,213,16.4
10,9,Virginia,13,92,109,12,213,16.4
11,12,Iowa,13,101,98,15,214,16.5
12,13,San Diego State,13,77,120,19,216,16.6
13,14,Washington,14,88,135,14,237,16.9
14,14,Alabama,15,93,131,29,253,16.9
15,16,Texas A&M,13,76,124,21,221,17.0
16,16,Utah,14,82,128,28,238,17.0
17,18,Georgia,14,99,121,20,240,17.1
18,19,UAB,14,92,107,43,242,17.3
19,20,Air Force,12,76,121,12,209,17.4
20,20,Kentucky,13,104,101,21,226,17.4
21,22,California,13,106,103,18,227,17.5
22,23,Wisconsin,13,98,108,24,230,17.7
23,24,Florida,13,105,99,27,231,17.8
24,24,Boise State,13,91,123,18,232,17.8
25,24,Arkansas State,13,119,88,25,232,17.8
26,24,Fresno State,14,106,124,19,249,17.8
27,28,Buffalo,14,128,107,17,252,18.0
28,29,BYU,13,98,120,19,237,18.2
29,29,Minnesota,13,101,120,16,237,18.2
30,31,Texas State,12,100,106,15,221,18.4
31,32,Troy,13,100,121,19,240,18.5
32,32,North Carolina State,13,89,134,18,241,18.5
33,34,Wyoming,12,96,111,16,223,18.6
34,34,Marshall,13,79,130,33,242,18.6
35,34,TCU,13,110,116,16,242,18.6
36,37,Georgia Southern,13,103,123,17,243,18.7
37,38,Missouri,13,84,137,23,244,18.8
38,38,North Texas,13,87,136,22,245,18.8
39,38,Eastern Michigan,13,135,81,29,245,18.8
40,41,Iowa State,13,97,138,11,246,18.9
41,42,Auburn,13,95,122,30,247,19.0
42,43,Louisiana Tech,13,116,113,19,248,19.1
43,44,Utah State,13,100,123,31,254,19.5
44,44,LSU,13,107,116,31,254,19.5
45,46,Washington State,13,101,118,36,255,19.6
46,46,Western Michigan,13,112,123,20,255,19.6
47,48,Nevada,13,94,138,24,256,19.7
48,48,Ohio,13,100,138,18,256,19.7
49,48,Middle Tennessee,14,127,122,27,276,19.7
50,51,Syracuse,13,103,133,22,258,19.8
51,51,Northwestern,14,104,160,13,277,19.8
52,53,Notre Dame,13,95,141,23,259,19.9
53,54,Penn State,13,122,114,24,260,20.0
54,54,Pittsburgh,14,126,124,30,280,20.0
55,56,UTEP,12,120,102,20,242,20.2
56,56,Georgia Tech,13,125,125,12,262,20.2
57,56,Ohio State,14,102,145,36,283,20.2
58,59,East Carolina,12,96,130,17,243,20.3
59,59,Tennessee,12,103,124,16,243,20.3
60,59,Colorado,12,99,117,28,244,20.3
61,59,Virginia Tech,13,122,120,22,264,20.3
62,63,Central Michigan,12,123,93,29,245,20.4
63,63,Northern Illinois,14,88,161,37,286,20.4
64,65,USC,12,94,128,24,246,20.5
65,65,Baylor,13,116,127,24,267,20.5
66,67,Texas,14,104,158,27,289,20.6
67,68,Miami (Ohio),12,110,113,25,248,20.7
68,69,Navy,13,123,138,9,270,20.8
69,70,Oregon,13,102,147,23,272,20.9
70,70,Stanford,13,103,154,15,272,20.9
71,70,Duke,13,134,124,14,272,20.9
72,73,UTSA,12,100,139,13,252,21.0
73,73,Georgia State,12,113,124,15,252,21.0
74,75,Kansas State,12,99,139,16,254,21.2
75,75,Rutgers,12,115,112,27,254,21.2
76,75,Hawai'i,14,138,142,17,297,21.2
77,78,Akron,12,127,111,18,256,21.3
78,79,Boston College,12,103,135,19,257,21.4
79,79,UNLV,12,114,133,10,257,21.4
80,81,Maryland,12,123,102,33,258,21.5
81,81,Tulsa,12,135,95,28,258,21.5
82,81,Tulane,13,106,145,29,280,21.5
83,81,Rice,13,107,156,17,280,21.5
84,85,Arkansas,12,116,119,24,259,21.6
85,85,Coastal Carolina,12,136,107,16,259,21.6
86,87,Western Kentucky,12,112,127,22,261,21.8
