,Rank,Name,G,Att,Yards,Avg.,TD,Att/G,Yards/G
0,1,Georgia Tech,13,745,4225,5.67,46,57.31,325.00
1,2,Army,13,824,4062,4.93,47,63.38,312.46
2,3,Air Force,12,714,3402,4.76,33,59.50,283.50
3,4,Memphis,14,615,3919,6.37,48,43.93,279.93
4,5,Navy,13,731,3594,4.92,37,56.23,276.46
5,6,Wisconsin,13,571,3554,6.22,32,43.92,273.38
6,7,Georgia Southern,13,643,3461,5.38,35,49.46,266.23
7,8,UCF,13,594,3448,5.80,43,45.69,265.23
8,9,Ohio,13,557,3358,6.03,40,42.85,258.31
9,10,Clemson,15,568,3723,6.55,49,37.87,248.20
10,11,Oklahoma,14,527,3464,6.57,42,37.64,247.43
11,12,Illinois,12,493,2916,5.91,25,41.08,243.00
12,13,Florida Atlantic,12,566,2902,5.13,35,47.17,241.83
13,14,Appalachian State,13,540,3125,5.79,31,41.54,240.38
14,15,Cincinnati,13,600,3113,5.19,38,46.15,239.46
15,16,Georgia,14,567,3343,5.90,30,40.50,238.79
16,17,Maryland,12,487,2762,5.67,26,40.58,230.17
17,18,Pittsburgh,14,571,3191,5.59,30,40.79,227.93
18,19,UNLV,12,544,2692,4.95,23,45.33,224.33
19,20,Mississippi State,13,514,2907,5.66,26,39.54,223.62
20,21,Texas A&M,13,538,2847,5.29,28,41.38,219.00
21,22,Louisiana-Lafayette,14,553,3062,5.54,31,39.50,218.71
22,23,Tulane,13,604,2836,4.70,29,46.46,218.15
23,24,Houston,13,536,2822,5.26,29,41.23,217.08
24,25,Toledo,13,532,2807,5.28,30,40.92,215.92
25,26,Wake Forest,13,625,2778,4.44,21,48.08,213.69
26,27,Florida,13,526,2771,5.27,23,40.46,213.15
27,28,Nebraska,12,464,2508,5.41,25,38.67,209.00
28,29,Penn State,13,521,2664,5.11,34,40.08,204.92
29,30,Michigan,13,549,2649,4.83,26,42.23,203.77
30,31,Utah State,13,480,2641,5.50,37,36.92,203.15
31,32,Arizona,12,492,2429,4.94,14,41.00,202.42
32,33,Missouri,13,553,2631,4.76,27,42.54,202.38
33,34,UAB,14,623,2818,4.52,32,44.50,201.29
34,35,Tulsa,12,582,2406,4.13,23,48.50,200.50
35,36,Syracuse,13,602,2601,4.32,38,46.31,200.08
36,37,Connecticut,12,500,2394,4.79,16,41.67,199.50
37,38,Western Michigan,13,566,2593,4.58,32,43.54,199.46
38,39,Wyoming,12,495,2393,4.83,19,41.25,199.42
39,40,Kentucky,13,536,2592,4.84,27,41.23,199.38
40,41,Coastal Carolina,12,515,2384,4.63,21,42.92,198.67
41,42,Alabama,15,571,2976,5.21,33,38.07,198.40
42,43,South Florida,13,516,2517,4.88,26,39.69,193.62
43,44,North Carolina,11,402,2123,5.28,19,36.55,193.00
44,45,Miami (Florida),13,479,2489,5.20,25,36.85,191.46
45,46,Oklahoma State,13,518,2474,4.78,30,39.85,190.31
46,47,Buffalo,14,585,2648,4.53,36,41.79,189.14
47,48,Boston College,12,558,2269,4.07,23,46.50,189.08
48,49,Arkansas State,13,508,2402,4.73,18,39.08,184.77
