,Rank,Name,G,Ret.,Yards,Avg.,TD,Ret./G,Yards/G
0,1,Minnesota,13,12,267,22.25,2,0.9,20.5
1,2,Western Michigan,13,16,343,21.44,2,1.2,26.4
2,3,Miami (Florida),13,22,436,19.82,3,1.7,33.5
3,4,New Mexico,12,17,330,19.41,1,1.4,27.5
4,5,TCU,13,19,352,18.53,2,1.5,27.1
5,6,Georgia State,12,9,158,17.56,1,0.8,13.2
6,7,Georgia,14,22,366,16.64,2,1.6,26.1
7,8,Louisville,12,13,197,15.15,1,1.1,16.4
8,9,Army,13,12,179,14.92,0,0.9,13.8
9,10,South Alabama,12,7,104,14.86,1,0.6,8.7
10,11,Syracuse,13,24,356,14.83,2,1.8,27.4
11,12,Alabama,15,17,250,14.71,1,1.1,16.7
12,13,Florida International,13,15,219,14.60,1,1.2,16.8
13,14,Oklahoma,14,19,276,14.53,2,1.4,19.7
14,15,Middle Tennessee,14,8,115,14.38,1,0.6,8.2
15,16,North Carolina,11,20,286,14.30,1,1.8,26.0
16,17,Boston College,12,23,322,14.00,3,1.9,26.8
17,18,Louisiana-Monroe,12,7,93,13.29,1,0.6,7.8
18,19,Kentucky,13,15,198,13.20,2,1.2,15.2
19,20,Toledo,13,36,474,13.17,3,2.8,36.5
20,21,Temple,13,23,301,13.09,3,1.8,23.2
21,22,Appalachian State,13,27,349,12.93,3,2.1,26.8
22,23,Tennessee,12,15,192,12.80,2,1.3,16.0
23,24,Nevada,13,17,214,12.59,1,1.3,16.5
24,25,Iowa State,13,14,176,12.57,0,1.1,13.5
25,26,Tulsa,12,12,149,12.42,0,1.0,12.4
26,27,Kansas State,12,17,210,12.35,1,1.4,17.5
27,28,Texas,14,15,183,12.20,1,1.1,13.1
28,29,Florida State,12,21,251,11.95,1,1.8,20.9
29,29,Oregon,13,22,263,11.95,1,1.7,20.2
30,31,Old Dominion,12,16,191,11.94,1,1.3,15.9
31,32,Texas State,12,17,197,11.59,0,1.4,16.4
32,33,North Texas,13,17,196,11.53,1,1.3,15.1
33,34,Southern Mississippi,11,20,229,11.45,1,1.8,20.8
34,35,Wake Forest,13,32,361,11.28,3,2.5,27.8
35,36,San Jose State,12,14,157,11.21,1,1.2,13.1
36,37,Vanderbilt,13,16,176,11.00,0,1.2,13.5
37,37,Louisiana Tech,13,10,110,11.00,0,0.8,8.5
38,39,Auburn,13,32,344,10.75,1,2.5,26.5
39,40,Marshall,13,26,278,10.69,1,2.0,21.4
40,41,UAB,14,19,202,10.63,1,1.4,14.4
41,42,Georgia Southern,13,12,127,10.58,1,0.9,9.8
42,43,Iowa,13,28,296,10.57,1,2.2,22.8
43,44,Michigan,13,30,316,10.53,1,2.3,24.3
44,45,USC,12,22,231,10.50,2,1.8,19.3
45,46,Liberty,12,13,136,10.46,0,1.1,11.3
46,47,Arizona State,13,22,227,10.32,1,1.7,17.5
47,48,Memphis,14,31,317,10.23,1,2.2,22.6
48,49,Stanford,13,24,245,10.21,0,1.8,18.8
49,50,Arkansas,12,9,91,10.11,0,0.8,7.6
50,51,Arizona,12,20,202,10.10,0,1.7,16.8
51,52,Texas Tech,12,14,141,10.07,1,1.2,11.8
52,53,Eastern Michigan,13,21,209,9.95,0,1.6,16.1
53,54,Houston,13,17,167,9.82,0,1.3,12.8
54,55,Florida,13,27,265,9.81,2,2.1,20.4
55,55,Buffalo,14,26,255,9.81,0,1.9,18.2
56,57,Notre Dame,13,20,196,9.80,0,1.5,15.1
57,58,Troy,13,23,220,9.57,1,1.8,16.9
58,59,UCF,13,20,190,9.50,0,1.5,14.6
59,60,Nebraska,12,16,150,9.38,1,1.3,12.5
60,61,North Carolina State,13,15,140,9.33,0,1.2,10.8
61,62,Indiana,12,16,147,9.19,1,1.3,12.3
62,63,Air Force,12,12,110,9.17,1,1.0,9.2
63,64,Utah State,13,26,237,9.12,2,2.0,18.2
64,65,Ohio,13,21,191,9.10,3,1.6,14.7
65,66,UCLA,12,11,100,9.09,0,0.9,8.3
66,67,Akron,12,17,150,8.82,1,1.4,12.5
67,68,Texas A&M,13,24,209,8.71,0,1.8,16.1
68,69,Ball State,12,10,87,8.70,0,0.8,7.3
69,70,Hawai'i,14,20,173,8.65,1,1.4,12.4
70,71,SMU,12,22,184,8.36,0,1.8,15.3
71,72,Penn State,13,33,270,8.18,1,2.5,20.8
72,73,Boise State,13,32,256,8.00,1,2.5,19.7
73,73,Ohio State,14,27,216,8.00,1,1.9,15.4
74,73,Oregon State,12,10,80,8.00,0,0.8,6.7
75,76,South Carolina,13,12,95,7.92,0,0.9,7.3
76,77,Colorado,12,33,260,7.88,0,2.8,21.7
77,77,Arkansas State,13,32,252,7.88,1,2.5,19.4
78,79,Pittsburgh,14,20,157,7.85,1,1.4,11.2
79,80,Fresno State,14,18,138,7.67,0,1.3,9.9
80,81,Navy,13,14,106,7.57,0,1.1,8.2
81,82,Utah,14,30,223,7.43,0,2.1,15.9
82,82,East Carolina,12,14,104,7.43,0,1.2,8.7
83,84,Massachusetts,12,8,58,7.25,0,0.7,4.8
84,85,Clemson,15,42,300,7.14,1,2.8,20.0
85,86,New Mexico State,12,18,127,7.06,1,1.5,10.6
86,87,Georgia Tech,13,13,91,7.00,0,1.0,7.0
87,88,Virginia,13,36,247,6.86,0,2.8,19.0
88,89,Baylor,13,17,112,6.59,2,1.3,8.6
89,90,BYU,13,24,158,6.58,0,1.8,12.2
90,91,Oklahoma State,13,19,123,6.47,1,1.5,9.5
91,92,UTSA,12,16,102,6.38,0,1.3,8.5
92,93,Washington State,13,15,94,6.27,1,1.2,7.2
93,94,Virginia Tech,13,28,175,6.25,2,2.2,13.5
94,95,California,13,27,167,6.19,0,2.1,12.8
95,95,Northern Illinois,14,21,130,6.19,1,1.5,9.3
96,97,Michigan State,13,23,142,6.17,0,1.8,10.9
97,98,UTEP,12,21,129,6.14,0,1.8,10.8
98,99,Northwestern,14,24,146,6.08,0,1.7,10.4
99,100,LSU,13,17,99,5.82,0,1.3,7.6
100,101,Wyoming,12,27,156,5.78,0,2.3,13.0
101,102,Duke,13,28,160,5.71,0,2.2,12.3
102,102,Bowling Green,12,17,97,5.71,0,1.4,8.1
103,102,Purdue,13,14,80,5.71,0,1.1,6.2
104,105,West Virginia,12,11,62,5.64,0,0.9,5.2
105,106,Mississippi State,13,21,116,5.52,0,1.6,8.9
106,107,Coastal Carolina,12,9,49,5.44,0,0.8,4.1
107,108,Tulane,13,27,144,5.33,0,2.1,11.1
108,109,Washington,14,23,122,5.30,0,1.6,8.7
109,110,Cincinnati,13,26,137,5.27,0,2.0,10.5
110,111,Rutgers,12,11,55,5.00,0,0.9,4.6
111,112,San Diego State,13,23,114,4.96,1,1.8,8.8
112,113,Kansas,12,15,74,4.93,0,1.3,6.2
113,114,Western Kentucky,12,10,48,4.80,0,0.8,4.0
114,115,Wisconsin,13,19,91,4.79,0,1.5,7.0
115,116,Charlotte,12,12,57,4.75,0,1.0,4.8
116,117,Connecticut,12,3,14,4.67,0,0.3,1.2
117,118,Florida Atlantic,12,15,69,4.60,0,1.3,5.8
118,119,South Florida,13,20,89,4.45,0,1.5,6.8
119,120,Maryland,12,18,78,4.33,1,1.5,6.5
120,121,Louisiana-Lafayette,14,21,86,4.10,0,1.5,6.1
121,122,Kent State,12,18,71,3.94,0,1.5,5.9
122,123,Colorado State,12,15,55,3.67,0,1.3,4.6
123,124,Central Michigan,12,17,61,3.59,0,1.4,5.1
124,125,Illinois,12,18,60,3.33,1,1.5,5.0
125,126,Mississippi,12,11,36,3.27,0,0.9,3.0
126,127,UNLV,12,13,39,3.00,0,1.1,3.3
127,128,Miami (Ohio),12,12,32,2.67,0,1.0,2.7
128,129,Missouri,13,20,52,2.60,0,1.5,4.0
129,130,Rice,13,7,16,2.29,0,0.5,1.2
