,Rank,Name,G,TFL,TFL Yards,TFL/G
0,1,Clemson,15,136.0,617,9.07
1,1,Miami (Florida),13,136.0,471,10.46
2,3,UAB,14,111.0,466,7.93
3,4,Northern Illinois,14,110.0,483,7.86
4,5,Utah,14,109.0,436,7.79
5,6,Penn State,13,107.0,443,8.23
6,6,Alabama,15,107.0,395,7.13
7,8,UCF,13,106.0,334,8.15
8,9,East Carolina,12,105.0,383,8.75
9,10,Memphis,14,104.0,382,7.43
10,11,Mississippi State,13,103.0,461,7.92
11,11,Nevada,13,103.0,375,7.92
12,13,Louisiana Tech,13,101.0,415,7.77
13,14,Troy,13,100.0,411,7.69
14,14,Texas A&M,13,100.0,398,7.69
15,14,Arkansas State,13,100.0,370,7.69
16,17,Ohio State,14,99.0,421,7.07
17,18,Texas,14,98.5,365,7.04
18,19,North Texas,13,97.0,407,7.46
19,20,Syracuse,13,96.0,429,7.39
20,20,Auburn,13,96.0,374,7.39
21,20,West Virginia,12,96.0,366,8.00
22,20,Oklahoma State,13,96.0,344,7.39
23,24,Utah State,13,95.0,365,7.31
24,25,Marshall,13,92.0,407,7.08
25,25,Louisiana-Monroe,12,92.0,349,7.67
26,27,SMU,12,91.0,309,7.58
27,28,Western Michigan,13,90.0,363,6.92
28,28,Toledo,13,90.0,358,6.92
29,30,Iowa State,13,89.0,375,6.85
30,30,Middle Tennessee,14,89.0,372,6.36
31,32,Washington State,13,88.0,381,6.77
32,32,Michigan,13,88.0,376,6.77
33,32,TCU,13,88.0,320,6.77
34,32,South Florida,13,88.0,306,6.77
35,36,Kentucky,13,87.0,377,6.69
36,36,Arizona State,13,87.0,352,6.69
37,38,Florida,13,86.0,323,6.62
38,38,Mississippi,12,86.0,317,7.17
39,38,Appalachian State,13,86.0,309,6.62
40,38,Houston,13,86.0,301,6.62
41,42,Pittsburgh,14,85.0,358,6.07
42,42,Tulane,13,85.0,352,6.54
43,42,Michigan State,13,85.0,318,6.54
44,45,LSU,13,83.0,398,6.39
45,45,North Carolina State,13,83.0,321,6.39
46,45,USC,12,83.0,311,6.92
47,45,Wake Forest,13,83.0,276,6.39
48,49,Boise State,13,82.0,388,6.31
49,49,Cincinnati,13,82.0,341,6.31
50,51,Akron,12,81.0,345,6.75
51,51,Temple,13,81.0,328,6.23
52,53,Boston College,12,80.0,320,6.67
53,53,Virginia Tech,13,80.0,314,6.15
54,53,Northwestern,14,80.0,281,5.71
55,53,South Carolina,13,80.0,270,6.15
56,57,North Carolina,11,79.0,319,7.18
57,57,Oklahoma,14,79.0,319,5.64
58,57,Duke,13,79.0,254,6.08
59,60,Notre Dame,13,78.0,351,6.00
60,60,Buffalo,14,78.0,316,5.57
61,60,Colorado,12,78.0,306,6.50
62,60,Miami (Ohio),12,78.0,278,6.50
63,60,UTSA,12,78.0,250,6.50
64,65,California,13,77.0,347,5.92
65,65,Central Michigan,12,77.0,313,6.42
66,67,Eastern Michigan,13,76.0,285,5.85
67,67,Arizona,12,76.0,275,6.33
68,69,New Mexico State,12,75.0,306,6.25
69,69,Ohio,13,75.0,290,5.77
70,71,Missouri,13,73.0,274,5.62
71,72,Oregon,13,72.0,301,5.54
72,72,Southern Mississippi,11,72.0,247,6.55
73,72,UNLV,12,72.0,234,6.00
74,75,Stanford,13,71.0,326,5.46
75,75,Iowa,13,71.0,322,5.46
76,75,Minnesota,13,71.0,245,5.46
77,78,Texas Tech,12,70.0,308,5.83
78,78,Hawai'i,14,70.0,290,5.00
79,78,Florida Atlantic,12,70.0,247,5.83
80,78,Fresno State,14,70.0,236,5.00
81,82,Baylor,13,69.0,304,5.31
82,82,Florida State,12,69.0,292,5.75
83,82,Arkansas,12,69.0,267,5.75
84,82,Air Force,12,69.0,267,5.75
85,82,Indiana,12,69.0,251,5.75
86,87,Tennessee,12,68.0,269,5.67
87,87,Wyoming,12,68.0,251,5.67
88,87,San Diego State,13,68.0,240,5.23
89,87,Florida International,13,68.0,228,5.23
90,91,Army,13,66.0,287,5.08
91,91,Kansas,12,66.0,266,5.50
92,91,Liberty,12,66.0,263,5.50
93,91,New Mexico,12,66.0,257,5.50
94,95,Georgia,14,65.0,252,4.64
95,95,Western Kentucky,12,65.0,241,5.42
96,95,Ball State,12,65.0,230,5.42
97,95,Old Dominion,12,65.0,224,5.42
98,95,Illinois,12,65.0,223,5.42
99,100,Washington,14,64.0,289,4.57
100,101,Nebraska,12,63.0,274,5.25
101,101,Louisiana-Lafayette,14,63.0,235,4.50
102,101,Wisconsin,13,63.0,233,4.85
103,101,Georgia Southern,13,63.0,225,4.85
104,101,Charlotte,12,63.0,219,5.25
105,106,Virginia,13,62.0,257,4.77
106,106,South Alabama,12,62.0,244,5.17
107,106,Vanderbilt,13,62.0,227,4.77
108,106,Massachusetts,12,62.0,196,5.17
109,110,Coastal Carolina,12,61.0,259,5.08
110,110,Purdue,13,61.0,250,4.69
111,110,Colorado State,12,61.0,232,5.08
112,113,Rutgers,12,60.0,235,5.00
113,113,UTEP,12,60.0,217,5.00
114,115,BYU,13,59.0,230,4.54
115,115,Tulsa,12,59.0,209,4.92
116,117,San Jose State,12,58.0,184,4.83
117,117,Texas State,12,58.0,176,4.83
118,119,Rice,13,57.0,219,4.39
119,120,Kent State,12,56.0,229,4.67
120,121,UCLA,12,55.0,184,4.58
121,122,Georgia Tech,13,54.0,214,4.15
122,122,Maryland,12,54.0,210,4.50
123,124,Oregon State,12,53.0,217,4.42
124,125,Connecticut,12,52.0,149,4.33
125,126,Kansas State,12,50.0,204,4.17
126,127,Louisville,12,46.0,145,3.83
127,128,Georgia State,12,43.0,146,3.58
128,129,Bowling Green,12,39.0,143,3.25
129,130,Navy,13,37.0,139,2.85
