,Rank,Name,G,Opponent Fumbles,Fumbles Recovered,Fumble Recovery %
0,1,Boise State,13,22,17,77.27
1,2,Ohio,13,21,16,76.19
2,3,Northwestern,14,21,14,66.67
3,3,UCF,13,19,14,73.68
4,5,Troy,13,27,13,48.15
5,5,Temple,13,25,13,52.00
6,5,Syracuse,13,24,13,54.17
7,5,New Mexico,12,23,13,56.52
8,5,Indiana,12,22,13,59.09
9,5,Georgia Tech,13,21,13,61.90
10,5,Army,13,15,13,86.67
11,12,Clemson,15,33,12,36.36
12,12,Memphis,14,27,12,44.44
13,12,Virginia Tech,13,25,12,48.00
14,12,Central Michigan,12,24,12,50.00
15,12,Ohio State,14,24,12,50.00
16,12,Georgia Southern,13,22,12,54.55
17,12,Texas State,12,20,12,60.00
18,12,Marshall,13,20,12,60.00
19,12,Navy,13,20,12,60.00
20,12,Florida,13,16,12,75.00
21,22,Eastern Michigan,13,31,11,35.48
22,22,Washington State,13,24,11,45.83
23,22,Kentucky,13,23,11,47.83
24,22,SMU,12,22,11,50.00
25,22,Western Michigan,13,22,11,50.00
26,22,Arkansas,12,21,11,52.38
27,22,Northern Illinois,14,19,11,57.89
28,22,Rice,13,19,11,57.89
29,22,Wisconsin,13,18,11,61.11
30,22,UAB,14,18,11,61.11
31,22,Kansas,12,18,11,61.11
32,22,Nevada,13,17,11,64.71
33,22,Tulsa,12,17,11,64.71
34,22,Akron,12,14,11,78.57
35,36,Kent State,12,22,10,45.45
36,36,South Carolina,13,21,10,47.62
37,36,Houston,13,21,10,47.62
38,36,North Carolina,11,20,10,50.00
39,36,UNLV,12,20,10,50.00
40,36,Buffalo,14,19,10,52.63
41,36,Liberty,12,19,10,52.63
42,36,Minnesota,13,18,10,55.56
43,36,New Mexico State,12,17,10,58.82
44,36,Utah State,13,17,10,58.82
45,36,UTSA,12,15,10,66.67
46,36,South Florida,13,14,10,71.43
47,36,Wake Forest,13,14,10,71.43
48,49,West Virginia,12,25,9,36.00
49,49,Pittsburgh,14,24,9,37.50
50,49,Georgia,14,23,9,39.13
51,49,Washington,14,23,9,39.13
52,49,Duke,13,23,9,39.13
53,49,Nebraska,12,22,9,40.91
54,49,Michigan State,13,21,9,42.86
55,49,Toledo,13,20,9,45.00
56,49,Vanderbilt,13,20,9,45.00
57,49,North Carolina State,13,18,9,50.00
58,49,Miami (Florida),13,17,9,52.94
59,49,Arizona State,13,17,9,52.94
60,49,BYU,13,17,9,52.94
61,49,Notre Dame,13,16,9,56.25
62,49,Louisiana Tech,13,16,9,56.25
63,49,TCU,13,14,9,64.29
64,65,Texas,14,23,8,34.78
65,65,Arkansas State,13,22,8,36.36
66,65,Arizona,12,19,8,42.11
67,65,Kansas State,12,19,8,42.11
68,65,Auburn,13,18,8,44.44
69,65,Mississippi,12,17,8,47.06
70,65,Iowa State,13,17,8,47.06
71,65,Coastal Carolina,12,16,8,50.00
72,65,Miami (Ohio),12,16,8,50.00
73,65,Massachusetts,12,15,8,53.33
74,65,Oklahoma State,13,15,8,53.33
75,65,Bowling Green,12,15,8,53.33
76,65,Middle Tennessee,14,14,8,57.14
77,65,Cincinnati,13,13,8,61.54
78,65,Southern Mississippi,11,12,8,66.67
79,65,LSU,13,10,8,80.00
80,65,Boston College,12,10,8,80.00
81,82,Penn State,13,24,7,29.17
82,82,Hawai'i,14,21,7,33.33
83,82,California,13,17,7,41.18
84,82,Charlotte,12,17,7,41.18
85,82,Colorado,12,16,7,43.75
86,82,Stanford,13,16,7,43.75
87,82,Mississippi State,13,14,7,50.00
88,82,Alabama,15,14,7,50.00
89,82,Iowa,13,13,7,53.85
90,82,Fresno State,14,12,7,58.33
91,82,Louisville,12,12,7,58.33
92,82,San Jose State,12,12,7,58.33
93,82,UCLA,12,12,7,58.33
94,82,Air Force,12,12,7,58.33
95,82,Louisiana-Lafayette,14,11,7,63.64
96,97,Oregon,13,20,6,30.00
97,97,Appalachian State,13,17,6,35.29
98,97,East Carolina,12,16,6,37.50
99,97,Texas Tech,12,15,6,40.00
100,97,Louisiana-Monroe,12,15,6,40.00
101,97,Utah,14,15,6,40.00
102,97,UTEP,12,14,6,42.86
103,97,Ball State,12,14,6,42.86
104,97,South Alabama,12,14,6,42.86
105,97,Missouri,13,14,6,42.86
106,97,Tulane,13,14,6,42.86
107,97,Tennessee,12,13,6,46.15
108,97,Western Kentucky,12,12,6,50.00
109,97,Connecticut,12,12,6,50.00
110,97,USC,12,11,6,54.55
111,97,Rutgers,12,11,6,54.55
112,97,Michigan,13,7,6,85.71
113,114,Oregon State,12,17,5,29.41
114,114,San Diego State,13,16,5,31.25
115,114,Maryland,12,14,5,35.71
116,114,Colorado State,12,14,5,35.71
117,114,Illinois,12,14,5,35.71
118,114,Wyoming,12,13,5,38.46
119,114,Florida International,13,12,5,41.67
120,114,Oklahoma,14,9,5,55.56
121,114,Old Dominion,12,8,5,62.50
122,123,Texas A&M,13,19,4,21.05
123,123,Virginia,13,12,4,33.33
124,123,North Texas,13,11,4,36.36
125,123,Georgia State,12,8,4,50.00
126,127,Florida State,12,17,3,17.65
127,127,Purdue,13,10,3,30.00
128,127,Baylor,13,10,3,30.00
129,127,Florida Atlantic,12,9,3,33.33
