,Rank,Name,G,Attempts,Scores,Score %,TD,TD %,FG,FG %
0,1,Miami (Ohio),12,43,42,97.67,34,79.07,8,18.60
1,2,Akron,12,21,20,95.24,12,57.14,8,38.10
2,3,Navy,13,38,36,94.74,29,76.32,7,18.42
3,4,Maryland,12,31,29,93.55,19,61.29,10,32.26
4,5,Georgia Southern,13,42,39,92.86,30,71.43,9,21.43
5,6,Purdue,13,49,45,91.84,29,59.18,16,32.65
6,7,Air Force,12,46,42,91.30,34,73.91,8,17.39
7,8,Fresno State,14,57,52,91.23,42,73.68,10,17.54
8,9,Oklahoma,14,68,62,91.18,46,67.65,17,25.00
9,10,Iowa State,13,45,41,91.11,28,62.22,13,28.89
10,11,Tulane,13,33,30,90.91,22,66.67,8,24.24
11,12,Virginia Tech,13,42,38,90.48,29,69.05,9,21.43
12,13,Georgia,14,60,54,90.00,40,66.67,14,23.33
13,13,Kent State,12,40,36,90.00,24,60.00,12,30.00
14,15,UCF,13,59,53,89.83,47,79.66,6,10.17
15,16,Utah,14,49,44,89.80,28,57.14,16,32.65
16,17,Penn State,13,58,52,89.66,42,72.41,10,17.24
17,18,Louisiana-Lafayette,14,48,43,89.58,35,72.92,8,16.67
18,19,Oklahoma State,13,67,60,89.55,45,67.16,15,22.39
19,20,Coastal Carolina,12,38,34,89.47,23,60.53,11,28.95
20,21,Syracuse,13,75,67,89.33,45,60.00,22,29.33
21,22,Stanford,13,46,41,89.13,29,63.04,12,26.09
22,23,Ohio,13,72,64,88.89,52,72.22,12,16.67
23,23,Memphis,14,63,56,88.89,46,73.02,10,15.87
24,23,Mississippi,12,54,48,88.89,27,50.00,21,38.89
25,26,Nebraska,12,44,39,88.64,27,61.36,12,27.27
26,27,LSU,13,60,53,88.33,31,51.67,22,36.67
27,28,Tennessee,12,34,30,88.24,22,64.71,8,23.53
28,28,Southern Mississippi,11,34,30,88.24,20,58.82,11,32.35
29,30,Mississippi State,13,42,37,88.10,29,69.05,8,19.05
30,31,Clemson,15,75,66,88.00,57,76.00,9,12.00
31,32,Army,13,58,51,87.93,42,72.41,9,15.52
32,32,Texas Tech,12,58,51,87.93,40,68.97,11,18.97
33,34,UNLV,12,41,36,87.80,31,75.61,5,12.20
34,35,Arizona State,13,49,43,87.76,29,59.18,14,28.57
35,36,Houston,13,57,50,87.72,45,78.95,5,8.77
36,36,Michigan,13,57,50,87.72,34,59.65,16,28.07
37,38,Washington State,13,64,56,87.50,50,78.13,6,9.38
38,39,North Carolina State,13,71,62,87.32,43,60.56,19,26.76
39,40,Missouri,13,62,54,87.10,38,61.29,16,25.81
40,41,Utah State,13,61,53,86.89,40,65.57,14,22.95
41,42,Wisconsin,13,53,46,86.79,37,69.81,9,16.98
42,43,North Texas,13,60,52,86.67,38,63.33,14,23.33
43,43,South Florida,13,45,39,86.67,24,53.33,15,33.33
44,45,Notre Dame,13,52,45,86.54,32,61.54,13,25.00
45,45,Middle Tennessee,14,52,45,86.54,28,53.85,17,32.69
46,47,Georgia State,12,37,32,86.49,25,67.57,7,18.92
47,47,East Carolina,12,37,32,86.49,20,54.05,12,32.43
48,49,Illinois,12,36,31,86.11,21,58.33,10,27.78
49,50,Liberty,12,50,43,86.00,37,74.00,6,12.00
50,51,Iowa,13,55,47,85.45,38,69.09,9,16.36
51,52,Miami (Florida),13,48,41,85.42,32,66.67,9,18.75
52,52,Massachusetts,12,48,41,85.42,31,64.58,10,20.83
53,52,Louisiana Tech,13,48,41,85.42,29,60.42,12,25.00
54,55,Wake Forest,13,61,52,85.25,37,60.66,15,24.59
55,56,Appalachian State,13,54,46,85.19,38,70.37,8,14.81
56,57,Duke,13,47,40,85.11,31,65.96,9,19.15
57,57,Northwestern,14,47,40,85.11,30,63.83,10,21.28
58,57,Nevada,13,47,40,85.11,27,57.45,13,27.66
59,60,Texas A&M,13,67,57,85.07,40,59.70,17,25.37
60,61,BYU,13,52,44,84.62,36,69.23,8,15.38
61,61,South Alabama,12,39,33,84.62,27,69.23,6,15.38
62,63,Arizona,12,45,38,84.44,23,51.11,15,33.33
63,64,Rice,13,32,27,84.38,18,56.25,9,28.13
64,65,Oregon,13,51,43,84.31,38,74.51,5,9.80
65,66,Hawai'i,14,57,48,84.21,36,63.16,12,21.05
66,66,Colorado,12,38,32,84.21,24,63.16,8,21.05
67,68,Boise State,13,50,42,84.00,31,62.00,11,22.00
68,69,Florida,13,56,47,83.93,33,58.93,14,25.00
69,70,Arkansas,12,37,31,83.78,16,43.24,15,40.54
70,71,Florida Atlantic,12,48,40,83.33,31,64.58,9,18.75
71,71,Ball State,12,42,35,83.33,28,66.67,7,16.67
72,73,SMU,12,47,39,82.98,30,63.83,9,19.15
73,74,Michigan State,13,41,34,82.93,20,48.78,14,34.15
74,75,Troy,13,46,38,82.61,28,60.87,10,21.74
75,76,New Mexico,12,40,33,82.50,28,70.00,5,12.50
76,77,UAB,14,57,47,82.46,34,59.65,14,24.56
77,78,Alabama,15,79,65,82.28,54,68.35,11,13.92
78,79,North Carolina,11,45,37,82.22,24,53.33,13,28.89
79,80,Colorado State,12,39,32,82.05,26,66.67,6,15.38
80,80,Pittsburgh,14,39,32,82.05,25,64.10,7,17.95
81,80,Northern Illinois,14,39,32,82.05,22,56.41,10,25.64
82,83,Texas,14,50,41,82.00,33,66.00,8,16.00
83,84,Western Michigan,13,55,45,81.82,36,65.45,9,16.36
84,84,Indiana,12,44,36,81.82,25,56.82,11,25.00
85,86,Florida International,13,49,40,81.63,32,65.31,8,16.33
86,87,Kentucky,13,38,31,81.58,22,57.89,9,23.68
87,88,Wyoming,12,27,22,81.48,12,44.44,10,37.04
88,89,Minnesota,13,59,48,81.36,37,62.71,11,18.64
89,90,West Virginia,12,53,43,81.13,35,66.04,8,15.09
90,90,Auburn,13,53,43,81.13,32,60.38,11,20.75
91,92,UCLA,12,37,30,81.08,22,59.46,8,21.62
92,93,Charlotte,12,42,34,80.95,24,57.14,10,23.81
93,94,UTSA,12,26,21,80.77,15,57.69,6,23.08
94,95,Louisville,12,36,29,80.56,22,61.11,7,19.44
95,95,San Diego State,13,36,29,80.56,18,50.00,11,30.56
96,97,Boston College,12,41,33,80.49,28,68.29,5,12.20
97,98,Temple,13,56,45,80.36,35,62.50,10,17.86
98,99,Cincinnati,13,50,40,80.00,37,74.00,3,6.00
99,99,Bowling Green,12,35,28,80.00,23,65.71,5,14.29
100,99,USC,12,35,28,80.00,19,54.29,9,25.71
101,102,Georgia Tech,13,58,46,79.31,40,68.97,6,10.34
102,102,Old Dominion,12,58,46,79.31,37,63.79,10,17.24
103,104,Washington,14,62,49,79.03,35,56.45,14,22.58
104,105,Tulsa,12,52,41,78.85,30,57.69,11,21.15
105,106,Oregon State,12,47,37,78.72,29,61.70,9,19.15
106,107,Toledo,13,61,48,78.69,39,63.93,9,14.75
107,108,Eastern Michigan,13,51,40,78.43,30,58.82,10,19.61
108,109,San Jose State,12,37,29,78.38,19,51.35,10,27.03
109,110,UTEP,12,32,25,78.13,19,59.38,6,18.75
110,110,Florida State,12,32,25,78.13,19,59.38,6,18.75
111,112,Arkansas State,13,50,39,78.00,30,60.00,11,22.00
112,113,Marshall,13,59,46,77.97,31,52.54,15,25.42
113,114,New Mexico State,12,40,31,77.50,21,52.50,10,25.00
114,114,Kansas State,12,40,31,77.50,19,47.50,12,30.00
115,116,Ohio State,14,70,54,77.14,43,61.43,11,15.71
116,117,Central Michigan,12,26,20,76.92,14,53.85,6,23.08
117,118,South Carolina,13,56,43,76.79,32,57.14,11,19.64
118,119,TCU,13,34,26,76.47,16,47.06,10,29.41
119,120,Western Kentucky,12,42,32,76.19,25,59.52,7,16.67
120,121,Vanderbilt,13,50,38,76.00,30,60.00,9,18.00
121,122,Buffalo,14,66,50,75.76,43,65.15,7,10.61
122,122,Texas State,12,33,25,75.76,20,60.61,5,15.15
123,124,Kansas,12,28,21,75.00,15,53.57,6,21.43
124,125,Baylor,13,55,41,74.55,32,58.18,9,16.36
125,126,Connecticut,12,35,26,74.29,26,74.29,0,0.00
126,127,Virginia,13,54,40,74.07,28,51.85,12,22.22
127,127,Rutgers,12,27,20,74.07,13,48.15,7,25.93
128,129,Louisiana-Monroe,12,49,36,73.47,27,55.10,9,18.37
129,130,California,13,39,28,71.79,19,48.72,9,23.08
