,Rank,Name,G,10+Yards,20+Yards,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
0,1,Georgia Tech,13,124,38,20,8,4,2,0,0,0
1,2,Ohio,13,118,31,17,9,2,1,1,0,0
2,3,UCF,13,117,36,12,7,4,3,3,0,0
3,4,Memphis,14,114,46,26,18,14,9,5,2,0
4,4,Oklahoma,14,114,37,18,11,7,6,2,1,0
5,6,Cincinnati,13,111,30,14,8,3,1,1,1,0
6,6,Clemson,15,111,44,24,13,10,7,3,0,0
7,8,Georgia,14,109,37,15,7,5,4,3,1,0
8,9,Alabama,15,105,19,8,4,2,1,1,0,0
9,9,Georgia Southern,13,105,32,15,8,4,2,0,0,0
10,9,Texas A&M,13,105,29,12,7,4,3,2,1,1
11,12,Houston,13,103,29,15,6,5,4,1,0,0
12,12,Wisconsin,13,103,32,17,6,3,3,3,2,0
13,14,Navy,13,100,28,17,10,6,2,1,0,0
14,15,Pittsburgh,14,99,34,18,11,9,7,3,1,1
15,16,Florida Atlantic,12,97,30,12,5,1,1,1,0,0
16,17,Army,13,96,27,9,5,4,1,1,0,0
17,17,Maryland,12,96,33,18,11,8,6,3,2,0
18,17,UAB,14,96,22,6,2,2,1,0,0,0
19,20,Illinois,12,94,29,20,14,8,6,5,1,0
20,20,Oklahoma State,13,94,26,11,4,3,2,2,1,1
21,20,Toledo,13,94,24,10,6,2,1,1,0,0
22,23,Louisiana-Lafayette,14,90,32,20,13,6,5,2,1,1
23,23,Nebraska,12,90,31,13,8,4,2,0,0,0
24,25,Mississippi State,13,89,26,12,5,3,2,1,0,0
25,25,Tulane,13,89,33,18,8,4,2,1,0,0
26,27,Appalachian State,13,88,33,17,13,11,7,3,1,0
27,28,Penn State,13,86,23,12,9,5,3,1,0,0
28,29,Air Force,12,84,20,13,8,3,0,0,0,0
29,29,Connecticut,12,84,20,10,6,4,2,1,0,0
30,29,Florida,13,84,26,11,5,3,2,1,0,0
31,32,Coastal Carolina,12,82,26,8,3,3,2,1,1,0
32,32,Wake Forest,13,82,20,10,7,4,1,1,0,0
33,34,Baylor,13,80,13,8,2,2,1,1,0,0
34,34,Notre Dame,13,80,21,12,5,3,1,1,1,1
35,36,Miami (Florida),13,79,26,17,10,6,5,2,1,0
36,36,South Florida,13,79,22,14,8,6,6,4,1,0
37,36,UNLV,12,79,26,12,7,4,4,3,0,0
38,39,Arizona State,13,78,18,8,6,0,0,0,0,0
39,39,Arkansas State,13,78,18,9,3,2,1,0,0,0
40,39,Georgia State,12,78,16,5,4,2,2,2,1,0
