,Rank,Name,G,Attempts,Scores,Score %,TD,TD %,FG,FG %
0,1,Fresno State,14,27,18,66.67,12,44.44,6,22.22
1,2,Utah,14,40,27,67.50,20,50.00,7,17.50
2,3,Nevada,13,48,33,68.75,27,56.25,8,16.67
3,4,Clemson,15,36,26,72.22,15,41.67,11,30.56
4,5,Eastern Michigan,13,48,35,72.92,22,45.83,13,27.08
5,6,Alabama,15,41,30,73.17,24,58.54,6,14.63
6,7,Kent State,12,60,44,73.33,39,65.00,5,8.33
7,8,Mississippi State,13,34,25,73.53,10,29.41,15,44.12
8,9,Oklahoma State,13,53,39,73.58,29,54.72,10,18.87
9,10,Southern Mississippi,11,31,23,74.19,16,51.61,8,25.81
10,11,Notre Dame,13,36,27,75.00,19,52.78,8,22.22
11,11,Penn State,13,36,27,75.00,21,58.33,6,16.67
12,11,Kentucky,13,40,30,75.00,19,47.50,11,27.50
13,11,UCF,13,44,33,75.00,19,43.18,14,31.82
14,15,Texas A&M,13,37,28,75.68,25,67.57,3,8.11
15,16,Iowa State,13,46,35,76.09,26,56.52,9,19.57
16,17,Syracuse,13,51,39,76.47,26,50.98,13,25.49
17,17,Texas,14,51,39,76.47,29,56.86,10,19.61
18,19,North Carolina State,13,47,36,76.60,23,48.94,13,27.66
19,20,Army,13,30,23,76.67,21,70.00,3,10.00
20,21,Arizona,12,48,37,77.08,30,62.50,7,14.58
21,22,Troy,13,44,34,77.27,28,63.64,6,13.64
22,23,Florida International,13,53,41,77.36,31,58.49,10,18.87
23,24,North Texas,13,45,35,77.78,23,51.11,12,26.67
24,24,Tulane,13,45,35,77.78,25,55.56,10,22.22
25,26,Texas Tech,12,46,36,78.26,26,56.52,10,21.74
26,27,Arkansas State,13,37,29,78.38,24,64.86,5,13.51
27,28,Central Michigan,12,47,37,78.72,28,59.57,9,19.15
28,28,Middle Tennessee,14,47,37,78.72,29,61.70,8,17.02
29,30,Cincinnati,13,33,26,78.79,18,54.55,8,24.24
30,31,Virginia Tech,13,52,41,78.85,31,59.62,10,19.23
31,32,TCU,13,38,30,78.95,21,55.26,9,23.68
32,33,Kansas,12,48,38,79.17,30,62.50,8,16.67
33,34,Iowa,13,29,23,79.31,18,62.07,5,17.24
34,35,Stanford,13,49,39,79.59,24,48.98,15,30.61
35,36,Michigan State,13,30,24,80.00,12,40.00,12,40.00
36,36,Appalachian State,13,30,24,80.00,13,43.33,11,36.67
37,36,Northwestern,14,45,36,80.00,21,46.67,15,33.33
38,36,Boston College,12,45,36,80.00,28,62.22,8,17.78
39,36,Liberty,12,55,44,80.00,33,60.00,11,20.00
40,41,Purdue,13,56,45,80.36,31,55.36,14,25.00
41,42,Charlotte,12,41,33,80.49,24,58.54,9,21.95
42,43,Pittsburgh,14,52,42,80.77,31,59.62,11,21.15
43,43,Navy,13,52,42,80.77,37,71.15,5,9.62
44,45,Tulsa,12,53,43,81.13,27,50.94,16,30.19
45,45,Akron,12,53,43,81.13,30,56.60,13,24.53
46,47,Rutgers,12,43,35,81.40,28,65.12,7,16.28
47,47,Miami (Ohio),12,43,35,81.40,33,76.74,2,4.65
48,49,Vanderbilt,13,54,44,81.48,28,51.85,16,29.63
49,50,Buffalo,14,38,31,81.58,25,65.79,6,15.79
50,51,Western Kentucky,12,49,40,81.63,23,46.94,18,36.73
51,51,Temple,13,49,40,81.63,34,69.39,6,12.24
52,53,USC,12,33,27,81.82,21,63.64,6,18.18
53,53,Nebraska,12,55,45,81.82,33,60.00,12,21.82
54,55,Miami (Florida),13,39,32,82.05,19,48.72,13,33.33
55,55,Washington,14,39,32,82.05,23,58.97,9,23.08
56,55,Ohio,13,39,32,82.05,26,66.67,6,15.38
57,58,South Carolina,13,62,51,82.26,37,59.68,14,22.58
