,Rank,Name,G,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
0,1,BYU,13,0,0,0,0,0,0,0
1,1,Florida Atlantic,12,0,0,0,0,0,0,0
2,1,New Mexico,12,0,0,0,0,0,0,0
3,1,Texas A&M,13,0,0,0,0,0,0,0
4,5,Air Force,12,1,0,0,0,0,0,0
5,5,Akron,12,1,1,0,0,0,0,0
6,5,Auburn,13,1,1,0,0,0,0,0
7,5,East Carolina,12,1,0,0,0,0,0,0
8,5,Eastern Michigan,13,1,1,1,1,0,0,0
9,5,Illinois,12,1,1,1,1,1,1,1
10,5,Iowa,13,1,1,1,1,0,0,0
11,5,LSU,13,1,0,0,0,0,0,0
12,5,Michigan,13,1,1,1,1,1,1,1
13,5,North Carolina,11,1,0,0,0,0,0,0
14,5,Ohio State,14,1,0,0,0,0,0,0
15,5,Oregon State,12,1,0,0,0,0,0,0
16,5,Rice,13,1,0,0,0,0,0,0
17,5,San Diego State,13,1,1,1,1,0,0,0
18,5,South Carolina,13,1,1,0,0,0,0,0
19,5,Stanford,13,1,1,1,1,1,1,1
20,5,UAB,14,1,1,0,0,0,0,0
21,5,UNLV,12,1,1,1,1,1,0,0
22,5,Virginia Tech,13,1,0,0,0,0,0,0
23,5,Wisconsin,13,1,0,0,0,0,0,0
24,25,Arizona,12,2,0,0,0,0,0,0
25,25,Arkansas,12,2,2,2,2,2,2,2
26,25,Ball State,12,2,0,0,0,0,0,0
27,25,Boise State,13,2,0,0,0,0,0,0
28,25,Bowling Green,12,2,1,0,0,0,0,0
29,25,Charlotte,12,2,1,1,1,1,1,1
30,25,Clemson,15,2,1,1,1,1,1,1
31,25,Colorado,12,2,0,0,0,0,0,0
32,25,Florida State,12,2,0,0,0,0,0,0
33,25,Kentucky,13,2,0,0,0,0,0,0
34,25,Louisiana-Monroe,12,2,0,0,0,0,0,0
35,25,Michigan State,13,2,1,0,0,0,0,0
36,25,Nebraska,12,2,1,1,1,1,1,0
37,25,Ohio,13,2,1,0,0,0,0,0
38,25,Old Dominion,12,2,1,1,1,1,1,1
39,25,Syracuse,13,2,1,1,0,0,0,0
40,41,Arkansas State,13,3,1,0,0,0,0,0
41,41,Baylor,13,3,1,1,1,0,0,0
42,41,California,13,3,1,0,0,0,0,0
43,41,Florida International,13,3,1,1,0,0,0,0
44,41,Georgia State,12,3,1,1,1,1,1,1
45,41,Iowa State,13,3,1,0,0,0,0,0
46,41,Kansas,12,3,1,0,0,0,0,0
47,41,Kent State,12,3,1,1,0,0,0,0
48,41,Massachusetts,12,3,1,1,1,0,0,0
49,41,Miami (Ohio),12,3,1,0,0,0,0,0
50,41,Navy,13,3,3,1,1,1,1,1
51,41,North Texas,13,3,2,1,1,0,0,0
52,41,Northern Illinois,14,3,0,0,0,0,0,0
53,41,Notre Dame,13,3,2,2,2,2,2,2
54,41,Oklahoma State,13,3,0,0,0,0,0,0
55,41,Rutgers,12,3,0,0,0,0,0,0
56,41,TCU,13,3,1,0,0,0,0,0
57,41,Texas Tech,12,3,2,2,1,1,1,1
58,41,Toledo,13,3,1,0,0,0,0,0
59,41,Troy,13,3,2,1,0,0,0,0
60,41,Tulane,13,3,1,1,0,0,0,0
61,41,UTEP,12,3,1,0,0,0,0,0
62,41,UTSA,12,3,2,1,1,1,0,0
63,41,Wyoming,12,3,1,1,1,1,1,1
64,65,Alabama,15,4,3,3,2,1,0,0
65,65,Arizona State,13,4,2,2,1,0,0,0
66,65,Central Michigan,12,4,0,0,0,0,0,0
67,65,Colorado State,12,4,3,1,0,0,0,0
68,65,Georgia,14,4,2,2,1,1,1,1
69,65,Louisville,12,4,2,1,1,1,0,0
70,65,Memphis,14,4,3,1,0,0,0,0
71,65,Miami (Florida),13,4,1,0,0,0,0,0
72,65,Nevada,13,4,1,1,1,1,1,1
73,65,Oklahoma,14,4,2,1,1,1,1,1
74,65,Penn State,13,4,2,1,1,1,1,1
75,65,San Jose State,12,4,3,1,1,0,0,0
76,65,South Alabama,12,4,2,2,1,0,0,0
77,65,Southern Mississippi,11,4,0,0,0,0,0,0
78,65,Tennessee,12,4,1,0,0,0,0,0
79,65,Texas State,12,4,1,0,0,0,0,0
80,65,Utah,14,4,0,0,0,0,0,0
81,65,Utah State,13,4,1,0,0,0,0,0
82,65,Vanderbilt,13,4,2,0,0,0,0,0
83,84,Buffalo,14,5,1,0,0,0,0,0
84,84,Cincinnati,13,5,4,4,2,0,0,0
85,84,Duke,13,5,2,1,1,1,0,0
86,84,Florida,13,5,1,1,0,0,0,0
