,Rank,Name,G,Punts,Yards,Avg.,Punts/G,Yards/G
0,1,Toledo,13,79,2879,36.44,6.1,221.5
1,2,Kansas State,12,43,1629,37.88,3.6,135.8
2,3,New Mexico State,12,63,2390,37.94,5.3,199.2
3,4,Troy,13,71,2701,38.04,5.5,207.8
4,5,Liberty,12,60,2299,38.32,5.0,191.6
5,6,Tulsa,12,55,2111,38.38,4.6,175.9
6,7,Missouri,13,66,2545,38.56,5.1,195.8
7,8,Texas Tech,12,64,2470,38.59,5.3,205.8
8,9,Kent State,12,57,2202,38.63,4.8,183.5
9,10,Texas State,12,67,2600,38.81,5.6,216.7
10,11,North Carolina,11,55,2135,38.82,5.0,194.1
11,12,Ohio,13,61,2369,38.84,4.7,182.2
12,13,Massachusetts,12,43,1676,38.98,3.6,139.7
13,14,Northern Illinois,14,78,3046,39.05,5.6,217.6
14,15,UTSA,12,49,1915,39.08,4.1,159.6
15,15,Boston College,12,71,2775,39.08,5.9,231.3
16,17,Army,13,47,1839,39.13,3.6,141.5
17,18,Auburn,13,73,2859,39.16,5.6,219.9
18,19,Maryland,12,58,2272,39.17,4.8,189.3
19,20,Washington State,13,67,2631,39.27,5.2,202.4
20,21,Ball State,12,50,1966,39.32,4.2,163.8
21,22,Ohio State,14,87,3422,39.33,6.2,244.4
22,23,North Texas,13,80,3148,39.35,6.2,242.2
23,24,Georgia Southern,13,56,2204,39.36,4.3,169.5
24,25,Miami (Ohio),12,70,2768,39.54,5.8,230.7
25,26,UAB,14,85,3363,39.56,6.1,240.2
26,26,Utah State,13,80,3165,39.56,6.2,243.5
27,28,Western Kentucky,12,52,2059,39.60,4.3,171.6
28,29,Eastern Michigan,13,65,2577,39.65,5.0,198.2
29,30,Hawai'i,14,58,2301,39.67,4.1,164.4
30,31,Illinois,12,50,1984,39.68,4.2,165.3
31,32,Oklahoma,14,61,2424,39.74,4.4,173.1
32,33,Washington,14,73,2904,39.78,5.2,207.4
33,34,Bowling Green,12,51,2034,39.88,4.3,169.5
34,35,Georgia Tech,13,43,1716,39.91,3.3,132.0
35,36,UNLV,12,50,1997,39.94,4.2,166.4
36,36,Mississippi State,13,72,2876,39.94,5.5,221.2
37,38,Charlotte,12,55,2197,39.95,4.6,183.1
38,39,Tulane,13,73,2917,39.96,5.6,224.4
39,40,Rutgers,12,59,2358,39.97,4.9,196.5
40,41,Louisville,12,41,1639,39.98,3.4,136.6
41,41,Purdue,13,65,2599,39.98,5.0,199.9
42,43,Rice,13,54,2160,40.00,4.2,166.2
43,43,Wisconsin,13,58,2320,40.00,4.5,178.5
44,45,Duke,13,76,3042,40.03,5.8,234.0
45,46,Akron,12,69,2763,40.04,5.8,230.3
46,47,Central Michigan,12,72,2884,40.06,6.0,240.3
47,48,Coastal Carolina,12,37,1483,40.08,3.1,123.6
48,49,Michigan,13,81,3251,40.14,6.2,250.1
49,50,Oregon State,12,42,1690,40.24,3.5,140.8
50,51,Louisiana Tech,13,73,2939,40.26,5.6,226.1
51,52,Syracuse,13,80,3222,40.28,6.2,247.8
52,53,Oklahoma State,13,71,2870,40.42,5.5,220.8
53,54,Navy,13,41,1660,40.49,3.2,127.7
54,54,Virginia Tech,13,63,2551,40.49,4.8,196.2
55,56,Iowa,13,73,2959,40.53,5.6,227.6
56,57,USC,12,71,2879,40.55,5.9,239.9
57,58,Marshall,13,77,3126,40.60,5.9,240.5
58,59,Appalachian State,13,77,3127,40.61,5.9,240.5
59,60,TCU,13,83,3374,40.65,6.4,259.5
60,61,Indiana,12,49,1993,40.67,4.1,166.1
61,62,West Virginia,12,61,2482,40.69,5.1,206.8
62,63,Cincinnati,13,88,3585,40.74,6.8,275.8
63,64,San Jose State,12,52,2124,40.85,4.3,177.0
64,65,Iowa State,13,66,2697,40.86,5.1,207.5
65,66,Wake Forest,13,85,3474,40.87,6.5,267.2
66,67,Middle Tennessee,14,60,2453,40.88,4.3,175.2
67,68,Connecticut,12,28,1145,40.89,2.3,95.4
68,69,Florida State,12,70,2864,40.91,5.8,238.7
69,70,Kansas,12,52,2129,40.94,4.3,177.4
70,71,Florida International,13,50,2050,41.00,3.8,157.7
