,Rank,Name,G,Int.,Passes Broken Up,Passes Defended,Passes Defended/G
0,1,Alabama,15,14,75,89,5.93
1,2,Oregon,13,17,71,88,6.77
2,2,Tulane,13,12,76,88,6.77
3,4,Virginia,13,17,67,84,6.46
4,4,Fresno State,14,19,65,84,6.00
5,6,LSU,13,17,65,82,6.31
6,7,Michigan State,13,14,67,81,6.23
7,8,UCF,13,14,66,80,6.15
8,9,Ohio,13,16,61,77,5.92
9,10,Notre Dame,13,12,64,76,5.85
10,10,Stanford,13,11,65,76,5.85
11,12,Utah,14,15,60,75,5.36
12,13,Utah State,13,20,53,73,5.62
13,13,Middle Tennessee,14,16,57,73,5.21
14,13,Ohio State,14,11,62,73,5.21
15,16,Florida State,12,12,60,72,6.00
16,17,Temple,13,18,53,71,5.46
17,17,Houston,13,14,57,71,5.46
18,17,Marshall,13,12,59,71,5.46
19,20,Boston College,12,18,52,70,5.83
20,20,Florida,13,14,56,70,5.38
21,20,Cincinnati,13,12,58,70,5.38
22,23,Nebraska,12,11,58,69,5.75
23,23,California,13,21,48,69,5.31
24,23,Iowa,13,20,49,69,5.31
25,23,Penn State,13,13,56,69,5.31
26,23,Vanderbilt,13,13,56,69,5.31
27,28,Western Kentucky,12,12,56,68,5.67
28,28,Auburn,13,14,54,68,5.23
29,28,Northwestern,14,12,56,68,4.86
30,31,USC,12,4,63,67,5.58
31,31,North Texas,13,18,49,67,5.15
32,33,Texas Tech,12,12,54,66,5.50
33,34,Rutgers,12,9,55,64,5.33
34,34,Kentucky,13,9,55,64,4.92
35,34,Washington,14,11,53,64,4.57
36,37,Old Dominion,12,9,54,63,5.25
37,37,Oklahoma,14,6,57,63,4.50
38,39,Troy,13,18,44,62,4.77
39,39,Appalachian State,13,17,45,62,4.77
40,39,Toledo,13,12,50,62,4.77
41,42,Wyoming,12,10,51,61,5.08
42,42,TCU,13,12,49,61,4.69
43,42,North Carolina State,13,10,51,61,4.69
44,42,Wake Forest,13,6,55,61,4.69
45,42,Texas,14,12,49,61,4.36
46,42,Memphis,14,9,52,61,4.36
47,48,UCLA,12,11,49,60,5.00
48,48,Florida International,13,17,43,60,4.62
49,48,Pittsburgh,14,9,51,60,4.29
50,48,Clemson,15,12,48,60,4.00
51,52,San Jose State,12,13,46,59,4.92
52,52,Miami (Florida),13,16,43,59,4.54
53,52,Wisconsin,13,14,45,59,4.54
54,52,Arizona State,13,12,47,59,4.54
55,52,Buffalo,14,14,45,59,4.21
56,57,Illinois,12,15,43,58,4.83
57,57,Liberty,12,12,46,58,4.83
