,Rank,Name,G,Pen.,Yards,Pen./G,Yards/G
0,1,Arizona,12,104,987,8.7,82.3
1,2,Buffalo,14,106,1087,7.6,77.6
2,3,UCF,13,104,965,8.0,74.2
3,4,Kent State,12,91,875,7.6,72.9
4,5,East Carolina,12,95,861,7.9,71.8
5,6,Toledo,13,100,922,7.7,70.9
6,7,Purdue,13,96,919,7.4,70.7
7,8,Hawai'i,14,101,983,7.2,70.2
8,9,LSU,13,102,906,7.8,69.7
9,10,Ohio,13,97,891,7.5,68.5
10,10,Coastal Carolina,12,88,822,7.3,68.5
11,12,Connecticut,12,79,814,6.6,67.8
12,13,Northwestern,14,99,947,7.1,67.6
13,14,New Mexico State,12,86,808,7.2,67.3
14,15,Penn State,13,97,874,7.5,67.2
15,16,SMU,12,81,799,6.8,66.6
16,16,Indiana,12,80,799,6.7,66.6
17,18,Kentucky,13,101,858,7.8,66.0
18,19,Miami (Ohio),12,81,777,6.8,64.8
19,20,Colorado,12,86,775,7.2,64.6
20,21,Eastern Michigan,13,91,829,7.0,63.8
21,22,Houston,13,94,826,7.2,63.5
22,23,Akron,12,76,759,6.3,63.3
23,24,Texas,14,90,883,6.4,63.1
24,25,Rutgers,12,78,756,6.5,63.0
25,26,Texas Tech,12,88,742,7.3,61.8
26,26,Utah State,13,92,803,7.1,61.8
27,26,Bowling Green,12,79,741,6.6,61.8
28,29,Ball State,12,84,740,7.0,61.7
29,30,Syracuse,13,99,799,7.6,61.5
30,31,UTSA,12,78,734,6.5,61.2
31,31,Stanford,13,82,795,6.3,61.2
32,33,Iowa State,13,81,786,6.2,60.5
33,33,Old Dominion,12,71,726,5.9,60.5
34,35,Washington State,13,94,785,7.2,60.4
35,36,Louisiana-Monroe,12,80,722,6.7,60.2
36,37,West Virginia,12,82,721,6.8,60.1
37,38,Western Kentucky,12,70,720,5.8,60.0
38,39,South Carolina,13,85,766,6.5,58.9
39,40,Missouri,13,87,759,6.7,58.4
40,40,Arkansas State,13,82,759,6.3,58.4
41,42,Central Michigan,12,71,699,5.9,58.3
42,43,Oklahoma,14,88,815,6.3,58.2
43,44,Tulsa,12,81,697,6.8,58.1
44,45,Illinois,12,71,692,5.9,57.7
45,46,Louisiana Tech,13,73,740,5.6,56.9
46,47,Nebraska,12,78,681,6.5,56.8
47,47,South Alabama,12,73,681,6.1,56.8
