,Rank,Name,G,TD,FG,1XP,2XP,Safety,Points,Points/G
0,1,Oklahoma,14,89,17,88,1,1,677,48.4
1,2,Utah State,13,79,22,78,0,0,618,47.5
2,3,Alabama,15,92,15,83,0,2,684,45.6
3,4,Clemson,15,90,12,88,0,0,664,44.3
4,5,Houston,13,78,8,75,2,0,571,43.9
5,6,UCF,13,75,12,74,1,0,562,43.2
6,7,Memphis,14,80,15,76,0,0,601,42.9
7,8,Ohio State,14,79,13,76,0,2,593,42.4
8,9,Toledo,13,69,15,64,1,0,525,40.4
9,10,West Virginia,12,62,16,59,1,1,483,40.3
10,11,Syracuse,13,62,30,61,0,0,523,40.2
11,12,Ohio,13,69,13,68,0,0,521,40.1
12,13,Oklahoma State,13,65,16,61,0,0,499,38.4
13,14,Georgia,14,68,19,65,0,0,530,37.9
14,15,Washington State,13,66,10,60,1,0,488,37.5
15,16,Appalachian State,13,64,12,63,0,1,485,37.3
16,16,Texas Tech,12,57,17,55,0,0,448,37.3
17,18,Missouri,13,58,25,51,1,0,476,36.6
18,19,Texas A&M,13,57,23,51,3,0,468,36.0
19,20,Boise State,13,61,12,58,0,0,460,35.4
20,21,Michigan,13,56,21,50,2,2,457,35.2
21,22,Florida,13,57,18,55,1,1,455,35.0
22,23,Cincinnati,13,63,5,59,0,1,454,34.9
23,23,Temple,13,60,12,56,1,0,454,34.9
24,25,Oregon,13,62,6,57,2,1,453,34.8
25,26,Fresno State,14,64,14,57,1,0,485,34.6
26,26,Buffalo,14,66,10,54,2,0,484,34.6
27,26,Florida International,13,58,14,54,3,0,450,34.6
28,26,North Texas,13,57,19,51,0,0,450,34.6
29,30,Mississippi,12,49,22,47,0,0,407,33.9
30,31,North Carolina State,13,53,23,51,1,0,440,33.8
31,31,Penn State,13,56,16,53,0,1,439,33.8
32,33,Georgia Tech,13,58,10,53,2,1,437,33.6
33,34,Liberty,12,54,7,50,2,0,399,33.3
34,35,Wake Forest,13,53,19,52,0,0,427,32.8
35,35,Army,13,57,9,57,0,0,426,32.8
36,35,Massachusetts,12,52,11,49,0,0,394,32.8
37,38,LSU,13,48,29,42,2,0,421,32.4
38,39,Western Michigan,13,55,11,47,3,0,416,32.0
39,39,Boston College,12,53,6,46,1,0,384,32.0
40,41,Louisiana-Lafayette,14,58,15,54,0,0,447,31.9
41,42,Notre Dame,13,51,18,46,1,0,408,31.4
42,43,Arizona,12,46,19,39,0,2,376,31.3
43,44,Iowa,13,50,17,48,0,3,405,31.2
44,45,Texas,14,54,18,51,1,2,435,31.1
45,45,Nevada,13,52,15,43,1,1,404,31.1
46,45,Florida Atlantic,12,50,10,39,2,0,373,31.1
47,48,Auburn,13,51,15,49,0,1,402,30.9
48,49,Hawai'i,14,55,15,46,5,0,431,30.8
