,Rank,Name,G,Kickoffs,Yards,Avg.,Touchback,Touchback %,Out-Of-Bounds,Onside
0,1,East Carolina,12,58,3761,64.84,44,75.86,0,1
1,2,UAB,14,80,5167,64.59,71,88.75,2,0
2,3,Virginia Tech,13,73,4707,64.48,61,83.56,2,1
3,4,UTEP,12,44,2834,64.41,30,68.18,0,1
4,5,Stanford,13,72,4632,64.33,60,83.33,2,0
5,6,Oklahoma,14,116,7456,64.28,94,81.03,1,3
6,7,Miami (Ohio),12,63,4048,64.25,42,66.67,2,2
7,8,North Carolina,11,56,3597,64.23,32,57.14,1,4
8,9,Georgia,14,98,6294,64.22,84,85.71,2,1
9,10,Vanderbilt,13,70,4492,64.17,51,72.86,1,0
10,11,Nevada,13,78,5002,64.13,47,60.26,0,2
11,12,Texas A&M,13,82,5257,64.11,57,69.51,2,1
12,12,Auburn,13,79,5065,64.11,56,70.89,3,1
13,14,California,13,57,3646,63.96,33,57.89,0,3
14,15,Syracuse,13,101,6454,63.90,61,60.40,2,0
15,16,Georgia Southern,13,76,4853,63.86,52,68.42,3,0
16,17,USC,12,62,3955,63.79,39,62.90,1,2
17,18,Utah,14,82,5230,63.78,58,70.73,0,0
18,19,LSU,13,79,5038,63.77,71,89.87,0,0
19,20,Rice,13,51,3252,63.76,34,66.67,0,1
20,21,Clemson,15,117,7457,63.74,81,69.23,0,0
21,22,Florida,13,88,5607,63.72,47,53.41,0,0
22,22,Arizona,12,75,4779,63.72,60,80.00,2,0
23,22,UCLA,12,60,3823,63.72,38,63.33,0,3
24,25,Tennessee,12,52,3309,63.63,23,44.23,1,6
25,26,Boise State,13,84,5332,63.48,52,61.90,1,0
26,27,Utah State,13,113,7156,63.33,72,63.72,4,0
27,28,Virginia,13,73,4619,63.27,47,64.38,1,1
28,29,Wisconsin,13,70,4427,63.24,54,77.14,0,1
29,30,Colorado,12,63,3975,63.10,33,52.38,0,2
30,31,Arizona State,13,78,4921,63.09,48,61.54,1,1
31,31,Florida State,12,53,3344,63.09,38,71.70,2,1
32,33,Toledo,13,93,5848,62.88,49,52.69,1,3
33,34,Florida International,13,79,4965,62.85,54,68.35,2,4
34,34,Akron,12,52,3268,62.85,29,55.77,1,0
35,36,San Diego State,13,62,3894,62.81,45,72.58,2,0
36,37,Texas,14,84,5274,62.79,52,61.90,4,1
37,38,New Mexico,12,60,3761,62.68,38,63.33,1,1
38,39,Baylor,13,72,4510,62.64,39,54.17,4,4
