,Rank,Name,G,Sacks,Sack Yards,Sacks/G
0,1,Army,13,3.0,23,0.23
1,2,Air Force,12,7.0,49,0.58
2,3,Florida International,13,8.0,54,0.62
3,4,North Carolina,11,10.0,69,0.91
4,4,Utah State,13,10.0,70,0.77
5,6,North Carolina State,13,11.0,72,0.85
6,7,Fresno State,14,12.0,68,0.86
7,8,Washington State,13,13.0,75,1.00
8,8,Missouri,13,13.0,98,1.00
9,10,Florida Atlantic,12,14.0,83,1.17
10,11,Buffalo,14,15.0,89,1.07
11,12,Arizona State,13,16.0,90,1.23
12,12,Georgia Tech,13,16.0,90,1.23
13,12,Iowa,13,16.0,100,1.23
14,12,Nevada,13,16.0,104,1.23
15,12,TCU,13,16.0,109,1.23
16,12,Alabama,15,16.0,123,1.07
17,12,Rutgers,12,16.0,123,1.33
18,19,Clemson,15,17.0,115,1.13
19,20,Appalachian State,13,18.0,104,1.39
20,20,Temple,13,18.0,106,1.39
21,20,Florida,13,18.0,121,1.39
22,23,Georgia Southern,13,19.0,98,1.46
23,23,Oklahoma,14,19.0,116,1.36
24,23,UCF,13,19.0,130,1.46
25,26,Miami (Ohio),12,20.0,90,1.67
26,26,Western Michigan,13,20.0,103,1.54
27,26,Georgia,14,20.0,122,1.43
28,26,Navy,13,20.0,126,1.54
29,26,Marshall,13,20.0,128,1.54
30,26,Arizona,12,20.0,137,1.67
31,26,Ohio,13,20.0,148,1.54
32,33,Liberty,12,21.0,155,1.75
33,34,Louisiana-Monroe,12,22.0,143,1.83
34,34,Oregon,13,22.0,150,1.69
35,34,Vanderbilt,13,22.0,168,1.69
36,37,Ohio State,14,23.0,116,1.64
37,37,Boston College,12,23.0,137,1.92
38,37,Tennessee,12,23.0,155,1.92
39,37,Michigan,13,23.0,156,1.77
40,37,South Carolina,13,23.0,162,1.77
41,37,Auburn,13,23.0,168,1.77
42,37,UAB,14,23.0,171,1.64
43,44,Rice,13,24.0,124,1.85
44,44,Memphis,14,24.0,145,1.71
45,44,Stanford,13,24.0,147,1.85
46,44,Wisconsin,13,24.0,151,1.85
47,44,Arkansas State,13,24.0,152,1.85
48,44,Washington,14,24.0,171,1.71
49,44,Wyoming,12,24.0,204,2.00
50,51,Notre Dame,13,25.0,141,1.92
51,51,Georgia State,12,25.0,156,2.08
52,51,South Alabama,12,25.0,161,2.08
53,51,Texas Tech,12,25.0,176,2.08
54,51,Mississippi State,13,25.0,178,1.92
55,51,Cincinnati,13,25.0,187,1.92
56,51,East Carolina,12,25.0,198,2.08
57,58,Michigan State,13,26.0,192,2.00
58,59,Indiana,12,27.0,159,2.25
59,59,Louisiana-Lafayette,14,27.0,161,1.93
60,59,Minnesota,13,27.0,162,2.08
61,59,New Mexico,12,27.0,163,2.25
62,59,Miami (Florida),13,27.0,183,2.08
63,59,Ball State,12,27.0,185,2.25
64,59,Troy,13,27.0,186,2.08
65,59,USC,12,27.0,196,2.25
66,59,Illinois,12,27.0,200,2.25
67,68,Connecticut,12,28.0,159,2.33
68,68,Kentucky,13,28.0,175,2.15
69,68,Virginia Tech,13,28.0,191,2.15
70,68,Nebraska,12,28.0,196,2.33
71,68,North Texas,13,28.0,210,2.15
72,68,Texas,14,28.0,218,2.00
73,74,BYU,13,29.0,204,2.23
74,74,West Virginia,12,29.0,204,2.42
75,74,Texas State,12,29.0,210,2.42
76,74,Bowling Green,12,29.0,222,2.42
77,78,Maryland,12,30.0,164,2.50
78,78,Toledo,13,30.0,169,2.31
79,78,Duke,13,30.0,184,2.31
80,78,Purdue,13,30.0,184,2.31
81,78,Houston,13,30.0,198,2.31
82,78,Colorado State,12,30.0,199,2.50
83,78,Kansas,12,30.0,221,2.50
84,85,UNLV,12,31.0,180,2.58
85,85,Penn State,13,31.0,195,2.39
86,85,Iowa State,13,31.0,210,2.39
87,85,SMU,12,31.0,245,2.58
88,89,Boise State,13,32.0,183,2.46
89,89,Old Dominion,12,32.0,191,2.67
90,89,Utah,14,32.0,196,2.29
91,89,Mississippi,12,32.0,196,2.67
92,89,Virginia,13,32.0,198,2.46
93,89,Western Kentucky,12,32.0,204,2.67
94,89,UCLA,12,32.0,216,2.67
95,89,Arkansas,12,32.0,226,2.67
96,97,Louisiana Tech,13,33.0,191,2.54
97,97,San Diego State,13,33.0,221,2.54
98,97,Kansas State,12,33.0,232,2.75
99,97,Pittsburgh,14,33.0,243,2.36
100,97,Southern Mississippi,11,33.0,255,3.00
101,102,Wake Forest,13,34.0,195,2.62
102,102,Colorado,12,34.0,210,2.83
103,102,Akron,12,34.0,217,2.83
104,102,Oklahoma State,13,34.0,231,2.62
105,106,LSU,13,35.0,190,2.69
106,106,Tulane,13,35.0,206,2.69
107,106,Texas A&M,13,35.0,223,2.69
108,109,California,13,36.0,174,2.77
109,109,Central Michigan,12,36.0,237,3.00
110,109,Florida State,12,36.0,237,3.00
111,109,UTSA,12,36.0,250,3.00
112,109,Northwestern,14,36.0,251,2.57
113,114,Coastal Carolina,12,37.0,233,3.08
114,114,Syracuse,13,37.0,243,2.85
115,116,South Florida,13,38.0,213,2.92
116,116,Charlotte,12,38.0,276,3.17
117,118,Eastern Michigan,13,39.0,192,3.00
118,118,Massachusetts,12,39.0,231,3.25
119,118,Baylor,13,39.0,241,3.00
120,118,Tulsa,12,39.0,241,3.25
121,118,San Jose State,12,39.0,254,3.25
122,123,New Mexico State,12,40.0,265,3.33
123,124,Middle Tennessee,14,42.0,256,3.00
124,124,UTEP,12,42.0,257,3.50
125,126,Kent State,12,43.0,235,3.58
126,126,Louisville,12,43.0,244,3.58
127,126,Northern Illinois,14,43.0,306,3.07
128,129,Hawai'i,14,46.0,266,3.29
129,130,Oregon State,12,48.0,367,4.00
