,Rank,Name,G,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
0,1,Louisiana-Lafayette,14,14,7,4,1,0,0,0
1,2,Rice,13,13,3,1,0,0,0,0
2,3,Iowa,13,12,5,1,1,0,0,0
3,3,South Florida,13,12,7,5,5,2,2,2
4,5,Virginia,13,11,2,1,1,1,1,1
5,6,Boston College,12,10,4,2,1,0,0,0
6,6,Marshall,13,10,1,0,0,0,0,0
7,6,SMU,12,10,3,2,2,2,2,1
8,9,Temple,13,9,5,2,2,2,1,1
9,10,California,13,8,3,3,1,1,1,0
10,10,Memphis,14,8,1,1,1,1,1,1
11,10,Miami (Ohio),12,8,3,1,1,1,1,1
12,10,Oregon,13,8,4,2,0,0,0,0
13,10,South Carolina,13,8,2,2,2,1,1,1
14,10,Utah State,13,8,5,4,3,2,2,2
15,16,Appalachian State,13,7,2,2,2,2,2,2
16,16,Florida Atlantic,12,7,2,1,1,1,1,1
17,16,Houston,13,7,2,1,0,0,0,0
18,16,Iowa State,13,7,3,1,0,0,0,0
19,16,Louisville,12,7,3,2,2,1,1,1
20,16,Maryland,12,7,3,2,2,2,2,2
21,16,New Mexico State,12,7,4,3,3,3,3,1
22,16,Oklahoma,14,7,2,1,1,1,1,0
23,16,Oklahoma State,13,7,1,0,0,0,0,0
24,16,South Alabama,12,7,4,1,0,0,0,0
25,16,TCU,13,7,2,1,1,1,1,1
26,16,Texas Tech,12,7,6,2,1,0,0,0
27,16,Troy,13,7,2,1,1,1,1,1
28,16,Virginia Tech,13,7,3,2,0,0,0,0
29,30,Alabama,15,6,4,3,2,2,0,0
30,30,Arizona,12,6,2,2,2,1,1,0
31,30,Connecticut,12,6,2,0,0,0,0,0
32,30,Michigan State,13,6,2,0,0,0,0,0
33,30,Tulane,13,6,3,2,1,0,0,0
34,30,USC,12,6,1,1,1,1,0,0
35,30,UTEP,12,6,0,0,0,0,0,0
36,30,UTSA,12,6,1,0,0,0,0,0
37,30,Washington State,13,6,4,1,1,1,1,1
38,30,Western Kentucky,12,6,0,0,0,0,0,0
39,40,Colorado State,12,5,2,1,0,0,0,0
40,40,Florida State,12,5,0,0,0,0,0,0
41,40,Georgia,14,5,1,0,0,0,0,0
42,40,Hawai'i,14,5,3,0,0,0,0,0
43,40,Kent State,12,5,3,1,1,0,0,0
44,40,Massachusetts,12,5,3,2,2,2,1,1
45,40,Miami (Florida),13,5,2,2,0,0,0,0
46,40,Penn State,13,5,5,5,2,1,1,1
47,40,Purdue,13,5,1,0,0,0,0,0
48,40,San Jose State,12,5,3,2,2,2,1,1
49,40,Texas State,12,5,2,2,0,0,0,0
50,51,Arkansas,12,4,2,2,2,2,0,0
51,51,Arkansas State,13,4,2,2,1,1,1,1
52,51,Ball State,12,4,1,0,0,0,0,0
53,51,Clemson,15,4,2,0,0,0,0,0
54,51,Duke,13,4,1,0,0,0,0,0
55,51,East Carolina,12,4,0,0,0,0,0,0
56,51,Illinois,12,4,1,0,0,0,0,0
57,51,Louisiana Tech,13,4,1,0,0,0,0,0
58,51,Michigan,13,4,1,1,1,1,1,1
59,51,Ohio,13,4,1,1,1,1,1,1
60,51,Ohio State,14,4,1,0,0,0,0,0
61,51,Old Dominion,12,4,1,1,0,0,0,0
62,51,Oregon State,12,4,4,4,0,0,0,0
63,51,Pittsburgh,14,4,2,2,2,2,2,2
64,51,Southern Mississippi,11,4,1,1,1,1,0,0
65,51,Texas A&M,13,4,2,1,1,1,1,1
66,51,Toledo,13,4,2,1,1,1,1,1
67,51,UAB,14,4,1,1,1,0,0,0
68,69,Auburn,13,3,1,1,1,1,1,1
69,69,Boise State,13,3,1,0,0,0,0,0
70,69,Central Michigan,12,3,0,0,0,0,0,0
71,69,Colorado,12,3,0,0,0,0,0,0
72,69,Florida International,13,3,0,0,0,0,0,0
73,69,Georgia Southern,13,3,1,1,1,0,0,0
74,69,Georgia Tech,13,3,2,2,2,2,1,1
75,69,Kansas,12,3,0,0,0,0,0,0
76,69,Kansas State,12,3,0,0,0,0,0,0
77,69,Kentucky,13,3,2,0,0,0,0,0
78,69,LSU,13,3,2,2,1,1,0,0
79,69,Louisiana-Monroe,12,3,2,0,0,0,0,0
80,69,North Carolina,11,3,0,0,0,0,0,0
81,69,North Carolina State,13,3,1,0,0,0,0,0
82,69,North Texas,13,3,1,1,1,1,1,1
83,69,Stanford,13,3,1,1,1,1,0,0
84,69,Tennessee,12,3,2,0,0,0,0,0
85,69,UCF,13,3,1,0,0,0,0,0
86,69,Vanderbilt,13,3,0,0,0,0,0,0
87,69,West Virginia,12,3,0,0,0,0,0,0
88,89,Arizona State,13,2,0,0,0,0,0,0
89,89,Baylor,13,2,1,0,0,0,0,0
90,89,Buffalo,14,2,1,0,0,0,0,0
91,89,Cincinnati,13,2,0,0,0,0,0,0
92,89,Fresno State,14,2,1,1,1,0,0,0
93,89,Georgia State,12,2,0,0,0,0,0,0
94,89,Liberty,12,2,1,0,0,0,0,0
95,89,Minnesota,13,2,1,1,1,1,1,0
96,89,Mississippi State,13,2,1,0,0,0,0,0
97,89,Missouri,13,2,0,0,0,0,0,0
98,89,Navy,13,2,0,0,0,0,0,0
99,89,San Diego State,13,2,0,0,0,0,0,0
100,89,Tulsa,12,2,2,0,0,0,0,0
101,89,UCLA,12,2,1,1,1,1,1,1
102,89,UNLV,12,2,1,1,0,0,0,0
103,89,Utah,14,2,0,0,0,0,0,0
104,89,Wake Forest,13,2,0,0,0,0,0,0
105,89,Wisconsin,13,2,0,0,0,0,0,0
106,107,Air Force,12,1,1,1,1,0,0,0
107,107,BYU,13,1,0,0,0,0,0,0
108,107,Bowling Green,12,1,0,0,0,0,0,0
109,107,Charlotte,12,1,1,0,0,0,0,0
110,107,Coastal Carolina,12,1,0,0,0,0,0,0
111,107,Eastern Michigan,13,1,0,0,0,0,0,0
112,107,Florida,13,1,1,1,0,0,0,0
113,107,Mississippi,12,1,1,1,1,1,1,1
114,107,Nebraska,12,1,0,0,0,0,0,0
115,107,New Mexico,12,1,1,0,0,0,0,0
116,107,Northwestern,14,1,0,0,0,0,0,0
117,107,Notre Dame,13,1,1,0,0,0,0,0
118,107,Rutgers,12,1,0,0,0,0,0,0
119,107,Syracuse,13,1,1,0,0,0,0,0
120,107,Washington,14,1,0,0,0,0,0,0
121,107,Wyoming,12,1,0,0,0,0,0,0
122,123,Akron,12,0,0,0,0,0,0,0
123,123,Army,13,0,0,0,0,0,0,0
124,123,Indiana,12,0,0,0,0,0,0,0
125,123,Middle Tennessee,14,0,0,0,0,0,0,0
126,123,Nevada,13,0,0,0,0,0,0,0
127,123,Northern Illinois,14,0,0,0,0,0,0,0
128,123,Texas,14,0,0,0,0,0,0,0
129,123,Western Michigan,13,0,0,0,0,0,0,0
