,Rank,Name,G,Att,Yards,Avg.,TD,Att/G,Yards/G
0,1,Michigan State,13,392,1013,2.58,8,30.15,77.92
1,2,Mississippi State,13,431,1236,2.87,7,33.15,95.08
2,3,Texas A&M,13,383,1238,3.23,14,29.46,95.23
3,4,Clemson,15,576,1444,2.51,8,38.40,96.27
4,5,Utah,14,487,1404,2.88,14,34.79,100.29
5,6,Southern Mississippi,11,337,1130,3.35,10,30.64,102.73
6,7,San Diego State,13,453,1349,2.98,16,34.85,103.77
7,8,Marshall,13,459,1355,2.95,14,35.31,104.23
8,9,Charlotte,12,368,1268,3.45,17,30.67,105.67
9,10,Army,13,360,1388,3.86,12,27.69,106.77
10,11,Northern Illinois,14,567,1529,2.70,16,40.50,109.21
11,12,Iowa,13,435,1424,3.27,9,33.46,109.54
12,13,Cincinnati,13,435,1469,3.38,9,33.46,113.00
13,14,Iowa State,13,458,1495,3.26,10,35.23,115.00
14,15,Washington,14,461,1626,3.53,13,32.93,116.14
15,16,Air Force,12,406,1403,3.46,17,33.83,116.92
16,17,UAB,14,480,1653,3.44,13,34.29,118.07
17,18,North Texas,13,447,1558,3.49,20,34.38,119.85
18,19,Alabama,15,516,1819,3.53,11,34.40,121.27
19,20,Boise State,13,438,1598,3.65,16,33.69,122.92
20,21,Appalachian State,13,475,1637,3.45,12,36.54,125.92
21,22,Missouri,13,444,1644,3.70,11,34.15,126.46
22,23,Michigan,13,450,1656,3.68,15,34.62,127.38
23,24,Troy,13,508,1673,3.29,16,39.08,128.69
24,25,Wyoming,12,424,1554,3.67,17,35.33,129.50
25,26,Northwestern,14,478,1815,3.80,14,34.14,129.64
26,27,BYU,13,461,1691,3.67,22,35.46,130.08
27,28,Texas,14,486,1839,3.78,18,34.71,131.36
28,29,North Carolina State,13,405,1710,4.22,18,31.15,131.54
29,30,Fresno State,14,507,1851,3.65,8,36.21,132.21
30,31,Georgia,14,467,1876,4.02,18,33.36,134.00
31,32,Auburn,13,475,1767,3.72,9,36.54,135.92
32,33,Ohio,13,412,1782,4.33,17,31.69,137.08
33,34,TCU,13,499,1802,3.61,19,38.38,138.62
34,34,LSU,13,466,1802,3.87,15,35.85,138.62
35,36,Notre Dame,13,472,1813,3.84,16,36.31,139.46
36,37,Georgia Southern,13,465,1827,3.93,21,35.77,140.54
37,38,Washington State,13,447,1839,4.11,21,34.38,141.46
38,39,Nevada,13,510,1846,3.62,14,39.23,142.00
39,40,California,13,511,1847,3.61,13,39.31,142.08
40,41,Utah State,13,531,1859,3.50,12,40.85,143.00
41,42,Miami (Florida),13,526,1863,3.54,15,40.46,143.31
42,43,Oregon,13,503,1876,3.73,13,38.69,144.31
43,44,Colorado,12,467,1747,3.74,12,38.92,145.58
44,45,Stanford,13,476,1899,3.99,17,36.62,146.08
45,46,Tulane,13,494,1915,3.88,20,38.00,147.31
46,47,Virginia,13,442,1918,4.34,15,34.00,147.54
47,48,Florida State,12,503,1772,3.52,16,41.92,147.67
48,48,West Virginia,12,450,1772,3.94,17,37.50,147.67
49,50,Louisiana Tech,13,491,1946,3.96,23,37.77,149.69
50,51,Kentucky,13,462,1971,4.27,12,35.54,151.62
51,52,Tennessee,12,448,1854,4.14,20,37.33,154.50
52,53,Boston College,12,493,1859,3.77,19,41.08,154.92
53,54,Wisconsin,13,454,2016,4.44,17,34.92,155.08
54,55,Kansas State,12,390,1892,4.85,14,32.50,157.67
55,56,Georgia Tech,13,441,2053,4.66,22,33.92,157.92
56,57,Ohio State,14,490,2215,4.52,26,35.00,158.21
57,58,Miami (Ohio),12,479,1916,4.00,19,39.92,159.67
58,59,Oklahoma,14,548,2237,4.08,33,39.14,159.79
59,60,UTSA,12,465,1923,4.14,20,38.75,160.25
60,61,Texas Tech,12,471,1927,4.09,16,39.25,160.58
61,62,Buffalo,14,545,2256,4.14,22,38.93,161.14
62,63,Syracuse,13,488,2112,4.33,20,37.54,162.46
63,64,Arizona,12,464,1950,4.20,24,38.67,162.50
64,65,Florida,13,492,2113,4.29,13,37.85,162.54
65,66,Middle Tennessee,14,533,2305,4.32,17,38.07,164.64
66,67,USC,12,460,1977,4.30,20,38.33,164.75
67,68,Western Michigan,13,485,2156,4.45,27,37.31,165.85
68,69,Rice,13,450,2158,4.80,31,34.62,166.00
69,70,Arkansas,12,480,2014,4.20,25,40.00,167.83
70,71,Purdue,13,499,2183,4.37,25,38.38,167.92
71,72,Penn State,13,549,2197,4.00,16,42.23,169.00
72,73,East Carolina,12,475,2037,4.29,22,39.58,169.75
73,74,Arizona State,13,513,2217,4.32,17,39.46,170.54
74,75,Kansas,12,468,2061,4.40,21,39.00,171.75
75,76,Memphis,14,588,2405,4.09,32,42.00,171.79
76,77,Western Kentucky,12,456,2074,4.55,19,38.00,172.83
77,78,Minnesota,13,436,2254,5.17,20,33.54,173.38
78,79,Toledo,13,496,2304,4.65,31,38.15,177.23
79,80,Pittsburgh,14,519,2496,4.81,24,37.07,178.29
80,81,Texas State,12,481,2188,4.55,19,40.08,182.33
81,82,Louisiana-Monroe,12,484,2192,4.53,19,40.33,182.67
82,83,Indiana,12,479,2198,4.59,17,39.92,183.17
83,84,Baylor,13,440,2385,5.42,25,33.85,183.46
84,85,Maryland,12,504,2207,4.38,20,42.00,183.92
85,86,Temple,13,598,2407,4.03,22,46.00,185.15
86,87,Oklahoma State,13,522,2410,4.62,26,40.15,185.38
87,88,Florida Atlantic,12,484,2232,4.61,27,40.33,186.00
88,89,UNLV,12,462,2239,4.85,24,38.50,186.58
89,90,Navy,13,490,2490,5.08,33,37.69,191.54
90,91,Arkansas State,13,524,2493,4.76,21,40.31,191.77
91,92,Florida International,13,514,2499,4.86,20,39.54,192.23
92,93,Wake Forest,13,526,2503,4.76,31,40.46,192.54
93,94,Vanderbilt,13,510,2531,4.96,19,39.23,194.69
94,95,South Carolina,13,569,2539,4.46,29,43.77,195.31
95,96,UTEP,12,475,2349,4.95,22,39.58,195.75
96,96,Nebraska,12,470,2349,5.00,29,39.17,195.75
97,98,SMU,12,547,2357,4.31,22,45.58,196.42
98,99,Akron,12,531,2364,4.45,24,44.25,197.00
99,100,UCLA,12,520,2393,4.60,31,43.33,199.42
100,101,South Alabama,12,484,2436,5.03,33,40.33,203.00
101,102,Eastern Michigan,13,580,2646,4.56,19,44.62,203.54
102,103,Hawai'i,14,582,2865,4.92,35,41.57,204.64
103,104,Central Michigan,12,554,2456,4.43,28,46.17,204.67
104,105,Duke,13,546,2721,4.98,27,42.00,209.31
105,106,Virginia Tech,13,501,2734,5.46,33,38.54,210.31
106,107,San Jose State,12,537,2534,4.72,23,44.75,211.17
107,108,Rutgers,12,491,2578,5.25,25,40.92,214.83
108,109,Old Dominion,12,499,2597,5.20,31,41.58,216.42
109,110,New Mexico,12,536,2604,4.86,30,44.67,217.00
110,111,North Carolina,11,477,2407,5.05,28,43.36,218.82
111,112,Louisiana-Lafayette,14,618,3067,4.96,37,44.14,219.07
112,113,Colorado State,12,494,2634,5.33,20,41.17,219.50
113,114,Kent State,12,543,2643,4.87,38,45.25,220.25
114,115,Houston,13,616,2877,4.67,42,47.38,221.31
115,116,Mississippi,12,523,2661,5.09,25,43.58,221.75
116,117,Liberty,12,509,2662,5.23,27,42.42,221.83
117,118,UCF,13,618,2890,4.68,17,47.54,222.31
118,119,Tulsa,12,559,2797,5.00,26,46.58,233.08
119,120,Ball State,12,560,2878,5.14,36,46.67,239.83
120,121,Coastal Carolina,12,451,2933,6.50,32,37.58,244.42
121,122,Illinois,12,494,2943,5.96,31,41.17,245.25
122,123,South Florida,13,629,3218,5.12,36,48.38,247.54
123,124,Georgia State,12,459,3012,6.56,30,38.25,251.00
124,125,New Mexico State,12,636,3221,5.06,38,53.00,268.42
125,126,Massachusetts,12,567,3294,5.81,38,47.25,274.50
126,127,Louisville,12,553,3327,6.02,40,46.08,277.25
127,128,Bowling Green,12,572,3366,5.88,42,47.67,280.50
128,129,Oregon State,12,499,3382,6.78,37,41.58,281.83
129,130,Connecticut,12,524,4020,7.67,45,43.67,335.00
