,Rank,Name,G,Rush,Pass,Penalty,Total,Total/G
0,1,Boston College,12,54,88,24,166,13.8
1,2,Wisconsin,13,60,107,16,183,14.1
2,3,Georgia,13,89,87,13,189,14.5
3,4,Alabama,15,67,129,27,223,14.9
4,5,Clemson,15,93,111,21,225,15.0
5,6,San Diego State,14,83,104,33,220,15.7
6,7,Boise State,13,71,110,25,206,15.8
7,8,Air Force,14,90,123,17,230,16.4
8,9,Ohio State,13,93,103,20,216,16.6
9,10,Michigan,13,91,95,31,217,16.7
10,11,Georgia Southern,13,91,116,13,220,16.9
11,11,Florida,14,106,111,20,237,16.9
12,13,Temple,14,83,131,25,239,17.1
13,14,Vanderbilt,12,80,107,19,206,17.2
14,14,Central Michigan,13,92,120,11,223,17.2
15,14,Appalachian State,13,99,112,12,223,17.2
16,17,Northwestern,13,99,111,16,226,17.4
17,18,Louisville,13,90,112,25,227,17.5
18,19,Georgia Tech,12,94,106,11,211,17.6
19,19,Utah State,13,104,103,22,229,17.6
20,21,Missouri,12,99,98,16,213,17.8
21,21,Michigan State,14,90,136,23,249,17.8
22,23,Army,12,93,110,13,216,18.0
23,23,Pittsburgh,13,107,111,16,234,18.0
24,23,Penn State,13,108,115,11,234,18.0
25,26,Wake Forest,12,88,107,22,217,18.1
26,26,Illinois,12,102,94,21,217,18.1
27,26,Tennessee,13,97,120,18,235,18.1
28,26,Houston,14,84,151,18,253,18.1
29,30,North Carolina State,13,92,114,30,236,18.2
30,31,Virginia Tech,13,101,108,29,238,18.3
31,32,Connecticut,13,107,120,14,241,18.5
32,32,San Jose State,13,134,95,12,241,18.5
33,34,Notre Dame,13,109,108,25,242,18.6
34,35,UTEP,12,84,125,17,226,18.8
35,35,BYU,13,91,132,22,245,18.8
36,37,Nebraska,13,57,163,26,246,18.9
37,37,Florida State,13,107,122,17,246,18.9
38,39,Texas A&M,13,134,88,25,247,19.0
39,40,Akron,13,77,140,31,248,19.1
40,40,Washington,13,91,134,23,248,19.1
41,40,Ohio,13,97,130,21,248,19.1
42,40,Stanford,14,106,145,16,267,19.1
43,44,Minnesota,13,112,122,17,251,19.3
