,Rank,Name,G,Int.,Yards,TD,Int./G
0,1,Arkansas State,13,26,503,6,2.00
1,2,West Virginia,13,23,80,1,1.77
2,2,San Diego State,14,23,308,4,1.64
3,4,Utah,13,22,338,3,1.69
4,4,Boise State,13,22,211,2,1.69
5,4,Northern Illinois,14,22,389,2,1.57
6,7,Houston,14,21,342,3,1.50
7,8,Oklahoma,13,20,317,2,1.54
8,8,Bowling Green,14,20,245,1,1.43
9,10,Iowa,14,19,321,4,1.36
10,10,Alabama,15,19,462,4,1.27
11,12,Appalachian State,13,18,280,3,1.38
12,12,Connecticut,13,18,185,1,1.38
13,14,Middle Tennessee,13,17,349,3,1.31
14,14,Oklahoma State,13,17,256,2,1.31
15,14,Louisville,13,17,229,1,1.31
16,14,South Florida,13,17,226,1,1.31
17,14,Georgia Southern,13,17,178,0,1.31
18,14,North Carolina,14,17,204,0,1.21
19,14,Western Kentucky,14,17,133,1,1.21
20,21,Temple,14,16,301,2,1.14
21,21,Clemson,15,16,137,2,1.07
22,23,Washington,13,15,358,2,1.15
23,23,Mississippi,13,15,356,4,1.15
24,23,BYU,13,15,231,2,1.15
25,23,Marshall,13,15,222,2,1.15
26,23,Arizona State,13,15,189,2,1.15
27,23,Miami (Florida),13,15,172,0,1.15
28,23,Texas Tech,13,15,168,2,1.15
29,23,Georgia State,13,15,133,1,1.15
30,23,California,13,15,65,2,1.15
31,23,Michigan State,14,15,164,2,1.07
32,33,Florida Atlantic,12,14,347,3,1.17
33,33,UTSA,12,14,218,2,1.17
34,33,Colorado,13,14,262,1,1.08
35,33,New Mexico,13,14,170,1,1.08
36,33,Auburn,13,14,144,1,1.08
37,33,Baylor,13,14,137,0,1.08
38,33,Akron,13,14,29,0,1.08
39,33,USC,14,14,284,2,1.00
40,33,Florida,14,14,247,2,1.00
41,42,UNLV,12,13,301,2,1.08
42,42,Buffalo,12,13,278,5,1.08
43,42,Texas,12,13,239,1,1.08
44,42,Illinois,12,13,195,1,1.08
45,42,Rutgers,12,13,117,1,1.08
46,42,Massachusetts,12,13,94,0,1.08
47,42,Boston College,12,13,63,1,1.08
48,42,Washington State,13,13,286,1,1.00
49,42,Louisiana Tech,13,13,250,3,1.00
50,42,Mississippi State,13,13,125,1,1.00
51,42,Oregon,13,13,118,1,1.00
52,42,Nevada,13,13,104,1,1.00
53,42,North Carolina State,13,13,77,1,1.00
54,42,Southern Mississippi,14,13,267,3,0.93
55,56,Toledo,12,12,175,1,1.00
56,56,Kent State,12,12,137,1,1.00
57,56,Purdue,12,12,137,0,1.00
58,56,New Mexico State,12,12,110,1,1.00
59,56,South Carolina,12,12,37,0,1.00
60,56,Georgia,13,12,258,1,0.92
61,56,Indiana,13,12,238,2,0.92
62,56,Ohio,13,12,230,3,0.92
63,56,Northwestern,13,12,228,2,0.92
64,56,Tennessee,13,12,208,1,0.92
65,56,Memphis,13,12,156,2,0.92
66,56,UCLA,13,12,156,2,0.92
67,56,Ohio State,13,12,142,3,0.92
68,56,Wisconsin,13,12,120,0,0.92
69,56,Navy,13,12,93,0,0.92
70,71,Kentucky,12,11,164,2,0.92
71,71,Syracuse,12,11,134,2,0.92
72,71,Texas A&M,13,11,140,2,0.85
73,71,Arizona,13,11,98,2,0.85
74,71,Arkansas,13,11,80,0,0.85
75,71,Duke,13,11,57,0,0.85
76,71,Air Force,14,11,92,1,0.79
77,78,Miami (Ohio),12,10,165,2,0.83
78,78,SMU,12,10,82,0,0.83
79,78,LSU,12,10,77,1,0.83
80,78,Charlotte,12,10,30,1,0.83
81,78,South Alabama,12,10,21,0,0.83
82,78,Tulsa,13,10,325,4,0.77
83,78,Utah State,13,10,177,1,0.77
84,78,Nebraska,13,10,143,1,0.77
85,78,Western Michigan,13,10,143,1,0.77
86,78,Pittsburgh,13,10,135,1,0.77
87,78,Penn State,13,10,123,0,0.77
88,78,Michigan,13,10,97,1,0.77
89,78,Minnesota,13,10,53,2,0.77
90,78,Virginia Tech,13,10,12,1,0.77
91,92,Fresno State,12,9,190,1,0.75
92,92,Kansas,12,9,159,1,0.75
93,92,Missouri,12,9,156,0,0.75
94,92,Florida International,12,9,134,2,0.75
95,92,Maryland,12,9,97,0,0.75
96,92,Georgia Tech,12,9,70,1,0.75
97,92,San Jose State,13,9,206,2,0.69
98,92,Notre Dame,13,9,65,1,0.69
99,92,Cincinnati,13,9,53,0,0.69
100,101,East Carolina,12,8,150,2,0.67
101,101,Old Dominion,12,8,114,0,0.67
