,Rank,Name,G,Int.,Yards,TD,Int./G
102,101,Tulane,12,8,100,0,0.67
103,101,Oregon State,12,8,96,1,0.67
104,101,Florida State,13,8,104,0,0.62
105,101,Colorado State,13,8,84,0,0.62
106,101,Stanford,14,8,131,2,0.57
107,108,Ball State,12,7,3,0,0.58
108,108,TCU,13,7,133,2,0.54
109,108,Central Michigan,13,7,0,0,0.54
110,111,Army,12,6,98,0,0.50
111,111,Troy,12,6,89,1,0.50
112,111,Vanderbilt,12,6,49,1,0.50
113,111,Wake Forest,12,6,46,0,0.50
114,111,Idaho,12,6,45,1,0.50
115,116,UTEP,12,5,116,2,0.42
116,116,Louisiana-Lafayette,12,5,114,1,0.42
117,116,Wyoming,12,5,32,0,0.42
118,116,Iowa State,12,5,23,0,0.42
119,116,Louisiana-Monroe,13,5,138,2,0.38
120,116,Kansas State,13,5,2,0,0.38
121,122,UCF,12,4,132,1,0.33
122,122,Eastern Michigan,12,4,50,1,0.33
123,122,North Texas,12,4,28,0,0.33
124,122,Virginia,12,4,8,0,0.33
125,126,Texas State,12,3,73,0,0.25
126,126,Hawai'i,13,3,36,0,0.23
127,128,Rice,12,2,37,0,0.17
