,Rank,Name,G,20+Yards,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
0,1,Tennessee,13,13,5,4,3,2,2,2,0
1,2,Alabama,15,9,4,4,3,2,1,0,0
2,3,Arkansas State,13,7,5,3,2,1,1,0,0
3,3,Houston,14,7,2,1,1,1,1,0,0
4,3,Iowa State,12,7,4,2,1,1,1,1,0
5,3,Maryland,12,7,5,3,2,2,1,1,0
6,3,North Carolina State,13,7,6,2,2,0,0,0,0
7,3,Ohio State,13,7,3,0,0,0,0,0,0
8,9,Florida,14,6,4,3,3,2,2,1,0
9,9,Texas A&M,13,6,4,4,3,2,1,0,0
10,9,Toledo,12,6,1,1,0,0,0,0,0
11,9,Utah State,13,6,2,1,1,1,1,1,0
12,13,Georgia,13,5,4,3,3,2,2,0,0
13,13,Iowa,14,5,4,0,0,0,0,0,0
14,13,LSU,12,5,1,1,1,1,0,0,0
15,13,Louisville,13,5,2,0,0,0,0,0,0
16,13,North Carolina,14,5,3,3,3,3,3,1,0
17,13,San Diego State,14,5,5,3,2,1,0,0,0
18,13,Texas,12,5,3,2,2,1,1,1,0
19,13,Troy,12,5,3,1,1,1,0,0,0
20,13,Utah,13,5,4,3,2,2,1,0,0
21,13,Virginia Tech,13,5,3,2,1,1,0,0,0
22,23,Auburn,13,4,1,1,1,0,0,0,0
23,23,Colorado State,13,4,3,3,2,2,1,0,0
24,23,Georgia Southern,13,4,2,2,2,2,1,0,0
25,23,Illinois,12,4,2,1,0,0,0,0,0
26,23,Louisiana-Lafayette,12,4,2,1,0,0,0,0,0
27,23,Michigan,13,4,2,1,0,0,0,0,0
28,23,Mississippi State,13,4,2,1,1,1,1,0,0
29,23,North Texas,12,4,3,1,1,0,0,0,0
30,23,South Florida,13,4,2,2,0,0,0,0,0
31,23,Syracuse,12,4,2,2,2,1,1,0,0
32,23,TCU,13,4,3,1,0,0,0,0,0
33,23,UCLA,13,4,2,1,1,0,0,0,0
34,23,USC,14,4,4,3,0,0,0,0,0
35,23,Washington,13,4,3,2,2,2,2,1,0
36,37,Arizona,13,3,1,1,1,1,0,0,0
37,37,Arkansas,13,3,3,2,0,0,0,0,0
38,37,Duke,13,3,2,1,1,1,0,0,0
39,37,East Carolina,12,3,2,1,0,0,0,0,0
40,37,Florida International,12,3,2,1,0,0,0,0,0
41,37,Fresno State,12,3,2,0,0,0,0,0,0
42,37,Hawai'i,13,3,1,0,0,0,0,0,0
43,37,Indiana,13,3,2,2,2,1,1,1,1
44,37,Kansas State,13,3,2,1,1,0,0,0,0
45,37,Louisiana Tech,13,3,1,1,0,0,0,0,0
46,37,Marshall,13,3,1,1,1,1,0,0,0
47,37,Missouri,12,3,1,1,0,0,0,0,0
48,37,Notre Dame,13,3,2,1,1,0,0,0,0
49,37,Pittsburgh,13,3,0,0,0,0,0,0,0
50,37,Rutgers,12,3,2,2,2,1,0,0,0
51,37,Southern Mississippi,14,3,0,0,0,0,0,0,0
52,37,Stanford,14,3,2,1,1,1,0,0,0
53,37,Tulsa,13,3,1,0,0,0,0,0,0
54,37,Virginia,12,3,2,1,1,1,1,0,0
55,37,Washington State,13,3,1,0,0,0,0,0,0
56,37,Wisconsin,13,3,1,0,0,0,0,0,0
57,58,Appalachian State,13,2,1,0,0,0,0,0,0
58,58,Army,12,2,1,1,1,0,0,0,0
59,58,BYU,13,2,2,1,0,0,0,0,0
60,58,Boise State,13,2,2,1,0,0,0,0,0
61,58,Boston College,12,2,2,0,0,0,0,0,0
62,58,Bowling Green,14,2,0,0,0,0,0,0,0
63,58,Charlotte,12,2,0,0,0,0,0,0,0
64,58,Cincinnati,13,2,1,1,1,1,0,0,0
65,58,Colorado,13,2,2,1,0,0,0,0,0
66,58,Georgia Tech,12,2,2,1,0,0,0,0,0
67,58,Memphis,13,2,1,1,1,1,0,0,0
