,Rank,Name,G,Fum. Gain,Int. Gain,Total Gain,Fum. Lost,Int. Lost,Total Lost,Margin,Margin/G
0,1,San Diego State,14,11,23,34,9,3,12,22,1.57
1,2,Houston,14,14,21,35,7,7,14,21,1.50
2,3,Navy,13,15,12,27,6,2,8,19,1.46
3,4,Western Kentucky,14,14,17,31,8,9,17,14,1.00
4,4,Michigan State,14,13,15,28,6,8,14,14,1.00
5,4,Utah,13,12,22,34,10,11,21,13,1.00
6,4,Oklahoma State,13,11,17,28,5,10,15,13,1.00
7,8,Texas,12,12,13,25,8,6,14,11,0.92
8,9,Bowling Green,14,7,20,27,7,8,15,12,0.86
9,10,Miami (Florida),13,10,15,25,5,9,14,11,0.85
10,11,Iowa,14,8,19,27,11,5,16,11,0.79
11,11,USC,14,9,14,23,5,7,12,11,0.79
12,13,Akron,13,14,14,28,6,12,18,10,0.77
13,13,South Florida,13,8,17,25,6,9,15,10,0.77
14,15,Boise State,13,9,22,31,10,12,22,9,0.69
15,15,West Virginia,13,8,23,31,7,15,22,9,0.69
16,15,Oklahoma,13,7,20,27,9,9,18,9,0.69
17,15,Connecticut,13,7,18,25,6,10,16,9,0.69
18,15,North Carolina State,13,9,13,22,7,6,13,9,0.69
19,15,Nevada,13,8,13,21,5,7,12,9,0.69
20,21,Alabama,15,8,19,27,7,10,17,10,0.67
21,21,Toledo,12,10,12,22,4,10,14,8,0.67
22,23,Arkansas State,13,8,26,34,11,15,26,8,0.62
23,23,Indiana,13,10,12,22,6,8,14,8,0.62
24,23,Memphis,13,10,12,22,9,5,14,8,0.62
25,26,LSU,12,7,10,17,4,6,10,7,0.58
26,27,Florida,14,11,14,25,7,10,17,8,0.57
27,28,Tennessee,13,7,12,19,7,5,12,7,0.54
28,28,Arkansas,13,7,11,18,3,8,11,7,0.54
29,30,North Carolina,14,9,17,26,9,10,19,7,0.50
30,31,Georgia Southern,13,10,17,27,11,10,21,6,0.46
31,32,Syracuse,12,12,11,23,9,9,18,5,0.42
32,32,South Carolina,12,8,12,20,3,12,15,5,0.42
33,34,Washington,13,12,15,27,11,11,22,5,0.38
34,34,Ohio,13,10,12,22,4,13,17,5,0.38
35,34,Oregon,13,9,13,22,7,10,17,5,0.38
36,37,UNLV,12,8,13,21,4,13,17,4,0.33
37,37,Illinois,12,8,13,21,9,8,17,4,0.33
38,39,Marshall,13,13,15,28,11,13,24,4,0.31
