,Rank,Name,G,10+Yards,20+Yards,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
0,1,Georgia Southern,13,136,57,30,22,12,9,5,3,0
1,2,Baylor,13,131,30,16,9,3,2,2,1,0
2,3,Oregon,13,130,36,20,12,6,6,2,1,0
3,4,Air Force,14,117,38,20,12,8,4,0,0,0
4,5,Navy,13,114,33,21,16,8,2,1,0,0
5,6,Appalachian State,13,110,37,15,11,8,3,2,0,0
6,7,South Florida,13,109,29,11,8,3,1,1,0,0
7,8,Houston,14,108,39,15,6,1,0,0,0,0
8,9,North Carolina,14,105,39,16,6,1,1,0,0,0
9,10,West Virginia,13,104,20,7,4,2,0,0,0,0
10,11,Clemson,15,99,32,13,4,3,2,0,0,0
11,12,LSU,12,98,34,16,11,6,5,4,1,0
12,12,Oklahoma,13,98,29,13,8,6,3,1,0,0
13,14,Ohio State,13,97,24,12,10,7,4,2,1,0
14,15,Tennessee,13,95,27,8,4,3,2,0,0,0
15,16,Arkansas State,13,92,34,11,9,8,2,1,0,0
16,16,Georgia Tech,12,92,27,14,11,6,3,0,0,0
17,16,Louisville,13,92,24,11,7,3,3,1,0,0
18,16,New Mexico,13,92,38,22,13,8,6,4,0,0
19,20,Arizona,13,91,30,17,10,6,4,4,0,0
20,20,Texas Tech,13,91,22,11,7,4,1,1,1,0
21,22,Notre Dame,13,87,27,11,8,7,5,4,2,2
22,23,Nevada,13,86,24,13,9,8,4,2,1,1
23,23,North Carolina State,13,86,22,12,6,4,3,2,1,0
24,25,Northern Illinois,14,85,18,9,8,5,2,2,1,0
25,25,San Diego State,14,85,28,15,9,6,4,1,0,0
26,25,Western Michigan,13,85,23,15,9,6,4,1,0,0
27,28,Alabama,15,84,23,13,9,6,2,1,0,0
28,28,Indiana,13,84,22,10,5,3,2,1,0,0
29,28,Stanford,14,84,31,13,9,5,3,1,0,0
30,31,Mississippi,13,83,25,9,5,3,3,2,0,0
31,32,Bowling Green,14,82,23,9,4,3,2,1,1,1
32,33,Texas,12,81,25,12,9,4,4,3,3,2
33,33,Texas State,12,81,20,10,5,5,2,0,0,0
34,35,Colorado State,13,79,18,11,3,0,0,0,0,0
35,35,Maryland,12,79,25,14,9,5,4,4,1,0
36,37,Army,12,77,28,15,10,6,3,1,0,0
37,37,Florida State,13,77,26,13,6,6,4,4,1,1
38,37,UNLV,12,77,23,12,5,2,0,0,0,0
39,40,Memphis,13,76,16,4,1,1,1,0,0,0
40,40,Nebraska,13,76,21,8,2,2,1,0,0,0
41,40,North Texas,12,76,20,7,3,2,0,0,0,0
42,40,TCU,13,76,18,5,3,2,2,1,1,0
43,40,Utah,13,76,15,8,4,3,3,0,0,0
44,45,Boise State,13,75,26,14,7,3,2,2,2,0
45,45,Ohio,13,75,14,7,3,1,0,0,0,0
46,45,USC,14,75,22,9,6,3,3,1,0,0
47,48,Texas A&M,13,74,17,5,2,1,0,0,0,0
48,48,UCLA,13,74,19,14,5,2,1,1,1,0
49,50,Boston College,12,73,22,7,4,2,1,1,1,0
50,50,Georgia,13,73,29,10,6,4,3,1,1,0
51,50,Iowa,14,73,20,11,9,5,3,1,0,0
52,50,SMU,12,73,19,9,3,2,1,0,0,0
53,50,Southern Mississippi,14,73,30,17,9,6,3,1,0,0
54,55,Auburn,13,71,18,6,3,2,1,0,0,0
55,55,New Mexico State,12,71,26,12,7,5,3,1,1,0
56,57,Rice,12,70,13,6,2,1,1,0,0,0
57,57,Toledo,12,70,19,11,8,3,2,2,2,1
58,57,Wyoming,12,70,18,7,4,2,2,1,0,0
59,60,Eastern Michigan,12,69,20,11,6,4,2,1,0,0
60,60,Iowa State,12,69,18,8,7,3,2,1,0,0
