,Rank,Name,G,Rush Yards,Pass Yards,Plays,Total Yards,Yards/Play,Yards/G
0,1,Baylor,13,4247,3764,1103,8011,7.26,616.2
1,2,Texas Tech,13,2487,5046,1084,7533,6.95,579.5
2,3,TCU,13,2800,4517,1078,7317,6.79,562.8
3,4,Bowling Green,14,2520,5135,1136,7655,6.74,546.8
4,5,Oregon,13,3639,3358,993,6997,7.05,538.2
5,6,Cincinnati,13,2313,4679,1059,6992,6.60,537.8
6,7,Oklahoma,13,2887,4006,1013,6893,6.80,530.2
7,8,California,13,1987,4892,989,6879,6.96,529.2
8,9,Western Kentucky,14,2158,5211,1019,7369,7.23,526.4
9,10,Mississippi,13,2380,4351,952,6731,7.07,517.8
10,11,Clemson,15,3345,4373,1207,7718,6.39,514.5
11,12,Southern Mississippi,14,2517,4616,1033,7133,6.91,509.5
12,13,Tulsa,13,2264,4332,1083,6596,6.09,507.4
13,14,Indiana,13,2736,3820,1053,6556,6.23,504.3
14,15,Boise State,13,2488,4029,1077,6517,6.05,501.3
15,16,Arizona,13,2886,3548,992,6434,6.49,494.9
16,17,Western Michigan,13,2648,3736,930,6384,6.86,491.1
17,18,North Carolina,14,3142,3675,936,6817,7.28,486.9
18,18,Memphis,13,2331,3999,1029,6330,6.15,486.9
19,20,Houston,14,3301,3477,1101,6778,6.16,484.1
20,21,Louisiana Tech,13,2075,4201,910,6276,6.90,482.8
21,22,Oklahoma State,13,1649,4591,977,6240,6.39,480.0
22,23,West Virginia,13,2967,3269,1051,6236,5.93,479.7
23,24,Arizona State,13,2325,3881,1070,6206,5.80,477.4
24,25,Washington State,13,1046,5059,1032,6105,5.92,469.6
25,26,Appalachian State,13,3529,2546,902,6075,6.74,467.3
26,27,Notre Dame,13,2703,3360,864,6063,7.02,466.4
27,28,UCLA,13,2309,3748,969,6057,6.25,465.9
28,29,Arkansas,13,2565,3486,886,6051,6.83,465.5
29,30,Toledo,12,2495,3036,903,5531,6.13,460.9
30,31,Mississippi State,13,1873,4113,927,5986,6.46,460.5
31,32,Middle Tennessee,13,1894,4052,1004,5946,5.92,457.4
32,33,Air Force,14,4472,1847,987,6319,6.40,451.4
33,34,Nebraska,13,2340,3470,954,5810,6.09,446.9
34,35,South Florida,13,3211,2530,893,5741,6.43,441.6
35,36,Duke,13,2508,3204,1033,5712,5.53,439.4
36,37,Arkansas State,13,3007,2693,973,5700,5.86,438.5
37,38,USC,14,2355,3776,990,6131,6.19,437.9
38,39,LSU,12,3089,2158,783,5247,6.70,437.3
39,40,Stanford,14,3132,2965,928,6097,6.57,435.5
40,41,Ohio State,13,3188,2455,892,5643,6.33,434.1
41,42,New Mexico State,12,2166,3034,896,5200,5.80,433.3
42,43,Georgia State,13,1260,4367,903,5627,6.23,432.8
43,44,Idaho,12,1766,3375,930,5141,5.53,428.4
44,45,Alabama,15,2999,3407,1088,6406,5.89,427.1
45,46,Georgia Southern,13,4719,824,865,5543,6.41,426.4
46,47,Colorado State,13,2571,2965,926,5536,5.98,425.8
47,48,Navy,13,4247,1280,870,5527,6.35,425.2
48,49,BYU,13,1668,3854,917,5522,6.02,424.8
49,50,Texas A&M,13,2198,3323,987,5521,5.59,424.7
50,51,Florida State,13,2187,3325,844,5512,6.53,424.0
51,52,Tennessee,13,2908,2582,988,5490,5.56,422.3
52,53,Texas State,12,2248,2752,901,5000,5.55,416.7
53,54,Louisville,13,2223,3186,900,5409,6.01,416.1
54,55,East Carolina,12,1600,3375,877,4975,5.67,414.6
55,56,Ohio,13,2351,3019,950,5370,5.65,413.1
56,57,North Carolina State,13,2627,2740,953,5367,5.63,412.8
57,58,Iowa State,12,2184,2715,909,4899,5.39,408.3
58,59,UNLV,12,2324,2537,865,4861,5.62,405.1
59,60,San Jose State,13,2378,2882,922,5260,5.70,404.6
60,61,Washington,13,2130,3110,873,5240,6.00,403.1
61,62,Rice,12,2131,2691,906,4822,5.32,401.8
62,63,Central Michigan,13,1317,3905,915,5222,5.71,401.7
63,64,Marshall,13,2196,3009,967,5205,5.38,400.4
64,65,Massachusetts,12,1707,3090,887,4797,5.41,399.8
65,66,Northern Illinois,14,2662,2918,1047,5580,5.33,398.6
66,67,Miami (Florida),13,1559,3602,873,5161,5.91,397.0
67,68,Colorado,13,2031,3128,1008,5159,5.12,396.8
68,69,Michigan,13,2057,3090,906,5147,5.68,395.9
69,70,New Mexico,13,3292,1768,868,5060,5.83,389.2
70,71,Buffalo,12,1643,2994,880,4637,5.27,386.4
71,72,Iowa,14,2544,2862,937,5406,5.77,386.1
72,73,Michigan State,14,2118,3279,992,5397,5.44,385.5
73,74,Virginia Tech,13,2070,2936,939,5006,5.33,385.1
74,75,Virginia,12,1737,2859,837,4596,5.49,383.0
75,76,SMU,12,1974,2620,869,4594,5.29,382.8
76,77,Louisiana-Lafayette,12,2063,2502,837,4565,5.45,380.4
77,78,Eastern Michigan,12,1894,2666,830,4560,5.49,380.0
78,79,Wisconsin,13,1954,2968,931,4922,5.29,378.6
79,80,Georgia Tech,12,3074,1462,775,4536,5.85,378.0
