,Rank,Name,G,Punts,Yards,Avg.,Punts/G,Yards/G
0,1,Rutgers,12,43,1569,36.49,3.6,130.8
1,2,Eastern Michigan,12,44,1650,37.50,3.7,137.5
2,3,Temple,14,83,3131,37.72,5.9,223.6
3,4,Louisiana-Lafayette,12,56,2120,37.86,4.7,176.7
4,5,California,13,59,2245,38.05,4.5,172.7
5,6,Marshall,13,92,3515,38.21,7.1,270.4
6,7,UCF,12,59,2256,38.24,4.9,188.0
7,8,Kansas State,13,62,2376,38.32,4.8,182.8
8,9,UTSA,12,51,1957,38.37,4.3,163.1
9,10,Central Michigan,13,66,2539,38.47,5.1,195.3
10,11,Middle Tennessee,13,68,2625,38.60,5.2,201.9
11,12,Buffalo,12,61,2360,38.69,5.1,196.7
12,13,Memphis,13,77,2980,38.70,5.9,229.2
13,14,Rice,12,55,2132,38.76,4.6,177.7
14,15,Army,12,60,2335,38.92,5.0,194.6
15,16,Michigan State,14,64,2492,38.94,4.6,178.0
16,17,Toledo,12,64,2501,39.08,5.3,208.4
17,18,Louisiana Tech,13,76,2980,39.21,5.8,229.2
18,19,Old Dominion,12,50,1962,39.24,4.2,163.5
19,19,Baylor,13,83,3257,39.24,6.4,250.5
20,21,Mississippi State,13,72,2830,39.31,5.5,217.7
21,22,Troy,12,63,2480,39.37,5.3,206.7
22,23,Michigan,13,82,3231,39.40,6.3,248.5
23,24,Navy,13,39,1537,39.41,3.0,118.2
24,25,Tulane,12,57,2254,39.54,4.8,187.8
25,26,Texas,12,65,2572,39.57,5.4,214.3
26,27,Utah State,13,84,3326,39.60,6.5,255.8
27,28,Western Kentucky,14,66,2616,39.64,4.7,186.9
28,29,South Carolina,12,51,2023,39.67,4.3,168.6
29,30,Penn State,13,87,3454,39.70,6.7,265.7
30,31,Georgia,13,83,3296,39.71,6.4,253.5
31,32,Miami (Ohio),12,68,2703,39.75,5.7,225.3
32,33,Charlotte,12,61,2428,39.80,5.1,202.3
33,34,Washington State,13,53,2112,39.85,4.1,162.5
34,35,Kentucky,12,61,2432,39.87,5.1,202.7
35,36,Hawai'i,13,71,2840,40.00,5.5,218.5
36,37,Northern Illinois,14,75,3003,40.04,5.4,214.5
37,38,Nebraska,13,71,2852,40.17,5.5,219.4
38,39,Idaho,12,45,1810,40.22,3.8,150.8
39,40,Georgia Tech,12,60,2417,40.28,5.0,201.4
40,41,Pittsburgh,13,62,2500,40.32,4.8,192.3
41,41,Alabama,15,113,4556,40.32,7.5,303.7
42,43,Vanderbilt,12,72,2905,40.35,6.0,242.1
43,44,Illinois,12,80,3229,40.36,6.7,269.1
44,45,Wisconsin,13,85,3434,40.40,6.5,264.2
45,46,North Texas,12,41,1659,40.46,3.4,138.3
46,47,Washington,13,73,2957,40.51,5.6,227.5
47,48,North Carolina,14,63,2553,40.52,4.5,182.4
48,49,Ball State,12,47,1907,40.57,3.9,158.9
49,49,Miami (Florida),13,60,2434,40.57,4.6,187.2
50,51,Missouri,12,79,3208,40.61,6.6,267.3
51,52,Fresno State,12,54,2199,40.72,4.5,183.3
52,53,Boise State,13,89,3626,40.74,6.8,278.9
53,54,Louisiana-Monroe,13,69,2815,40.80,5.3,216.5
54,54,Ohio,13,70,2856,40.80,5.4,219.7
55,54,Iowa,14,76,3101,40.80,5.4,221.5
56,57,Virginia Tech,13,76,3107,40.88,5.8,239.0
57,58,Texas State,12,47,1927,41.00,3.9,160.6
58,59,South Alabama,12,61,2503,41.03,5.1,208.6
59,60,Auburn,13,46,1888,41.04,3.5,145.2
60,61,Ohio State,13,92,3787,41.16,7.1,291.3
61,62,UNLV,12,56,2308,41.21,4.7,192.3
62,63,Colorado State,13,64,2642,41.28,4.9,203.2
63,64,Kansas,12,43,1778,41.35,3.6,148.2
64,64,Texas A&M,13,84,3473,41.35,6.5,267.2
65,66,TCU,13,93,3849,41.39,7.2,296.1
66,67,Colorado,13,69,2857,41.41,5.3,219.8
67,68,Akron,13,75,3107,41.43,5.8,239.0
68,69,SMU,12,48,1989,41.44,4.0,165.8
69,69,Oklahoma State,13,73,3025,41.44,5.6,232.7
70,71,Massachusetts,12,62,2570,41.45,5.2,214.2
71,72,Boston College,12,93,3857,41.47,7.8,321.4
72,73,Oregon,13,60,2490,41.50,4.6,191.5
73,73,Iowa State,12,62,2573,41.50,5.2,214.4
74,73,Indiana,13,68,2822,41.50,5.2,217.1
75,76,Bowling Green,14,63,2616,41.52,4.5,186.9
76,77,Duke,13,81,3365,41.54,6.2,258.8
77,78,Clemson,15,111,4617,41.59,7.4,307.8
78,79,Louisville,13,84,3496,41.62,6.5,268.9
79,80,Connecticut,13,57,2375,41.67,4.4,182.7
