,Rank,Name,G,Fumbles Forced,Fumbles Forced/G
0,1,Penn State,13,20,1.54
1,2,Toledo,12,19,1.58
2,3,Virginia Tech,13,18,1.38
3,3,Texas A&M,13,18,1.38
4,3,Baylor,13,18,1.38
5,6,Maryland,12,17,1.42
6,6,Navy,13,17,1.31
7,6,Marshall,13,17,1.31
8,6,Florida,14,17,1.21
9,10,Virginia,12,16,1.33
10,10,Charlotte,12,16,1.33
11,10,South Alabama,12,16,1.33
12,10,Utah,13,16,1.23
13,10,Boise State,13,16,1.23
14,10,Washington State,13,16,1.23
15,10,San Diego State,14,16,1.14
16,10,Alabama,15,16,1.07
17,18,Syracuse,12,15,1.25
18,18,Mississippi,13,15,1.15
19,18,Louisiana Tech,13,15,1.15
20,18,Washington,13,15,1.15
21,18,Southern Mississippi,14,15,1.07
22,23,Vanderbilt,12,14,1.17
23,23,Boston College,12,14,1.17
24,23,Texas,12,14,1.17
25,23,Utah State,13,14,1.08
26,23,Colorado,13,14,1.08
27,23,Tulsa,13,14,1.08
28,23,Pittsburgh,13,14,1.08
29,23,North Carolina State,13,14,1.08
30,23,Akron,13,14,1.08
31,23,Louisville,13,14,1.08
32,23,Duke,13,14,1.08
33,23,Ohio,13,14,1.08
34,23,Michigan State,14,14,1.00
35,36,Florida Atlantic,12,13,1.08
36,36,Iowa State,12,13,1.08
37,36,Ball State,12,13,1.08
38,36,Kansas State,13,13,1.00
39,36,Indiana,13,13,1.00
40,36,Texas Tech,13,13,1.00
41,36,South Florida,13,13,1.00
42,36,Clemson,15,13,0.87
43,44,Idaho,12,12,1.00
44,44,North Texas,12,12,1.00
45,44,LSU,12,12,1.00
46,44,South Carolina,12,12,1.00
47,44,Old Dominion,12,12,1.00
48,44,Florida International,12,12,1.00
49,44,Tennessee,13,12,0.92
50,44,TCU,13,12,0.92
51,44,Western Michigan,13,12,0.92
52,44,Middle Tennessee,13,12,0.92
53,44,Oklahoma State,13,12,0.92
54,44,North Carolina,14,12,0.86
55,44,Western Kentucky,14,12,0.86
56,57,Buffalo,12,11,0.92
57,57,Auburn,13,11,0.85
58,57,Georgia Southern,13,11,0.85
59,57,West Virginia,13,11,0.85
60,57,Temple,14,11,0.79
61,57,Houston,14,11,0.79
62,63,Purdue,12,10,0.83
63,63,Missouri,12,10,0.83
64,63,Troy,12,10,0.83
65,63,UTSA,12,10,0.83
66,63,East Carolina,12,10,0.83
67,63,California,13,10,0.77
68,63,Connecticut,13,10,0.77
69,63,Hawai'i,13,10,0.77
70,63,Miami (Florida),13,10,0.77
71,63,Central Michigan,13,10,0.77
72,63,Memphis,13,10,0.77
73,63,Oregon,13,10,0.77
74,63,Florida State,13,10,0.77
75,63,San Jose State,13,10,0.77
76,63,Notre Dame,13,10,0.77
77,63,Iowa,14,10,0.71
78,63,USC,14,10,0.71
79,80,Rice,12,9,0.75
80,80,Kentucky,12,9,0.75
81,80,Texas State,12,9,0.75
82,80,SMU,12,9,0.75
83,80,Illinois,12,9,0.75
84,80,Miami (Ohio),12,9,0.75
85,80,Oregon State,12,9,0.75
86,80,New Mexico State,12,9,0.75
87,80,Fresno State,12,9,0.75
88,80,Nevada,13,9,0.69
89,80,Wisconsin,13,9,0.69
90,80,Arizona State,13,9,0.69
91,80,Arizona,13,9,0.69
92,80,Georgia,13,9,0.69
93,80,Arkansas State,13,9,0.69
94,80,Oklahoma,13,9,0.69
95,96,UNLV,12,8,0.67
96,96,Kansas,12,8,0.67
97,96,Eastern Michigan,12,8,0.67
98,96,Tulane,12,8,0.67
99,96,Georgia Tech,12,8,0.67
100,96,UCF,12,8,0.67
101,96,Northwestern,13,8,0.62
102,96,Colorado State,13,8,0.62
103,96,Cincinnati,13,8,0.62
104,96,Minnesota,13,8,0.62
105,96,Arkansas,13,8,0.62
106,96,Ohio State,13,8,0.62
107,108,Massachusetts,12,7,0.58
108,108,Nebraska,13,7,0.54
109,108,Georgia State,13,7,0.54
110,108,Louisiana-Monroe,13,7,0.54
111,108,UCLA,13,7,0.54
112,113,Rutgers,12,6,0.50
113,113,Wake Forest,12,6,0.50
114,113,Kent State,12,6,0.50
115,113,Army,12,6,0.50
116,113,Louisiana-Lafayette,12,6,0.50
117,113,Wyoming,12,6,0.50
118,113,New Mexico,13,6,0.46
119,113,Northern Illinois,14,6,0.43
120,113,Bowling Green,14,6,0.43
121,113,Stanford,14,6,0.43
122,123,BYU,13,5,0.38
123,123,Mississippi State,13,5,0.38
124,123,Michigan,13,5,0.38
125,123,Air Force,14,5,0.36
126,127,UTEP,12,4,0.33
127,127,Appalachian State,13,4,0.31
