,Rank,Name,G,Att,Yards,Avg.,TD,Att/G,Yards/G
0,1,Georgia Southern,13,728,4719,6.48,54,56.00,363.00
1,2,Baylor,13,714,4247,5.95,41,54.92,326.69
2,2,Navy,13,748,4247,5.68,53,57.54,326.69
3,4,Air Force,14,817,4472,5.47,45,58.36,319.43
4,5,Oregon,13,618,3639,5.89,34,47.54,279.92
5,6,Appalachian State,13,605,3529,5.83,25,46.54,271.46
6,7,LSU,12,506,3089,6.10,36,42.17,257.42
7,8,Georgia Tech,12,583,3074,5.27,30,48.58,256.17
8,9,New Mexico,13,638,3292,5.16,42,49.08,253.23
9,10,South Florida,13,593,3211,5.41,28,45.62,247.00
10,11,Ohio State,13,567,3188,5.62,39,43.62,245.23
11,12,Army,12,616,2931,4.76,24,51.33,244.25
12,13,Houston,14,669,3301,4.93,46,47.79,235.79
13,14,San Diego State,14,675,3266,4.84,32,48.21,233.29
14,15,Arkansas State,13,608,3007,4.95,35,46.77,231.31
15,16,West Virginia,13,622,2967,4.77,25,47.85,228.23
16,17,Texas,12,529,2698,5.10,27,44.08,224.83
17,18,North Carolina,14,527,3142,5.96,40,37.64,224.43
18,19,Stanford,14,610,3132,5.13,33,43.57,223.71
19,20,Tennessee,13,617,2908,4.71,32,47.46,223.69
20,21,Clemson,15,679,3345,4.93,34,45.27,223.00
21,22,Oklahoma,13,574,2887,5.03,32,44.15,222.08
22,23,Arizona,13,526,2886,5.49,31,40.46,222.00
23,24,TCU,13,561,2800,4.99,26,43.15,215.38
24,25,Nevada,13,556,2738,4.92,24,42.77,210.62
25,26,Indiana,13,592,2736,4.62,27,45.54,210.46
26,27,Notre Dame,13,480,2703,5.63,29,36.92,207.92
27,27,Toledo,12,492,2495,5.07,26,41.00,207.92
28,29,Western Michigan,13,526,2648,5.03,28,40.46,203.69
29,30,North Carolina State,13,540,2627,4.86,36,41.54,202.08
30,31,Maryland,12,441,2408,5.46,20,36.75,200.67
31,32,Alabama,15,642,2999,4.67,33,42.80,199.93
32,33,Colorado State,13,534,2571,4.81,20,41.08,197.77
33,34,Arkansas,13,512,2565,5.01,31,39.38,197.31
34,35,Auburn,13,586,2552,4.35,28,45.08,196.31
35,36,UNLV,12,500,2324,4.65,20,41.67,193.67
36,37,Duke,13,524,2508,4.79,25,40.31,192.92
37,38,Georgia,13,486,2498,5.14,22,37.38,192.15
38,39,Boise State,13,553,2488,4.50,36,42.54,191.38
39,40,Texas Tech,13,464,2487,5.36,34,35.69,191.31
