,Rank,Name,G,Att,Comp,Pct.,Yards,Yards/Att,TD,Int,Rating,Att/G,Yards/G
0,1,Georgia,13,344,178,51.7,2034,5.9,11,12,104.98,26.5,156.5
1,2,San Jose State,13,319,175,54.9,2051,6.4,16,9,119.77,24.5,157.8
2,3,Michigan,13,381,181,47.5,2060,5.4,8,10,94.61,29.3,158.5
3,4,Texas A&M,13,357,207,58.0,2162,6.1,10,11,111.93,27.5,166.3
4,5,Missouri,12,354,219,61.9,2031,5.7,10,9,114.29,29.5,169.3
5,6,Boston College,12,333,172,51.7,2054,6.2,9,13,104.57,27.8,171.2
6,7,Wisconsin,13,395,194,49.1,2251,5.7,7,12,96.75,30.4,173.2
7,8,Penn State,13,373,214,57.4,2255,6.0,14,10,115.18,28.7,173.5
8,9,Colorado State,13,324,175,54.0,2309,7.1,12,8,121.16,24.9,177.6
9,10,San Diego State,14,381,204,53.5,2500,6.6,14,23,108.72,27.2,178.6
10,11,Minnesota,13,394,227,57.6,2334,5.9,13,10,113.18,30.3,179.5
11,12,Utah State,13,339,183,54.0,2347,6.9,16,10,121.81,26.1,180.5
12,13,Florida,14,425,231,54.4,2550,6.0,17,14,111.36,30.4,182.1
13,14,Appalachian State,13,374,223,59.6,2378,6.4,10,18,112.23,28.8,182.9
14,15,Illinois,12,392,224,57.1,2213,5.6,17,13,112.24,32.7,184.4
15,16,Ohio State,13,411,207,50.4,2398,5.8,14,12,104.78,31.6,184.5
16,17,Clemson,15,437,212,48.5,2816,6.4,19,16,109.67,29.1,187.7
17,18,North Carolina,14,435,237,54.5,2640,6.1,16,17,109.78,31.1,188.6
18,19,Virginia Tech,13,353,175,49.6,2459,7.0,18,10,119.25,27.2,189.2
19,20,Connecticut,13,401,235,58.6,2461,6.1,14,18,112.69,30.8,189.3
20,21,Florida State,13,443,252,56.9,2491,5.6,14,8,110.94,34.1,191.6
21,22,Marshall,13,450,224,49.8,2495,5.5,15,15,100.68,34.6,191.9
22,23,Northwestern,13,452,244,54.0,2506,5.5,5,12,98.89,34.8,192.8
23,24,Central Michigan,13,388,226,58.2,2509,6.5,17,7,123.41,29.8,193.0
24,25,South Alabama,12,337,203,60.2,2340,6.9,19,10,131.25,28.1,195.0
25,26,Notre Dame,13,373,206,55.2,2559,6.9,18,9,123.96,28.7,196.8
26,27,Wyoming,12,279,186,66.7,2363,8.5,23,5,161.45,23.3,196.9
27,28,Kentucky,12,343,196,57.1,2377,6.9,14,11,122.41,28.6,198.1
28,29,Troy,12,334,195,58.4,2400,7.2,19,6,133.92,27.8,200.0
29,30,Alabama,15,495,250,50.5,3009,6.1,17,19,105.22,33.0,200.6
30,31,BYU,13,407,226,55.5,2624,6.4,12,15,112.04,31.3,201.8
31,32,Wake Forest,12,322,199,61.8,2430,7.5,17,6,138.88,26.8,202.5
32,33,Oklahoma,13,437,230,52.6,2636,6.0,19,20,108.50,33.6,202.8
33,33,Eastern Michigan,12,300,184,61.3,2433,8.1,22,4,150.98,25.0,202.8
34,35,Georgia Tech,12,337,202,59.9,2435,7.2,12,9,127.05,28.1,202.9
35,36,UCLA,13,457,261,57.1,2642,5.8,18,12,113.42,35.2,203.2
36,36,North Carolina State,13,384,210,54.7,2642,6.9,24,13,126.34,29.5,203.2
37,38,Miami (Florida),13,414,248,59.9,2650,6.4,16,15,119.17,31.8,203.8
38,39,Kent State,12,370,199,53.8,2474,6.7,22,12,123.07,30.8,206.2
39,40,Georgia Southern,13,365,200,54.8,2693,7.4,22,17,127.35,28.1,207.2
40,41,Vanderbilt,12,387,213,55.0,2488,6.4,10,6,114.47,32.3,207.3
41,42,Hawai'i,13,364,224,61.5,2716,7.5,23,3,143.42,28.0,208.9
42,43,Temple,14,467,269,57.6,2928,6.3,13,16,112.61,33.4,209.1
43,44,Ohio,13,423,251,59.3,2723,6.4,17,12,121.00,32.5,209.5
44,45,Boise State,13,411,220,53.5,2731,6.6,14,22,109.88,31.6,210.1
45,45,Air Force,14,387,205,53.0,2942,7.6,23,11,130.76,27.6,210.1
46,47,Tennessee,13,434,220,50.7,2735,6.3,17,12,111.03,33.4,210.4
47,47,Army,12,306,186,60.8,2525,8.3,13,6,140.20,25.5,210.4
48,49,Fresno State,12,331,206,62.2,2538,7.7,20,9,141.15,27.6,211.5
49,50,South Carolina,12,347,228,65.7,2549,7.3,15,12,134.77,28.9,212.4
50,51,Louisville,13,421,236,56.1,2763,6.6,23,17,121.14,32.4,212.5
51,52,Nevada,13,408,259,63.5,2782,6.8,18,13,128.95,31.4,214.0
52,53,Idaho,12,322,198,61.5,2573,8.0,22,6,147.43,26.8,214.4
53,54,Pittsburgh,13,385,215,55.8,2791,7.2,18,10,126.97,29.6,214.7
54,55,Louisiana-Monroe,13,341,194,56.9,2792,8.2,29,5,150.80,26.2,214.8
55,56,TCU,13,442,220,49.8,2805,6.3,17,7,112.60,34.0,215.8
56,57,Mississippi State,13,424,257,60.6,2815,6.6,16,13,122.70,32.6,216.5
57,57,Cincinnati,13,409,236,57.7,2815,6.9,24,9,130.48,31.5,216.5
58,59,Colorado,13,435,249,57.2,2837,6.5,24,14,123.79,33.5,218.2
59,60,Iowa,14,493,265,53.8,3074,6.2,17,19,109.79,35.2,219.6
60,61,Florida International,12,372,231,62.1,2652,7.1,17,9,132.22,31.0,221.0
61,62,Navy,13,387,251,64.9,2885,7.5,16,12,134.92,29.8,221.9
62,63,Auburn,13,458,278,60.7,2894,6.3,13,14,117.04,35.2,222.6
63,64,Washington State,13,427,270,63.2,2899,6.8,13,13,124.22,32.8,223.0
64,65,LSU,12,419,236,56.3,2691,6.4,22,10,122.83,34.9,224.3
65,66,Georgia State,13,453,267,58.9,2919,6.4,19,15,120.29,34.8,224.5
66,67,East Carolina,12,376,204,54.3,2717,7.2,17,8,125.62,31.3,226.4
67,68,Washington,13,438,254,58.0,2945,6.7,11,15,115.91,33.7,226.5
68,69,Buffalo,12,385,217,56.4,2728,7.1,18,13,124.56,32.1,227.3
69,70,Southern Mississippi,14,492,271,55.1,3187,6.5,22,13,118.98,35.1,227.6
70,71,Stanford,14,473,271,57.3,3198,6.8,19,8,123.96,33.8,228.4
71,71,Charlotte,12,407,240,59.0,2741,6.7,25,10,130.90,33.9,228.4
72,73,Western Michigan,13,404,226,55.9,3024,7.5,24,10,133.47,31.1,232.6
73,74,Texas,12,382,229,59.9,2801,7.3,24,13,135.46,31.8,233.4
74,74,Tulane,12,333,203,61.0,2801,8.4,20,8,146.63,27.8,233.4
75,76,Baylor,13,442,255,57.7,3035,6.9,30,14,131.44,34.0,233.5
76,77,Michigan State,14,446,270,60.5,3274,7.3,20,15,130.27,31.9,233.9
77,77,Old Dominion,12,403,251,62.3,2807,7.0,22,8,134.83,33.6,233.9
78,79,Bowling Green,14,492,290,58.9,3296,6.7,19,20,119.82,35.1,235.4
79,80,Miami (Ohio),12,375,231,61.6,2828,7.5,20,10,137.21,31.3,235.7
80,81,Florida Atlantic,12,373,217,58.2,2840,7.6,23,14,134.98,31.1,236.7
81,82,Louisiana-Lafayette,12,361,189,52.4,2845,7.9,28,5,141.38,30.1,237.1
82,83,West Virginia,13,447,231,51.7,3091,6.9,24,23,117.20,34.4,237.8
83,84,Akron,13,478,282,59.0,3097,6.5,23,14,123.44,36.8,238.2
84,85,South Florida,13,447,251,56.2,3108,7.0,16,17,118.76,34.4,239.1
85,86,Western Kentucky,14,472,254,53.8,3355,7.1,28,17,125.90,33.7,239.6
86,87,UNLV,12,419,238,56.8,2877,6.9,19,13,123.23,34.9,239.8
87,88,Duke,13,403,223,55.3,3132,7.8,23,11,133.99,31.0,240.9
88,89,SMU,12,311,184,59.2,2892,9.3,31,10,163.73,25.9,241.0
89,90,Purdue,12,393,245,62.3,2921,7.4,24,12,138.82,32.8,243.4
90,91,Northern Illinois,14,518,299,57.7,3411,6.6,25,22,120.47,37.0,243.6
91,92,California,13,402,239,59.5,3171,7.9,21,15,135.49,30.9,243.9
92,93,New Mexico,13,379,220,58.0,3181,8.4,23,14,141.19,29.2,244.7
93,94,USC,14,457,288,63.0,3521,7.7,25,14,139.66,32.6,251.5
94,95,Oklahoma State,13,433,251,58.0,3278,7.6,21,17,129.72,33.3,252.2
95,96,Middle Tennessee,13,482,285,59.1,3295,6.8,23,17,125.25,37.1,253.5
96,97,Virginia,12,375,234,62.4,3058,8.2,26,4,151.65,31.3,254.8
97,98,Massachusetts,12,417,259,62.1,3059,7.3,22,13,134.90,34.8,254.9
