,Rank,Name,G,Attempts,Scores,Score %,TD,TD %,FG,FG %
0,1,Appalachian State,13,44,28,63.64,17,38.64,11,25.00
1,2,Toledo,12,40,27,67.50,16,40.00,11,27.50
2,3,Georgia,13,34,23,67.65,17,50.00,6,17.65
3,4,New Mexico,13,49,34,69.39,21,42.86,13,26.53
4,4,Middle Tennessee,13,49,34,69.39,26,53.06,8,16.33
5,6,Vanderbilt,12,49,35,71.43,19,38.78,16,32.65
6,7,Connecticut,13,44,32,72.73,17,38.64,15,34.09
7,8,Marshall,13,41,30,73.17,20,48.78,10,24.39
8,9,Boston College,12,30,22,73.33,10,33.33,12,40.00
9,9,Mississippi State,13,45,33,73.33,19,42.22,14,31.11
10,11,Boise State,13,34,25,73.53,17,50.00,8,23.53
11,12,Navy,13,38,28,73.68,23,60.53,5,13.16
12,13,Florida Atlantic,12,39,29,74.36,22,56.41,7,17.95
13,14,Kentucky,12,52,39,75.00,28,53.85,11,21.15
14,15,Auburn,13,53,40,75.47,27,50.94,13,24.53
15,16,Florida International,12,45,34,75.56,28,62.22,6,13.33
16,17,Tennessee,13,41,31,75.61,23,56.10,8,19.51
17,17,Louisiana-Lafayette,12,41,31,75.61,24,58.54,7,17.07
18,19,Wisconsin,13,25,19,76.00,11,44.00,8,32.00
19,20,Central Michigan,13,42,32,76.19,24,57.14,8,19.05
20,21,Charlotte,12,56,43,76.79,31,55.36,12,21.43
21,22,BYU,13,44,34,77.27,26,59.09,8,18.18
22,23,Nevada,13,53,41,77.36,28,52.83,13,24.53
23,24,Western Kentucky,14,49,38,77.55,30,61.22,8,16.33
24,25,Kent State,12,45,35,77.78,26,57.78,9,20.00
25,25,TCU,13,45,35,77.78,27,60.00,8,17.78
26,25,New Mexico State,12,54,42,77.78,33,61.11,9,16.67
27,28,Kansas,12,78,61,78.21,48,61.54,13,16.67
28,29,Northwestern,13,37,29,78.38,21,56.76,8,21.62
29,30,Temple,14,42,33,78.57,18,42.86,15,35.71
30,31,Louisiana-Monroe,13,61,48,78.69,36,59.02,12,19.67
31,32,Wake Forest,12,33,26,78.79,17,51.52,9,27.27
32,33,Oklahoma,13,43,34,79.07,23,53.49,11,25.58
33,33,Akron,13,43,34,79.07,29,67.44,5,11.63
34,35,UTSA,12,58,46,79.31,32,55.17,14,24.14
35,35,North Carolina,14,58,46,79.31,36,62.07,10,17.24
36,37,Old Dominion,12,63,50,79.37,36,57.14,14,22.22
37,38,Michigan,13,34,27,79.41,14,41.18,13,38.24
38,39,Washington,13,39,31,79.49,17,43.59,14,35.90
39,39,Florida,14,39,31,79.49,19,48.72,12,30.77
40,41,San Diego State,14,35,28,80.00,21,60.00,7,20.00
41,41,Rutgers,12,55,44,80.00,36,65.45,8,14.55
42,43,Purdue,12,61,49,80.33,39,63.93,10,16.39
43,44,Eastern Michigan,12,56,45,80.36,40,71.43,5,8.93
44,45,Notre Dame,13,41,33,80.49,27,65.85,6,14.63
45,46,Iowa,14,36,29,80.56,18,50.00,11,30.56
46,47,Ohio State,13,31,25,80.65,19,61.29,6,19.35
47,48,Virginia,12,47,38,80.85,24,51.06,14,29.79
48,49,Western Michigan,13,43,35,81.40,26,60.47,9,20.93
49,50,Washington State,13,54,44,81.48,31,57.41,13,24.07
50,51,Missouri,12,38,31,81.58,18,47.37,13,34.21
51,51,Air Force,14,38,31,81.58,20,52.63,11,28.95
52,53,Nebraska,13,49,40,81.63,28,57.14,12,24.49
53,54,Southern Mississippi,14,55,45,81.82,27,49.09,18,32.73
54,55,Troy,12,45,37,82.22,28,62.22,9,20.00
55,56,Louisville,13,34,28,82.35,19,55.88,9,26.47
56,57,Utah,13,46,38,82.61,26,56.52,12,26.09
57,57,South Carolina,12,46,38,82.61,30,65.22,8,17.39
58,59,Northern Illinois,14,52,43,82.69,23,44.23,20,38.46
59,59,Miami (Ohio),12,52,43,82.69,35,67.31,8,15.38
60,61,Florida State,13,35,29,82.86,17,48.57,12,34.29
61,62,Texas A&M,13,47,39,82.98,21,44.68,18,38.30
62,63,Alabama,15,30,25,83.33,14,46.67,11,36.67
63,63,Clemson,15,42,35,83.33,24,57.14,11,26.19
64,63,Georgia Tech,12,42,35,83.33,24,57.14,11,26.19
65,63,Bowling Green,14,54,45,83.33,31,57.41,14,25.93
66,67,UCLA,13,49,41,83.67,26,53.06,15,30.61
67,67,Indiana,13,49,41,83.67,30,61.22,11,22.45
68,69,Georgia State,13,43,36,83.72,23,53.49,13,30.23
69,70,Mississippi,13,50,42,84.00,25,50.00,17,34.00
70,71,Memphis,13,44,37,84.09,28,63.64,9,20.45
71,71,East Carolina,12,44,37,84.09,28,63.64,9,20.45
72,73,Tulane,12,51,43,84.31,36,70.59,7,13.73
73,74,Oklahoma State,13,45,38,84.44,30,66.67,8,17.78
74,74,Fresno State,12,45,38,84.44,34,75.56,4,8.89
75,76,Ball State,12,58,49,84.48,41,70.69,8,13.79
76,77,Kansas State,13,52,44,84.62,34,65.38,10,19.23
