,Rank,Name,G,Rush Yards,Pass Yards,Plays,Total Yards,Yards/Play,Yards/G
0,1,Boston College,12,998,2054,750,3052,4.07,254.3
1,2,Wisconsin,13,1240,2251,791,3491,4.41,268.5
2,3,Alabama,15,1136,3009,963,4145,4.30,276.3
3,4,Michigan,13,1589,2060,818,3649,4.46,280.7
4,5,San Diego State,14,1522,2500,863,4022,4.66,287.3
5,6,Missouri,12,1593,2031,838,3624,4.32,302.0
6,7,Georgia,13,1943,2034,835,3977,4.76,305.9
7,8,Florida,14,1793,2550,933,4343,4.65,310.2
8,9,Ohio State,13,1649,2398,899,4047,4.50,311.3
9,10,Clemson,15,1879,2816,968,4695,4.85,313.0
10,11,Appalachian State,13,1710,2378,871,4088,4.69,314.5
11,12,Boise State,13,1407,2731,851,4138,4.86,318.3
12,13,Northwestern,13,1640,2506,915,4146,4.53,318.9
13,14,Penn State,13,1963,2255,883,4218,4.78,324.5
14,15,Akron,13,1208,3097,888,4305,4.85,331.2
15,16,Central Michigan,13,1810,2509,841,4319,5.14,332.2
16,17,Utah State,13,1975,2347,891,4322,4.85,332.5
17,18,Louisville,13,1563,2763,898,4326,4.82,332.8
18,19,Florida State,13,1889,2491,936,4380,4.68,336.9
19,20,Temple,14,1790,2928,937,4718,5.04,337.0
20,21,Georgia Southern,13,1702,2693,803,4395,5.47,338.1
21,22,Iowa,14,1700,3074,962,4774,4.96,341.0
22,23,BYU,13,1870,2624,918,4494,4.90,345.7
23,24,Minnesota,13,2163,2334,917,4497,4.90,345.9
24,25,LSU,12,1475,2691,806,4166,5.17,347.2
25,26,Michigan State,14,1624,3274,895,4898,5.47,349.9
26,27,Kent State,12,1727,2474,864,4201,4.86,350.1
27,28,Vanderbilt,12,1718,2488,814,4206,5.17,350.5
28,29,North Carolina State,13,1917,2642,828,4559,5.51,350.7
29,30,Illinois,12,1997,2213,860,4210,4.90,350.8
30,31,Washington,13,1629,2945,933,4574,4.90,351.8
31,32,Air Force,14,2026,2942,870,4968,5.71,354.9
32,33,Connecticut,13,2155,2461,887,4616,5.20,355.1
33,34,San Jose State,13,2610,2051,832,4661,5.60,358.5
34,35,Marshall,13,2185,2495,997,4680,4.69,360.0
35,36,Tennessee,13,1971,2735,904,4706,5.21,362.0
36,37,Pittsburgh,13,1930,2791,829,4721,5.69,363.2
37,38,Wake Forest,12,1935,2430,784,4365,5.57,363.8
38,39,Oklahoma,13,2102,2636,989,4738,4.79,364.5
39,40,Navy,13,1859,2885,839,4744,5.65,364.9
40,41,Utah,13,1412,3356,921,4768,5.18,366.8
41,42,Georgia Tech,12,1981,2435,759,4416,5.82,368.0
42,43,Stanford,14,1958,3198,926,5156,5.57,368.3
43,44,Virginia Tech,13,2349,2459,867,4808,5.55,369.8
44,45,Notre Dame,13,2286,2559,870,4845,5.57,372.7
