,Rank,Name,G,Rush,Pass,Penalty,Total,Total/G
0,1,Baylor,13,220,144,19,383,29.5
1,2,Cincinnati,13,126,217,27,370,28.5
2,3,Texas Tech,13,141,203,24,368,28.3
3,4,Bowling Green,14,144,211,34,389,27.8
4,5,TCU,13,145,190,23,358,27.5
5,6,Oklahoma,13,143,180,29,352,27.1
6,7,Boise State,13,128,188,28,344,26.5
7,8,Clemson,15,166,197,30,393,26.2
8,8,Mississippi,13,131,182,28,341,26.2
9,8,California,13,114,201,26,341,26.2
10,11,Indiana,13,141,168,28,337,25.9
11,12,Oregon,13,173,137,24,334,25.7
12,13,Tulsa,13,123,175,34,332,25.5
13,13,Washington State,13,76,236,19,331,25.5
14,15,West Virginia,13,153,139,33,325,25.0
15,16,Western Kentucky,14,120,210,19,349,24.9
16,17,Memphis,13,125,172,25,322,24.8
17,18,Arizona,13,139,148,33,320,24.6
18,19,North Carolina,14,146,158,31,335,23.9
19,20,Duke,13,120,156,34,310,23.8
20,20,Louisiana Tech,13,109,174,26,309,23.8
21,22,Houston,14,157,149,26,332,23.7
22,22,Western Michigan,13,139,156,13,308,23.7
23,24,Oklahoma State,13,88,197,21,306,23.5
24,24,Arkansas,13,129,167,9,305,23.5
25,24,Arizona State,13,116,170,19,305,23.5
26,27,Middle Tennessee,13,124,161,17,302,23.2
27,27,Mississippi State,13,118,172,12,302,23.2
28,27,Colorado State,13,136,142,23,301,23.2
29,27,UCLA,13,120,164,17,301,23.2
30,31,Southern Mississippi,14,104,188,32,324,23.1
31,32,Idaho,12,101,146,29,276,23.0
32,33,Nebraska,13,114,160,22,296,22.8
33,33,Rice,12,123,129,21,273,22.8
34,35,Tennessee,13,150,130,13,293,22.5
35,35,Texas A&M,13,123,144,26,293,22.5
36,35,Notre Dame,13,129,143,20,292,22.5
37,38,Appalachian State,13,158,109,24,291,22.4
38,38,Colorado,13,125,145,21,291,22.4
39,40,Arkansas State,13,151,115,24,290,22.3
40,40,Toledo,12,110,138,20,268,22.3
41,42,Stanford,14,155,129,27,311,22.2
42,43,Alabama,15,158,147,25,330,22.0
43,43,USC,14,130,158,20,308,22.0
44,45,Ohio,13,125,132,28,285,21.9
45,46,San Jose State,13,127,139,17,283,21.8
46,47,East Carolina,12,86,158,16,260,21.7
47,48,Air Force,14,219,66,16,301,21.5
48,48,Ohio State,13,151,114,15,280,21.5
49,48,Marshall,13,113,142,25,280,21.5
50,48,North Carolina State,13,133,131,15,279,21.5
51,52,Michigan State,14,115,164,21,300,21.4
52,52,Iowa State,12,120,118,19,257,21.4
53,54,Texas State,12,114,124,18,256,21.3
54,54,Massachusetts,12,83,141,32,256,21.3
55,54,UNLV,12,115,116,24,255,21.3
56,57,Wisconsin,13,95,157,24,276,21.2
57,58,BYU,13,90,157,27,274,21.1
58,59,Navy,13,217,40,15,272,20.9
59,59,Louisville,13,115,136,21,272,20.9
60,59,Central Michigan,13,80,174,18,272,20.9
61,62,Ball State,12,103,123,24,250,20.8
62,62,Florida Atlantic,12,115,112,22,249,20.8
63,64,Florida State,13,107,141,20,268,20.6
64,64,Louisiana-Lafayette,12,116,108,23,247,20.6
65,66,LSU,12,140,85,21,246,20.5
66,66,SMU,12,109,109,28,246,20.5
67,66,Buffalo,12,85,143,18,246,20.5
68,69,Michigan,13,96,149,20,265,20.4
69,69,Illinois,12,83,141,21,245,20.4
70,71,Iowa,14,135,123,26,284,20.3
71,71,South Florida,13,150,95,19,264,20.3
72,71,UTSA,12,111,114,19,244,20.3
73,71,Virginia,12,83,139,21,243,20.3
74,75,Northern Illinois,14,144,125,14,283,20.2
75,75,Utah,13,136,102,25,263,20.2
76,75,Virginia Tech,13,118,123,21,262,20.2
77,78,Washington,13,108,140,13,261,20.1
78,78,Georgia State,13,70,169,22,261,20.1
79,78,New Mexico State,12,111,110,20,241,20.1
80,78,Eastern Michigan,12,100,125,16,241,20.1
81,82,Auburn,13,150,97,10,257,19.8
82,82,Wyoming,12,119,95,23,237,19.8
83,82,Purdue,12,85,127,25,237,19.8
84,85,Nevada,13,134,105,17,256,19.7
85,85,Akron,13,114,116,26,256,19.7
86,85,Rutgers,12,111,112,13,236,19.7
87,88,Pittsburgh,13,124,116,14,254,19.5
88,88,Charlotte,12,123,96,15,234,19.5
89,90,Temple,14,104,136,32,272,19.4
90,90,Utah State,13,109,118,25,252,19.4
91,90,Georgia Tech,12,153,63,17,233,19.4
92,93,Georgia Southern,13,197,38,15,250,19.2
93,93,Miami (Florida),13,79,152,18,249,19.2
94,93,Old Dominion,12,91,124,15,230,19.2
95,96,Florida International,12,85,120,22,227,18.9
96,96,Wake Forest,12,74,123,30,227,18.9
97,98,Troy,12,75,133,18,226,18.8
98,99,North Texas,12,125,83,16,224,18.7
99,100,San Diego State,14,150,85,25,260,18.6
100,101,Georgia,13,116,114,11,241,18.5
101,101,Kansas State,13,116,99,25,240,18.5
102,101,Kentucky,12,100,103,19,222,18.5
103,104,New Mexico,13,162,60,13,235,18.1
104,104,Maryland,12,105,96,16,217,18.1
105,104,South Alabama,12,101,97,19,217,18.1
106,107,South Carolina,12,97,107,12,216,18.0
107,108,Northwestern,13,112,101,18,231,17.8
108,109,Kansas,12,76,123,13,212,17.7
109,110,Minnesota,13,80,133,16,229,17.6
110,110,Oregon State,12,100,89,22,211,17.6
111,110,Vanderbilt,12,99,94,18,211,17.6
112,110,UTEP,12,87,105,19,211,17.6
113,114,Fresno State,12,90,97,20,207,17.3
114,115,Syracuse,12,99,80,25,204,17.0
115,116,Texas,12,123,69,10,202,16.8
116,117,Florida,14,96,129,9,234,16.7
117,118,Hawai'i,13,77,113,26,216,16.6
118,118,Louisiana-Monroe,13,65,127,24,216,16.6
119,118,Miami (Ohio),12,75,104,20,199,16.6
120,121,Connecticut,13,90,105,20,215,16.5
121,121,Penn State,13,83,105,26,214,16.5
122,123,Tulane,12,68,112,15,195,16.3
123,124,Army,12,145,36,13,194,16.2
124,125,UCF,12,59,110,20,189,15.8
125,126,Missouri,12,76,85,20,181,15.1
126,127,Boston College,12,96,59,19,174,14.5
127,128,Kent State,12,83,71,15,169,14.1
