,Rank,Name,G,Int.,Passes Broken Up,Passes Defended,Passes Defended/G
0,1,Alabama,15,19,80,99,6.60
1,2,Utah,13,22,66,88,6.77
2,2,Mississippi,13,15,73,88,6.77
3,4,Marshall,13,15,72,87,6.69
4,4,Northern Illinois,14,22,65,87,6.21
5,4,Houston,14,21,66,87,6.21
6,7,West Virginia,13,23,61,84,6.46
7,8,Toledo,12,12,71,83,6.92
8,9,UCLA,13,12,67,79,6.08
9,9,Iowa,14,19,60,79,5.64
10,9,North Carolina,14,17,62,79,5.64
11,12,Arkansas State,13,26,51,77,5.92
12,13,Middle Tennessee,13,17,59,76,5.85
13,14,San Diego State,14,23,52,75,5.36
14,15,Indiana,13,12,62,74,5.69
15,16,Boise State,13,22,51,73,5.62
16,16,Northwestern,13,12,61,73,5.62
17,16,Western Kentucky,14,17,56,73,5.21
18,19,Georgia State,13,15,57,72,5.54
19,19,Western Michigan,13,10,62,72,5.54
20,19,Southern Mississippi,14,13,59,72,5.14
21,22,Buffalo,12,13,58,71,5.92
22,23,Oregon,13,13,56,69,5.31
23,24,Texas Tech,13,15,53,68,5.23
24,24,Akron,13,14,54,68,5.23
25,24,Mississippi State,13,13,55,68,5.23
26,24,Louisiana Tech,13,13,55,68,5.23
27,24,Florida,14,14,54,68,4.86
28,29,Auburn,13,14,53,67,5.15
29,30,Louisville,13,17,49,66,5.08
30,30,Colorado,13,14,52,66,5.08
31,30,Wisconsin,13,12,54,66,5.08
32,30,Virginia Tech,13,10,56,66,5.08
33,30,Temple,14,16,50,66,4.71
34,35,Tennessee,13,12,53,65,5.00
35,35,Michigan,13,10,55,65,5.00
36,37,TCU,13,7,56,63,4.85
37,37,Clemson,15,16,47,63,4.20
38,39,Old Dominion,12,8,54,62,5.17
39,39,Washington,13,15,47,62,4.77
40,39,Ohio,13,12,50,62,4.77
41,42,Oklahoma,13,20,41,61,4.69
42,43,Florida Atlantic,12,14,46,60,5.00
43,43,Vanderbilt,12,6,54,60,5.00
44,43,Miami (Florida),13,15,45,60,4.62
45,43,Nebraska,13,10,50,60,4.62
46,43,Bowling Green,14,20,40,60,4.29
47,43,Michigan State,14,15,45,60,4.29
48,49,UTSA,12,14,45,59,4.92
49,49,Kentucky,12,11,48,59,4.92
50,49,Georgia Southern,13,17,42,59,4.54
51,49,Arizona State,13,15,44,59,4.54
52,49,Tulsa,13,10,49,59,4.54
53,49,Stanford,14,8,51,59,4.21
54,55,UNLV,12,13,45,58,4.83
55,55,South Florida,13,17,41,58,4.46
56,55,Ohio State,13,12,46,58,4.46
57,55,Texas A&M,13,11,47,58,4.46
58,59,Massachusetts,12,13,44,57,4.75
59,59,LSU,12,10,47,57,4.75
60,59,California,13,15,42,57,4.38
61,59,Baylor,13,14,43,57,4.38
62,59,Minnesota,13,10,47,57,4.38
63,64,Charlotte,12,10,46,56,4.67
64,64,Florida State,13,8,48,56,4.31
65,64,Air Force,14,11,45,56,4.00
66,67,Rutgers,12,13,42,55,4.58
67,67,Illinois,12,13,42,55,4.58
68,67,East Carolina,12,8,47,55,4.58
69,67,BYU,13,15,40,55,4.23
70,67,USC,14,14,41,55,3.93
71,72,Arkansas,13,11,43,54,4.15
72,73,Missouri,12,9,44,53,4.42
73,73,Louisiana-Lafayette,12,5,48,53,4.42
74,73,Nevada,13,13,40,53,4.08
75,73,Cincinnati,13,9,44,53,4.08
76,77,Appalachian State,13,18,34,52,4.00
77,77,New Mexico,13,14,38,52,4.00
78,77,Penn State,13,10,42,52,4.00
79,80,Florida International,12,9,42,51,4.25
80,80,Navy,13,12,39,51,3.92
81,82,Washington State,13,13,37,50,3.85
82,82,Pittsburgh,13,10,40,50,3.85
83,84,Kent State,12,12,37,49,4.08
84,84,Purdue,12,12,37,49,4.08
85,84,Connecticut,13,18,31,49,3.77
86,84,Oklahoma State,13,17,32,49,3.77
87,84,Memphis,13,12,37,49,3.77
88,84,Duke,13,11,38,49,3.77
89,90,Texas,12,13,35,48,4.00
90,90,Maryland,12,9,39,48,4.00
91,90,North Carolina State,13,13,35,48,3.69
92,93,Tulane,12,8,39,47,3.92
93,93,Central Michigan,13,7,40,47,3.62
94,93,Kansas State,13,5,42,47,3.62
95,96,Arizona,13,11,35,46,3.54
96,96,Utah State,13,10,36,46,3.54
97,96,Notre Dame,13,9,37,46,3.54
98,99,Fresno State,12,9,36,45,3.75
99,99,Ball State,12,7,38,45,3.75
100,99,Iowa State,12,5,40,45,3.75
101,99,Georgia,13,12,33,45,3.46
102,103,Virginia,12,4,40,44,3.67
103,103,San Jose State,13,9,35,44,3.38
104,105,Miami (Ohio),12,10,33,43,3.58
105,105,UTEP,12,5,38,43,3.58
106,105,Hawai'i,13,3,40,43,3.31
107,108,South Carolina,12,12,30,42,3.50
108,109,Boston College,12,13,28,41,3.42
109,109,Wake Forest,12,6,35,41,3.42
110,111,Syracuse,12,11,29,40,3.33
111,111,UCF,12,4,36,40,3.33
112,113,New Mexico State,12,12,26,38,3.17
113,113,SMU,12,10,28,38,3.17
114,115,Georgia Tech,12,9,28,37,3.08
115,115,Colorado State,13,8,29,37,2.85
116,117,South Alabama,12,10,26,36,3.00
117,117,Louisiana-Monroe,13,5,31,36,2.77
118,119,Kansas,12,9,26,35,2.92
119,119,Wyoming,12,5,30,35,2.92
120,121,Eastern Michigan,12,4,30,34,2.83
121,122,Army,12,6,27,33,2.75
122,122,North Texas,12,4,29,33,2.75
123,124,Rice,12,2,30,32,2.67
124,125,Idaho,12,6,25,31,2.58
125,126,Oregon State,12,8,22,30,2.50
126,127,Troy,12,6,23,29,2.42
127,128,Texas State,12,3,25,28,2.33
