,Rank,Name,G,TD,FG,1XP,2XP,Safety,Points,Points/G
0,1,Wisconsin,13,22,8,22,0,0,178,13.7
1,2,Ohio State,13,24,10,22,0,0,196,15.1
2,2,Alabama,15,26,16,21,1,0,227,15.1
3,4,Boston College,12,19,17,18,0,0,183,15.3
4,5,Missouri,12,22,14,20,0,0,194,16.2
5,6,Michigan,13,24,15,22,1,0,213,16.4
6,6,San Diego State,14,29,9,29,0,0,230,16.4
7,8,Georgia,13,26,13,23,1,0,220,16.9
8,9,Florida State,13,26,15,24,0,1,227,17.5
9,10,Marshall,13,28,12,25,1,0,231,17.8
10,11,Florida,14,30,15,29,0,1,256,18.3
11,12,Northwestern,13,30,11,27,0,1,242,18.6
12,13,Washington,13,28,17,25,0,0,244,18.8
13,14,Appalachian State,13,29,15,27,0,1,248,19.1
14,15,Connecticut,13,29,16,27,0,2,253,19.5
15,16,Tennessee,13,33,10,30,1,0,260,20.0
16,17,Temple,14,31,21,28,0,2,281,20.1
17,18,Boise State,13,33,11,32,0,0,263,20.2
18,19,Iowa,14,32,20,31,1,0,285,20.4
19,20,Houston,14,36,12,34,2,0,290,20.7
20,21,Toledo,12,28,17,24,2,1,249,20.8
21,22,Vanderbilt,12,26,23,25,0,1,252,21.0
22,23,Akron,13,37,7,36,0,0,279,21.5
23,24,Michigan State,14,39,12,34,0,0,304,21.7
24,24,Clemson,15,41,14,35,1,0,325,21.7
25,26,Navy,13,36,10,34,2,0,284,21.8
26,26,Penn State,13,37,9,35,0,0,284,21.8
27,28,Texas A&M,13,33,19,31,0,0,286,22.0
28,28,Oklahoma,13,34,17,31,0,0,286,22.0
29,28,Central Michigan,13,37,10,32,1,0,286,22.0
30,31,Utah,13,35,15,33,0,1,290,22.3
31,32,Mississippi,13,33,22,28,1,0,294,22.6
32,32,Stanford,14,36,23,29,1,0,316,22.6
33,34,BYU,13,38,11,36,0,0,297,22.8
34,35,South Florida,13,35,18,34,0,0,298,22.9
35,36,Mississippi State,13,34,21,33,1,0,302,23.2
36,37,Illinois,12,34,14,29,1,1,279,23.3
37,38,Georgia Southern,13,39,13,31,1,0,306,23.5
38,39,Louisville,13,39,13,38,0,1,313,24.1
39,39,Notre Dame,13,40,12,35,1,0,313,24.1
40,41,LSU,12,38,9,34,1,0,291,24.3
41,42,North Carolina,14,44,12,41,1,0,343,24.5
42,43,Wake Forest,12,37,12,35,1,0,295,24.6
43,43,West Virginia,13,36,23,33,1,0,320,24.6
44,45,Minnesota,13,40,16,37,1,0,327,25.2
45,46,Ohio,13,41,14,39,1,0,329,25.3
46,47,Duke,13,42,13,37,1,0,330,25.4
47,48,Air Force,14,45,15,42,0,0,357,25.5
48,49,Southern Mississippi,14,42,21,39,1,1,358,25.6
49,50,USC,14,44,18,42,0,0,360,25.7
50,51,Georgia Tech,12,38,15,32,1,1,309,25.8
51,51,North Carolina State,13,43,13,37,1,0,336,25.8
52,53,Western Kentucky,14,48,10,45,0,0,363,25.9
53,54,East Carolina,12,39,13,37,0,1,312,26.0
54,54,UCLA,13,39,21,33,2,2,338,26.0
55,54,Auburn,13,39,21,37,2,0,338,26.0
56,57,Kent State,12,40,12,35,1,0,313,26.1
