,Rank,Name,G,Punts,Yards,Avg.,Punts/G,Yards/G
0,1,Utah,13,61,2925,47.95,4.7,225.0
1,2,San Jose State,13,48,2280,47.50,3.7,175.4
2,3,Texas A&M,13,62,2936,47.35,4.8,225.8
3,4,Bowling Green,14,54,2483,45.98,3.9,177.4
4,5,Texas Tech,13,49,2235,45.61,3.8,171.9
5,6,Tennessee,13,63,2850,45.24,4.8,219.2
6,7,West Virginia,13,72,3251,45.15,5.5,250.1
7,7,Colorado State,13,53,2393,45.15,4.1,184.1
8,9,Florida State,13,62,2793,45.05,4.8,214.8
9,10,Florida Atlantic,12,56,2512,44.86,4.7,209.3
10,11,Hawai'i,13,81,3631,44.83,6.2,279.3
11,12,Florida,14,84,3765,44.82,6.0,268.9
12,13,Cincinnati,13,49,2186,44.61,3.8,168.2
13,14,UCF,12,75,3328,44.37,6.3,277.3
14,15,Memphis,13,57,2528,44.35,4.4,194.5
15,16,Notre Dame,13,57,2527,44.33,4.4,194.4
16,17,Texas State,12,65,2879,44.29,5.4,239.9
17,18,South Carolina,12,55,2434,44.25,4.6,202.8
18,19,Arizona,13,54,2389,44.24,4.2,183.8
19,20,Idaho,12,52,2296,44.15,4.3,191.3
20,21,Marshall,13,71,3121,43.96,5.5,240.1
21,22,Wake Forest,12,75,3286,43.81,6.3,273.8
22,23,Nebraska,13,61,2662,43.64,4.7,204.8
23,24,Virginia,12,54,2353,43.57,4.5,196.1
24,25,UTEP,12,69,3003,43.52,5.8,250.3
25,26,Duke,13,65,2826,43.48,5.0,217.4
26,27,Syracuse,12,67,2903,43.33,5.6,241.9
27,27,Alabama,15,72,3120,43.33,4.8,208.0
28,27,Ohio State,13,60,2600,43.33,4.6,200.0
29,30,Minnesota,13,75,3244,43.25,5.8,249.5
30,31,Rice,12,59,2544,43.12,4.9,212.0
31,32,Appalachian State,13,52,2235,42.98,4.0,171.9
32,33,Missouri,12,81,3477,42.93,6.8,289.8
33,34,Arizona State,13,77,3293,42.77,5.9,253.3
34,35,Georgia State,13,68,2908,42.76,5.2,223.7
35,36,Arkansas State,13,72,3075,42.71,5.5,236.5
36,37,South Florida,13,65,2768,42.58,5.0,212.9
37,38,Miami (Florida),13,67,2846,42.48,5.2,218.9
38,39,Michigan State,14,62,2626,42.35,4.4,187.6
39,40,Virginia Tech,13,71,3002,42.28,5.5,230.9
40,41,BYU,13,64,2697,42.14,4.9,207.5
41,42,North Texas,12,76,3200,42.11,6.3,266.7
42,43,Oklahoma,13,57,2395,42.02,4.4,184.2
43,44,Washington,13,57,2390,41.93,4.4,183.8
44,45,UNLV,12,68,2850,41.91,5.7,237.5
45,46,Massachusetts,12,66,2762,41.85,5.5,230.2
46,47,Temple,14,65,2719,41.83,4.6,194.2
47,48,North Carolina State,13,67,2799,41.78,5.2,215.3
48,49,Kansas State,13,71,2966,41.77,5.5,228.2
49,50,New Mexico,13,68,2839,41.75,5.2,218.4
50,51,Mississippi,13,52,2170,41.73,4.0,166.9
51,52,Boston College,12,92,3838,41.72,7.7,319.8
52,53,Louisiana-Lafayette,12,60,2501,41.68,5.0,208.4
53,54,Fresno State,12,68,2826,41.56,5.7,235.5
54,55,Kent State,12,93,3854,41.44,7.8,321.2
55,56,Boise State,13,54,2237,41.43,4.2,172.1
56,57,Tulsa,13,70,2897,41.39,5.4,222.8
57,58,Navy,13,42,1737,41.36,3.2,133.6
58,59,Texas,12,77,3179,41.29,6.4,264.9
59,60,East Carolina,12,64,2639,41.23,5.3,219.9
60,60,Troy,12,62,2556,41.23,5.2,213.0
61,62,Mississippi State,13,54,2226,41.22,4.2,171.2
62,63,Nevada,13,66,2719,41.20,5.1,209.2
63,64,Wyoming,12,68,2800,41.18,5.7,233.3
64,65,Pittsburgh,13,63,2589,41.10,4.8,199.2
65,66,Oregon State,12,72,2958,41.08,6.0,246.5
66,67,Indiana,13,64,2628,41.06,4.9,202.2
67,68,South Alabama,12,74,3037,41.04,6.2,253.1
68,69,Auburn,13,55,2254,40.98,4.2,173.4
69,69,Western Michigan,13,44,1803,40.98,3.4,138.7
70,71,Michigan,13,55,2245,40.82,4.2,172.7
71,72,Stanford,14,48,1959,40.81,3.4,139.9
72,73,Utah State,13,73,2974,40.74,5.6,228.8
73,74,LSU,12,58,2359,40.67,4.8,196.6
74,75,Akron,13,81,3291,40.63,6.2,253.2
75,76,Western Kentucky,14,52,2110,40.58,3.7,150.7
76,77,California,13,47,1904,40.51,3.6,146.5
77,78,Eastern Michigan,12,55,2227,40.49,4.6,185.6
78,79,Houston,14,64,2584,40.38,4.6,184.6
79,80,Buffalo,12,66,2664,40.36,5.5,222.0
80,81,San Diego State,14,77,3102,40.29,5.5,221.6
81,82,Arkansas,13,44,1772,40.27,3.4,136.3
82,83,Army,12,50,2012,40.24,4.2,167.7
83,84,Florida International,12,63,2530,40.16,5.3,210.8
84,85,Oklahoma State,13,75,3010,40.13,5.8,231.5
85,86,Baylor,13,42,1684,40.10,3.2,129.5
86,87,Illinois,12,75,3005,40.07,6.3,250.4
87,87,Georgia,13,67,2685,40.07,5.2,206.5
88,87,USC,14,67,2685,40.07,4.8,191.8
89,90,Vanderbilt,12,82,3277,39.96,6.8,273.1
90,91,Rutgers,12,62,2476,39.94,5.2,206.3
91,92,Georgia Southern,13,43,1716,39.91,3.3,132.0
92,93,Louisville,13,70,2791,39.87,5.4,214.7
93,94,Iowa,14,68,2698,39.68,4.9,192.7
94,95,New Mexico State,12,72,2854,39.64,6.0,237.8
95,95,Ball State,12,66,2616,39.64,5.5,218.0
96,97,Central Michigan,13,66,2615,39.62,5.1,201.2
97,98,Kentucky,12,63,2495,39.60,5.3,207.9
98,99,Louisiana Tech,13,56,2217,39.59,4.3,170.5
99,100,Purdue,12,67,2645,39.48,5.6,220.4
100,101,Toledo,12,45,1769,39.31,3.8,147.4
101,102,Penn State,13,81,3182,39.28,6.2,244.8
102,102,Old Dominion,12,65,2553,39.28,5.4,212.8
103,104,Wisconsin,13,71,2788,39.27,5.5,214.5
104,105,Clemson,15,69,2699,39.12,4.6,179.9
105,106,Iowa State,12,62,2424,39.10,5.2,202.0
106,107,UTSA,12,67,2609,38.94,5.6,217.4
107,107,Colorado,13,68,2648,38.94,5.2,203.7
108,109,Washington State,13,48,1861,38.77,3.7,143.2
109,110,Ohio,13,70,2710,38.71,5.4,208.5
110,111,UCLA,13,64,2477,38.70,4.9,190.5
111,112,Air Force,14,60,2316,38.60,4.3,165.4
112,113,Miami (Ohio),12,83,3181,38.33,6.9,265.1
113,114,Southern Mississippi,14,50,1915,38.30,3.6,136.8
114,115,TCU,13,68,2600,38.24,5.2,200.0
115,116,North Carolina,14,45,1718,38.18,3.2,122.7
116,117,SMU,12,67,2557,38.16,5.6,213.1
