,Rank,Name,G,Ret.,Yards,Avg.,TD,Ret./G,Yards/G
0,1,Tennessee,13,27,902,33.41,3,2.1,69.4
1,2,San Diego State,14,34,988,29.06,3,2.4,70.6
2,3,Michigan,13,28,795,28.39,1,2.2,61.2
3,4,Auburn,13,34,952,28.00,0,2.6,73.2
4,5,Marshall,13,29,800,27.59,2,2.2,61.5
5,6,South Florida,13,41,1093,26.66,1,3.2,84.1
6,7,Duke,13,38,1001,26.34,4,2.9,77.0
7,8,North Carolina State,13,41,1053,25.68,1,3.2,81.0
8,9,Utah State,13,33,846,25.64,1,2.5,65.1
9,10,West Virginia,13,32,820,25.63,1,2.5,63.1
10,11,Ball State,12,50,1275,25.50,1,4.2,106.3
11,12,Kansas State,13,50,1268,25.36,4,3.8,97.5
12,13,Arkansas State,13,44,1112,25.27,2,3.4,85.5
13,14,Boston College,12,32,806,25.19,0,2.7,67.2
14,15,Oregon,13,58,1459,25.16,1,4.5,112.2
15,16,Colorado State,13,34,852,25.06,1,2.6,65.5
16,16,Northwestern,13,32,802,25.06,2,2.5,61.7
17,18,Florida State,13,25,624,24.96,0,1.9,48.0
18,19,Pittsburgh,13,41,1017,24.80,2,3.2,78.2
19,20,Georgia Southern,13,41,1012,24.68,0,3.2,77.8
20,21,TCU,13,35,857,24.49,0,2.7,65.9
21,22,Northern Illinois,14,55,1340,24.36,2,3.9,95.7
22,23,Stanford,14,52,1265,24.33,1,3.7,90.4
23,24,Nevada,13,31,752,24.26,1,2.4,57.8
24,25,Navy,13,32,775,24.22,0,2.5,59.6
25,26,South Alabama,12,40,967,24.18,1,3.3,80.6
26,27,Ohio State,13,17,410,24.12,0,1.3,31.5
27,28,Houston,14,33,777,23.55,2,2.4,55.5
28,29,Wyoming,12,33,776,23.52,0,2.8,64.7
29,30,South Carolina,12,34,796,23.41,1,2.8,66.3
30,31,Southern Mississippi,14,42,978,23.29,1,3.0,69.9
31,32,San Jose State,13,31,712,22.97,0,2.4,54.8
32,33,UCF,12,65,1492,22.95,0,5.4,124.3
33,34,New Mexico,13,38,871,22.92,1,2.9,67.0
34,35,Arizona State,13,54,1237,22.91,1,4.2,95.2
35,36,Arizona,13,32,729,22.78,0,2.5,56.1
36,37,Iowa,14,35,797,22.77,0,2.5,56.9
37,38,UCLA,13,49,1103,22.51,0,3.8,84.8
38,39,Memphis,13,44,990,22.50,0,3.4,76.2
39,39,Baylor,13,30,675,22.50,0,2.3,51.9
40,41,Georgia State,13,39,877,22.49,1,3.0,67.5
41,42,Virginia Tech,13,34,757,22.26,0,2.6,58.2
42,43,SMU,12,56,1246,22.25,1,4.7,103.8
43,44,Penn State,13,43,942,21.91,0,3.3,72.5
44,44,Colorado,13,34,745,21.91,0,2.6,57.3
45,46,Utah,13,20,438,21.90,1,1.5,33.7
46,47,Kentucky,12,30,653,21.77,0,2.5,54.4
47,48,Western Michigan,13,51,1107,21.71,1,3.9,85.2
48,49,Alabama,15,37,803,21.70,1,2.5,53.5
49,50,Toledo,12,41,888,21.66,0,3.4,74.0
50,51,Maryland,12,48,1039,21.65,1,4.0,86.6
51,52,Clemson,15,40,865,21.63,0,2.7,57.7
52,53,Middle Tennessee,13,44,947,21.52,0,3.4,72.8
53,54,Mississippi State,13,36,773,21.47,1,2.8,59.5
54,55,Oklahoma,13,33,708,21.45,0,2.5,54.5
55,56,Rutgers,12,51,1093,21.43,3,4.3,91.1
56,57,BYU,13,34,727,21.38,0,2.6,55.9
57,58,Rice,12,41,876,21.37,0,3.4,73.0
58,59,Hawai'i,13,53,1130,21.32,1,4.1,86.9
59,60,Michigan State,14,23,488,21.22,0,1.6,34.9
60,61,Notre Dame,13,39,825,21.15,1,3.0,63.5
61,62,Old Dominion,12,45,951,21.13,0,3.8,79.3
62,63,Appalachian State,13,37,781,21.11,0,2.8,60.1
63,64,Western Kentucky,14,39,823,21.10,1,2.8,58.8
64,65,UNLV,12,34,717,21.09,0,2.8,59.8
65,66,Syracuse,12,39,822,21.08,0,3.3,68.5
66,67,Florida,14,33,693,21.00,0,2.4,49.5
67,67,Boise State,13,29,609,21.00,0,2.2,46.8
68,69,North Texas,12,52,1090,20.96,0,4.3,90.8
69,70,Air Force,14,32,669,20.91,0,2.3,47.8
70,71,Temple,14,39,810,20.77,1,2.8,57.9
71,72,UTSA,12,70,1453,20.76,0,5.8,121.1
72,73,California,13,43,892,20.74,0,3.3,68.6
73,74,North Carolina,14,32,663,20.72,0,2.3,47.4
74,75,Oklahoma State,13,42,868,20.67,0,3.2,66.8
75,76,Oregon State,12,50,1033,20.66,1,4.2,86.1
76,77,Massachusetts,12,58,1196,20.62,1,4.8,99.7
77,78,Arkansas,13,38,782,20.58,0,2.9,60.2
78,79,Washington State,13,38,781,20.55,0,2.9,60.1
79,80,Texas Tech,13,55,1129,20.53,2,4.2,86.8
80,81,Florida International,12,49,1003,20.47,0,4.1,83.6
81,82,LSU,12,35,714,20.40,0,2.9,59.5
82,83,Fresno State,12,50,1015,20.30,0,4.2,84.6
83,84,Kansas,12,54,1094,20.26,1,4.5,91.2
84,84,Louisiana Tech,13,54,1094,20.26,0,4.2,84.2
85,86,Washington,13,35,708,20.23,0,2.7,54.5
