,Rank,Name,G,TFL,TFL Yards,TFL/G
0,1,Toledo,12,40.0,106,3.33
1,2,Ball State,12,47.0,145,3.92
2,3,Georgia,13,50.0,201,3.85
3,4,Air Force,14,52.0,169,3.71
4,5,Duke,13,53.0,166,4.08
5,6,Navy,13,55.0,183,4.23
6,7,Buffalo,12,56.0,215,4.67
7,8,Miami (Florida),13,57.0,253,4.39
8,9,North Carolina,14,58.0,222,4.14
9,9,Idaho,12,58.0,242,4.83
10,11,Oregon State,12,59.0,223,4.92
11,12,Colorado State,13,60.0,191,4.62
12,12,Arkansas,13,60.0,195,4.62
13,12,Minnesota,13,60.0,198,4.62
14,12,Louisiana-Lafayette,12,60.0,247,5.00
15,16,Middle Tennessee,13,61.0,246,4.69
16,16,Hawai'i,13,61.0,279,4.69
17,18,Baylor,13,62.0,184,4.77
18,18,Stanford,14,62.0,196,4.43
19,20,Marshall,13,64.0,228,4.92
20,20,Ohio,13,64.0,279,4.92
21,22,Michigan,13,65.0,215,5.00
22,22,Auburn,13,65.0,254,5.00
23,22,Florida International,12,65.0,261,5.42
24,22,Pittsburgh,13,65.0,290,5.00
25,22,Rutgers,12,65.0,293,5.42
26,27,Purdue,12,66.0,242,5.50
27,27,LSU,12,66.0,262,5.50
28,27,Southern Mississippi,14,66.0,295,4.71
29,27,California,13,66.0,320,5.08
30,31,Indiana,13,67.0,217,5.15
31,31,Illinois,12,67.0,284,5.58
32,33,Western Michigan,13,68.0,242,5.23
33,33,Western Kentucky,14,68.0,262,4.86
34,33,Texas Tech,13,68.0,281,5.23
35,33,Nebraska,13,68.0,285,5.23
36,37,South Carolina,12,69.0,264,5.75
37,38,Ohio State,13,70.0,237,5.39
38,38,Cincinnati,13,70.0,245,5.39
39,38,Georgia Southern,13,70.0,249,5.39
40,38,Michigan State,14,70.0,261,5.00
41,38,Vanderbilt,12,70.0,262,5.83
42,38,Nevada,13,70.0,272,5.39
43,38,BYU,13,70.0,308,5.39
44,45,TCU,13,71.0,193,5.46
45,45,Clemson,15,71.0,234,4.73
46,45,Louisiana Tech,13,71.0,243,5.46
47,45,Mississippi State,13,71.0,281,5.46
48,45,Tulane,12,71.0,291,5.92
49,45,Florida State,13,71.0,333,5.46
50,51,UCF,12,72.0,274,6.00
51,51,Mississippi,13,72.0,283,5.54
52,51,Florida Atlantic,12,72.0,301,6.00
53,54,UTEP,12,73.0,215,6.08
54,54,Memphis,13,73.0,293,5.62
55,56,New Mexico,13,74.0,255,5.69
56,56,Wisconsin,13,74.0,284,5.69
57,58,Virginia,12,75.0,255,6.25
58,58,Bowling Green,14,75.0,313,5.36
59,60,Appalachian State,13,76.0,222,5.85
60,60,Akron,13,76.0,257,5.85
61,60,Texas State,12,76.0,263,6.33
62,60,Georgia State,13,76.0,299,5.85
63,60,Georgia Tech,12,76.0,300,6.33
64,60,Rice,12,76.0,325,6.33
65,60,Wyoming,12,76.0,346,6.33
66,60,Texas A&M,13,76.0,347,5.85
67,60,North Texas,12,76.0,380,6.33
68,69,San Diego State,14,77.0,243,5.50
69,69,South Florida,13,77.0,247,5.92
70,69,Arizona,13,77.0,259,5.92
71,69,Iowa State,12,77.0,297,6.42
72,69,Tulsa,13,77.0,368,5.92
73,74,UCLA,13,79.0,264,6.08
74,74,Army,12,79.0,268,6.58
75,74,Houston,14,79.0,286,5.64
76,74,Massachusetts,12,79.0,291,6.58
77,78,Old Dominion,12,80.0,269,6.67
78,78,Washington State,13,80.0,408,6.15
79,80,Utah State,13,81.0,289,6.23
80,80,Washington,13,81.0,330,6.23
81,80,Iowa,14,81.0,337,5.79
82,83,Troy,12,82.0,304,6.83
