,Rank,Name,G,Kicks/Punts Blocked,Kicks/Punts Blocked/G
0,1,Temple,14,7,0.50
1,2,BYU,13,6,0.46
2,2,Alabama,15,6,0.40
3,4,Illinois,12,5,0.42
4,4,Miami (Ohio),12,5,0.42
5,4,Pittsburgh,13,5,0.38
6,7,Army,12,4,0.33
7,7,Louisiana-Lafayette,12,4,0.33
8,7,Purdue,12,4,0.33
9,7,Missouri,12,4,0.33
10,7,SMU,12,4,0.33
11,7,Oregon State,12,4,0.33
12,7,Florida International,12,4,0.33
13,7,Utah State,13,4,0.31
14,7,Kansas State,13,4,0.31
15,7,Mississippi State,13,4,0.31
16,7,Indiana,13,4,0.31
17,7,Georgia Southern,13,4,0.31
18,7,Arkansas State,13,4,0.31
19,7,Louisiana Tech,13,4,0.31
20,7,Central Michigan,13,4,0.31
21,7,Memphis,13,4,0.31
22,23,Rice,12,3,0.25
23,23,Boston College,12,3,0.25
24,23,Toledo,12,3,0.25
25,23,Georgia Tech,12,3,0.25
26,23,South Alabama,12,3,0.25
27,23,California,13,3,0.23
28,23,Colorado State,13,3,0.23
29,23,Mississippi,13,3,0.23
30,23,Baylor,13,3,0.23
31,23,Louisiana-Monroe,13,3,0.23
32,23,Georgia,13,3,0.23
33,23,Oklahoma State,13,3,0.23
34,23,San Jose State,13,3,0.23
35,23,Washington,13,3,0.23
36,23,Washington State,13,3,0.23
37,23,Ohio State,13,3,0.23
38,23,Northern Illinois,14,3,0.21
39,23,Air Force,14,3,0.21
40,23,Michigan State,14,3,0.21
41,23,Clemson,15,3,0.20
42,43,UNLV,12,2,0.17
43,43,Rutgers,12,2,0.17
44,43,Wake Forest,12,2,0.17
45,43,Kent State,12,2,0.17
46,43,Vanderbilt,12,2,0.17
47,43,Kentucky,12,2,0.17
48,43,Charlotte,12,2,0.17
49,43,Kansas,12,2,0.17
50,43,UTEP,12,2,0.17
51,43,Ball State,12,2,0.17
52,43,North Texas,12,2,0.17
53,43,Wyoming,12,2,0.17
54,43,UCF,12,2,0.17
55,43,Old Dominion,12,2,0.17
56,43,New Mexico State,12,2,0.17
57,43,East Carolina,12,2,0.17
58,43,Nebraska,13,2,0.15
59,43,Virginia Tech,13,2,0.15
60,43,Tennessee,13,2,0.15
61,43,Texas A&M,13,2,0.15
62,43,Utah,13,2,0.15
63,43,Connecticut,13,2,0.15
64,43,Boise State,13,2,0.15
65,43,Hawai'i,13,2,0.15
66,43,North Carolina State,13,2,0.15
67,43,Arizona State,13,2,0.15
68,43,Middle Tennessee,13,2,0.15
69,43,Arkansas,13,2,0.15
70,43,Akron,13,2,0.15
71,43,Oregon,13,2,0.15
72,43,Notre Dame,13,2,0.15
73,43,North Carolina,14,2,0.14
74,43,Houston,14,2,0.14
75,43,Iowa,14,2,0.14
76,43,Southern Mississippi,14,2,0.14
77,43,USC,14,2,0.14
78,79,Florida Atlantic,12,1,0.08
79,79,Nevada,13,1,0.08
80,79,Northwestern,13,1,0.08
81,79,TCU,13,1,0.08
82,79,Navy,13,1,0.08
83,79,Colorado,13,1,0.08
84,79,Troy,12,1,0.08
85,79,Tulane,12,1,0.08
86,79,Auburn,13,1,0.08
87,79,Marshall,13,1,0.08
88,79,Cincinnati,13,1,0.08
89,79,Texas Tech,13,1,0.08
90,79,UTSA,12,1,0.08
91,79,Appalachian State,13,1,0.08
92,79,Arizona,13,1,0.08
93,79,Georgia State,13,1,0.08
94,79,Penn State,13,1,0.08
95,79,Western Michigan,13,1,0.08
96,79,Oklahoma,13,1,0.08
97,79,Duke,13,1,0.08
98,79,UCLA,13,1,0.08
99,79,New Mexico,13,1,0.08
100,79,Florida State,13,1,0.08
101,79,Ohio,13,1,0.08
102,79,Fresno State,12,1,0.08
103,79,San Diego State,14,1,0.07
104,79,Stanford,14,1,0.07
