,Rank,Name,G,Ret.,Yards,Avg.,TD,Ret./G,Yards/G
102,103,Michigan,13,15,172,11.47,1,1.2,13.2
103,103,Rutgers,12,15,172,11.47,0,1.3,14.3
104,105,Nebraska,13,18,207,11.50,0,1.4,15.9
105,106,Louisiana Tech,13,16,185,11.56,0,1.2,14.2
106,107,Illinois,12,25,297,11.88,1,2.1,24.8
107,108,Arizona State,13,22,267,12.14,1,1.7,20.5
108,109,Miami (Florida),13,18,222,12.33,1,1.4,17.1
109,110,BYU,13,21,260,12.38,1,1.6,20.0
110,110,Texas Tech,13,24,297,12.38,1,1.8,22.8
111,112,Auburn,13,7,87,12.43,1,0.5,6.7
112,113,Nevada,13,16,199,12.44,0,1.2,15.3
113,114,Mississippi State,13,10,125,12.50,1,0.8,9.6
114,115,Michigan State,14,21,269,12.81,2,1.5,19.2
115,116,Tulane,12,26,340,13.08,2,2.2,28.3
116,117,Fresno State,12,17,230,13.53,3,1.4,19.2
117,118,Iowa,14,13,180,13.85,2,0.9,12.9
118,119,USC,14,17,236,13.88,1,1.2,16.9
119,120,UNLV,12,13,182,14.00,1,1.1,15.2
120,120,South Alabama,12,31,434,14.00,0,2.6,36.2
121,122,Georgia State,13,21,295,14.05,2,1.6,22.7
122,123,Washington State,13,14,203,14.50,2,1.1,15.6
123,124,Vanderbilt,12,31,468,15.10,2,2.6,39.0
124,125,Oregon,13,18,275,15.28,3,1.4,21.2
125,126,Navy,13,11,174,15.82,0,0.8,13.4
126,127,Bowling Green,14,15,270,18.00,1,1.1,19.3
127,128,LSU,12,11,208,18.91,1,0.9,17.3
