,Rank,Name,G,Kickoffs,Yards,Avg.,Touchback,Touchback %,Out-Of-Bounds,Onside
0,1,UCLA,13,84,5422,64.55,59,70.24,0,0
1,2,Memphis,13,99,6373,64.37,74,74.75,3,1
2,3,Arizona State,13,88,5650,64.20,66,75.00,2,0
3,4,Mississippi,13,95,6094,64.15,54,56.84,1,1
4,5,SMU,12,61,3906,64.03,42,68.85,0,3
5,6,Hawai'i,13,46,2942,63.96,21,45.65,0,3
6,7,UTEP,12,55,3517,63.95,31,56.36,0,1
7,8,New Mexico,13,72,4603,63.93,50,69.44,1,1
8,9,Oregon,13,98,6248,63.76,62,63.27,0,0
9,10,UTSA,12,56,3559,63.55,25,44.64,1,1
10,11,Auburn,13,70,4446,63.51,49,70.00,3,2
11,12,Texas State,12,62,3936,63.48,43,69.35,1,2
12,13,Florida,14,65,4125,63.46,35,53.85,4,0
13,14,Oklahoma,13,102,6472,63.45,52,50.98,0,0
14,15,Iowa,14,83,5256,63.33,47,56.63,0,1
15,16,Georgia Tech,12,62,3925,63.31,41,66.13,0,4
16,17,Tulane,12,51,3228,63.29,22,43.14,2,2
17,18,Virginia Tech,13,76,4807,63.25,51,67.11,0,2
18,19,Alabama,15,101,6379,63.16,55,54.46,2,2
19,20,South Carolina,12,59,3726,63.15,42,71.19,1,1
20,21,Virginia,12,62,3914,63.13,30,48.39,2,2
21,22,Pittsburgh,13,69,4354,63.10,43,62.32,0,3
22,23,Texas,12,63,3973,63.06,47,74.60,3,3
23,24,Utah State,13,71,4473,63.00,39,54.93,2,1
24,25,Rice,12,59,3713,62.93,27,45.76,1,1
25,26,Florida Atlantic,12,62,3901,62.92,33,53.23,1,0
26,27,San Diego State,14,86,5407,62.87,24,27.91,4,0
27,28,Indiana,13,91,5720,62.86,52,57.14,2,2
28,29,Cincinnati,13,86,5405,62.85,31,36.05,3,1
29,30,Missouri,12,44,2763,62.80,18,40.91,1,0
30,31,Texas Tech,13,107,6719,62.79,58,54.21,4,0
31,32,Florida State,13,84,5273,62.77,47,55.95,4,0
32,33,North Carolina,14,103,6463,62.75,55,53.40,4,3
