,Rank,Name,G,Attempts,Conversions,Conversion %
0,1,Texas Tech,13,203,105,51.72
1,2,Cincinnati,13,196,100,51.02
2,3,Houston,14,232,117,50.43
3,4,Navy,13,177,89,50.28
4,5,Bowling Green,14,209,105,50.24
5,6,Stanford,14,182,91,50.00
6,7,Rice,12,189,94,49.74
7,8,Memphis,13,207,101,48.79
8,9,North Carolina,14,164,80,48.78
9,10,Michigan State,14,204,99,48.53
10,11,Western Kentucky,14,184,88,47.83
11,12,San Jose State,13,182,87,47.80
12,13,Clemson,15,230,109,47.39
13,14,California,13,179,84,46.93
14,15,Arkansas,13,160,75,46.88
15,16,Baylor,13,195,91,46.67
16,17,Toledo,12,186,86,46.24
17,17,Michigan,13,186,86,46.24
18,19,Southern Mississippi,14,208,96,46.15
19,20,Colorado State,13,187,86,45.99
20,21,Tennessee,13,211,97,45.97
21,22,Western Michigan,13,172,79,45.93
22,23,UCLA,13,195,88,45.13
23,24,Nebraska,13,180,81,45.00
24,25,Army,12,158,70,44.30
25,26,Tulsa,13,227,100,44.05
26,27,Pittsburgh,13,180,79,43.89
27,28,Central Michigan,13,192,84,43.75
28,29,Oklahoma,13,181,79,43.65
29,30,Georgia State,13,186,81,43.55
30,31,Oklahoma State,13,193,84,43.52
31,32,TCU,13,198,86,43.43
32,33,Air Force,14,194,84,43.30
33,34,Duke,13,215,93,43.26
34,35,East Carolina,12,186,80,43.01
35,36,Mississippi State,13,175,75,42.86
36,37,Appalachian State,13,169,72,42.60
37,38,Virginia,12,174,74,42.53
38,39,Notre Dame,13,160,68,42.50
39,40,Florida International,12,179,76,42.46
40,41,Texas A&M,13,208,88,42.31
41,42,Middle Tennessee,13,197,83,42.13
42,43,San Diego State,14,204,85,41.67
43,43,Iowa,14,192,80,41.67
44,43,Georgia Southern,13,180,75,41.67
45,46,Idaho,12,183,76,41.53
46,47,Mississippi,13,169,70,41.42
47,48,Boise State,13,208,86,41.35
48,49,Temple,14,211,87,41.23
49,50,North Carolina State,13,197,81,41.12
50,51,Arizona State,13,229,94,41.05
51,52,Auburn,13,178,73,41.01
52,53,Utah,13,200,82,41.00
53,54,Northwestern,13,230,94,40.87
54,55,Wisconsin,13,184,75,40.76
55,56,Arizona,13,189,77,40.74
56,57,Ohio State,13,172,70,40.70
57,58,UTSA,12,185,75,40.54
58,59,Washington State,13,190,77,40.53
59,60,Ohio,13,196,79,40.31
60,61,Iowa State,12,194,78,40.21
61,62,BYU,13,182,73,40.11
62,63,LSU,12,148,59,39.86
63,64,UTEP,12,200,79,39.50
64,65,SMU,12,180,71,39.44
65,66,Marshall,13,198,78,39.39
66,67,West Virginia,13,206,81,39.32
67,68,USC,14,189,74,39.15
68,69,Kansas State,13,179,70,39.11
69,69,Oregon,13,179,70,39.11
70,71,Nevada,13,177,69,38.98
71,72,Minnesota,13,193,75,38.86
72,73,Louisiana Tech,13,165,64,38.79
73,74,Arkansas State,13,192,74,38.54
74,75,Virginia Tech,13,193,74,38.34
75,76,Eastern Michigan,12,167,64,38.32
76,77,Ball State,12,199,76,38.19
77,78,Florida State,13,160,61,38.13
78,79,Indiana,13,202,77,38.12
79,79,Louisville,13,181,69,38.12
80,81,New Mexico,13,184,70,38.04
81,82,Washington,13,169,64,37.87
82,83,Northern Illinois,14,224,84,37.50
83,83,Louisiana-Lafayette,12,176,66,37.50
84,85,Kentucky,12,179,67,37.43
85,86,Alabama,15,214,80,37.38
86,87,Fresno State,12,185,69,37.30
87,88,Vanderbilt,12,204,76,37.25
88,89,South Florida,13,178,66,37.08
89,90,Akron,13,199,73,36.68
90,91,Buffalo,12,186,68,36.56
91,92,Kansas,12,208,76,36.54
92,92,Rutgers,12,156,57,36.54
93,94,Florida,14,206,75,36.41
94,94,Texas State,12,184,67,36.41
95,96,Illinois,12,204,74,36.27
96,97,Colorado,13,208,75,36.06
97,98,UNLV,12,172,62,36.05
98,99,Utah State,13,184,66,35.87
99,100,New Mexico State,12,200,71,35.50
100,101,Texas,12,172,61,35.47
101,102,South Carolina,12,164,58,35.37
102,103,Old Dominion,12,176,62,35.23
103,104,Troy,12,168,59,35.12
104,105,Wake Forest,12,188,66,35.11
105,106,Purdue,12,200,70,35.00
106,107,Miami (Florida),13,183,64,34.97
107,108,Georgia Tech,12,149,52,34.90
108,109,South Alabama,12,184,64,34.78
109,109,Massachusetts,12,184,64,34.78
110,111,Tulane,12,182,63,34.62
111,112,Charlotte,12,208,71,34.13
112,113,Syracuse,12,164,55,33.54
113,114,Wyoming,12,156,52,33.33
114,115,Florida Atlantic,12,184,61,33.15
115,116,North Texas,12,181,59,32.60
116,117,Connecticut,13,179,57,31.84
117,118,Oregon State,12,164,52,31.71
118,119,Miami (Ohio),12,186,58,31.18
119,120,Georgia,13,158,49,31.01
120,121,Hawai'i,13,179,55,30.73
121,122,Missouri,12,178,54,30.34
122,123,Louisiana-Monroe,13,212,63,29.72
123,124,Maryland,12,171,50,29.24
124,124,UCF,12,171,50,29.24
125,126,Penn State,13,185,51,27.57
126,127,Boston College,12,172,46,26.74
127,128,Kent State,12,185,47,25.41
