,Rank,Name,G,Total Time,Time/G
0,1,Stanford,14,487:11,34:47.93
1,2,Western Michigan,13,449:13,34:33.31
2,3,Arkansas,13,447:04,34:23.38
3,4,Georgia Southern,13,441:55,33:59.62
4,5,Wisconsin,13,440:10,33:51.54
5,6,UTEP,12,403:45,33:38.75
6,7,Rice,12,403:42,33:38.50
7,8,Alabama,15,503:50,33:35.33
8,9,Michigan,13,435:01,33:27.77
9,10,San Jose State,13,430:37,33:07.46
10,11,North Carolina State,13,429:42,33:03.23
11,12,Navy,13,428:22,32:57.08
12,13,Central Michigan,13,428:19,32:56.85
13,14,Temple,14,461:00,32:55.71
14,15,Michigan State,14,460:03,32:51.64
15,16,Akron,13,426:40,32:49.23
16,17,San Diego State,14,458:09,32:43.50
17,18,Utah,13,425:23,32:43.31
18,19,Virginia,12,392:18,32:41.50
19,20,Nebraska,13,421:06,32:23.54
20,21,Air Force,14,452:49,32:20.64
21,22,Ohio,13,419:34,32:16.46
22,23,Army,12,387:04,32:15.33
23,24,Kansas State,13,417:48,32:08.31
24,25,Vanderbilt,12,385:28,32:07.33
25,26,Clemson,15,479:03,31:56.20
26,27,Boise State,13,413:43,31:49.46
27,28,Idaho,12,380:38,31:43.17
28,29,Pittsburgh,13,412:14,31:42.62
29,30,Iowa,14,442:51,31:37.93
30,31,Iowa State,12,378:24,31:32.00
31,32,Arizona State,13,409:26,31:29.69
32,33,Virginia Tech,13,408:50,31:26.92
33,34,Appalachian State,13,408:05,31:23.46
34,35,TCU,13,407:44,31:21.85
35,36,LSU,12,376:01,31:20.08
36,37,Houston,14,438:34,31:19.57
37,38,SMU,12,374:25,31:12.08
38,39,Wake Forest,12,373:47,31:08.92
39,40,Rutgers,12,373:37,31:08.08
40,40,Georgia Tech,12,373:37,31:08.08
41,42,New Mexico,13,404:42,31:07.85
42,43,UNLV,12,373:03,31:05.25
43,44,Buffalo,12,372:55,31:04.58
44,45,Colorado,13,403:37,31:02.85
45,46,Florida,14,433:38,30:58.43
46,47,Cincinnati,13,401:24,30:52.62
47,48,Connecticut,13,400:44,30:49.54
48,49,Oklahoma,13,399:01,30:41.62
49,50,Louisiana Tech,13,397:51,30:36.23
50,51,Tennessee,13,397:00,30:32.31
51,52,Arkansas State,13,395:48,30:26.77
52,53,Memphis,13,394:33,30:21.00
53,54,Southern Mississippi,14,424:39,30:19.93
54,55,Colorado State,13,393:37,30:16.69
55,56,Wyoming,12,362:45,30:13.75
56,57,Washington State,13,392:49,30:13.00
57,58,Florida International,12,362:31,30:12.58
58,59,Western Kentucky,14,422:39,30:11.36
59,60,Louisiana-Lafayette,12,361:27,30:07.25
60,61,Marshall,13,391:13,30:05.62
61,62,Nevada,13,390:07,30:00.54
62,63,Washington,13,389:56,29:59.69
63,64,Miami (Florida),13,388:57,29:55.15
64,65,Boston College,12,358:58,29:54.83
65,66,Middle Tennessee,13,388:44,29:54.15
66,67,Northwestern,13,387:25,29:48.08
67,68,Illinois,12,356:21,29:41.75
68,69,Notre Dame,13,385:23,29:38.69
69,70,Toledo,12,354:31,29:32.58
70,71,Penn State,13,383:29,29:29.92
71,72,Louisville,13,383:14,29:28.77
72,73,Oklahoma State,13,383:12,29:28.62
73,74,Florida State,13,382:29,29:25.31
74,75,West Virginia,13,381:58,29:22.92
75,76,Syracuse,12,351:34,29:17.83
76,77,Kentucky,12,351:21,29:16.75
77,78,Ohio State,13,380:27,29:15.92
78,79,USC,14,409:14,29:13.86
79,80,Indiana,13,379:03,29:09.46
80,81,Georgia,13,378:50,29:08.46
81,82,California,13,377:54,29:04.15
82,83,Georgia State,13,377:32,29:02.46
83,84,Minnesota,13,377:00,29:00.00
84,85,Texas State,12,347:25,28:57.08
85,86,Florida Atlantic,12,347:08,28:55.67
86,87,Utah State,13,374:31,28:48.54
87,88,BYU,13,374:16,28:47.38
88,89,Miami (Ohio),12,344:35,28:42.92
89,90,Duke,13,372:47,28:40.54
90,91,Ball State,12,343:22,28:36.83
91,92,UTSA,12,342:37,28:33.08
92,93,South Carolina,12,341:52,28:29.33
93,94,South Alabama,12,340:36,28:23.00
94,95,Auburn,13,368:43,28:21.77
95,96,Charlotte,12,340:11,28:20.92
96,97,Kansas,12,340:09,28:20.75
97,98,Tulane,12,339:56,28:19.67
98,99,South Florida,13,366:58,28:13.69
99,100,Texas A&M,13,366:43,28:12.54
100,101,East Carolina,12,337:20,28:06.67
101,102,Kent State,12,337:16,28:06.33
102,103,New Mexico State,12,336:48,28:04.00
103,104,Bowling Green,14,390:56,27:55.43
104,105,Louisiana-Monroe,13,362:50,27:54.62
105,106,Texas Tech,13,362:41,27:53.92
106,107,Purdue,12,334:28,27:52.33
107,108,Baylor,13,362:13,27:51.77
108,109,Old Dominion,12,333:54,27:49.50
109,110,Tulsa,13,360:32,27:44.00
110,111,Maryland,12,331:16,27:36.33
111,112,UCF,12,331:09,27:35.75
112,113,Oregon,13,354:20,27:15.38
113,114,Fresno State,12,326:28,27:12.33
114,115,Texas,12,325:26,27:07.17
115,116,Eastern Michigan,12,324:49,27:04.08
116,117,Missouri,12,324:24,27:02.00
117,118,Massachusetts,12,323:49,26:59.08
118,119,North Texas,12,319:15,26:36.25
119,120,Mississippi,13,344:51,26:31.62
120,121,Northern Illinois,14,369:48,26:24.86
121,122,Arizona,13,342:01,26:18.54
122,123,Mississippi State,13,341:40,26:16.92
123,124,Oregon State,12,314:29,26:12.42
124,125,Troy,12,314:28,26:12.33
125,126,UCLA,13,337:03,25:55.62
126,127,North Carolina,14,353:49,25:16.36
127,128,Hawai'i,13,305:33,23:30.23
