,Rank,Name,G,TD,FG,1XP,2XP,Safety,Points,Points/G
0,1,Baylor,13,86,8,83,1,0,625,48.1
1,2,Texas Tech,13,77,16,72,2,0,586,45.1
2,3,Western Kentucky,14,82,15,79,2,0,620,44.3
3,4,Oklahoma,13,73,19,71,0,0,566,43.5
4,5,Oregon,13,71,22,67,0,0,559,43.0
5,6,Bowling Green,14,82,8,75,0,0,591,42.2
6,7,TCU,13,69,21,60,3,2,547,42.1
7,8,Mississippi,13,68,19,66,0,0,531,40.8
8,9,North Carolina,14,73,20,68,2,0,570,40.7
9,10,Houston,14,75,13,75,0,1,566,40.4
10,11,Memphis,13,64,23,63,1,2,522,40.2
11,12,Arkansas State,13,69,13,63,2,0,520,40.0
12,13,Southern Mississippi,14,75,13,70,0,0,559,39.9
13,14,Oklahoma State,13,67,16,62,0,1,514,39.5
14,15,Boise State,13,62,25,59,0,1,508,39.1
15,16,Clemson,15,71,28,65,0,1,577,38.5
16,17,California,13,63,18,53,4,0,493,37.9
17,18,Stanford,14,68,18,67,0,0,529,37.8
18,19,Louisiana Tech,13,60,22,60,0,1,488,37.5
19,20,Arizona,13,62,18,60,0,0,486,37.4
20,21,Tulsa,13,62,17,58,1,0,483,37.2
21,22,Navy,13,63,13,59,0,1,478,36.8
22,23,Appalachian State,13,62,14,61,0,1,477,36.7
23,24,Indiana,13,58,24,53,1,0,475,36.5
24,24,Georgia Southern,13,61,15,59,1,1,474,36.5
25,26,Western Michigan,13,60,17,53,2,0,468,36.0
26,27,Arkansas,13,62,9,58,4,1,467,35.9
27,28,Ohio State,13,62,10,62,0,0,464,35.7
28,29,Tennessee,13,56,21,56,0,1,457,35.2
29,30,Alabama,15,65,23,63,0,2,526,35.1
30,31,Toledo,12,52,19,49,0,1,420,35.0
31,32,Arizona State,13,52,26,52,1,3,450,34.6
32,33,Mississippi State,13,58,15,54,0,0,447,34.4
33,34,Notre Dame,13,58,15,50,1,0,445,34.2
34,35,Middle Tennessee,13,58,12,56,0,1,442,34.0
35,35,West Virginia,13,54,21,53,0,1,442,34.0
36,37,USC,14,63,13,58,0,0,475,33.9
37,38,Air Force,14,62,13,58,2,0,473,33.8
38,38,Cincinnati,13,54,21,49,2,0,440,33.8
39,40,BYU,13,57,14,52,1,0,438,33.7
40,41,South Florida,13,56,15,54,0,1,437,33.6
41,42,North Carolina State,13,59,7,55,1,0,432,33.2
42,43,Nebraska,13,52,21,44,3,1,427,32.8
43,43,LSU,12,51,13,49,0,0,394,32.8
44,45,UCLA,13,51,20,47,3,0,419,32.2
45,46,San Diego State,14,57,17,57,0,0,450,32.1
46,47,Florida State,13,50,21,49,0,0,412,31.7
47,48,Duke,13,47,26,42,3,1,410,31.5
48,48,Washington State,13,50,20,49,0,0,409,31.5
49,50,Michigan,13,50,18,46,4,0,408,31.4
50,51,Marshall,13,50,18,49,1,1,407,31.3
51,52,Northern Illinois,14,57,14,52,0,0,436,31.1
52,53,Virginia Tech,13,48,23,44,1,0,403,31.0
53,54,Iowa,14,56,16,49,0,0,433,30.9
54,55,Washington,13,50,16,50,0,0,398,30.6
55,55,Utah,13,47,23,47,0,0,398,30.6
56,57,Idaho,12,42,23,39,2,0,364,30.3
57,58,New Mexico,13,52,8,49,1,1,389,29.9
58,58,Kansas State,13,48,19,44,0,0,389,29.9
59,60,Michigan State,14,55,12,51,0,0,417,29.8
60,60,Temple,14,49,23,44,5,0,417,29.8
61,62,Colorado State,13,48,16,43,2,1,385,29.6
62,63,Georgia Tech,12,47,7,44,1,1,351,29.3
63,64,Utah State,13,49,11,46,1,1,377,29.0
64,65,Louisville,13,47,15,46,0,0,373,28.7
65,66,New Mexico State,12,46,10,37,0,0,343,28.6
66,66,UNLV,12,44,12,43,0,0,343,28.6
67,68,Pittsburgh,13,46,15,42,1,1,367,28.2
68,69,San Jose State,13,48,11,42,0,0,363,27.9
69,69,Troy,12,41,16,39,1,0,335,27.9
70,71,Texas A&M,13,42,22,41,1,0,361,27.8
71,71,Miami (Florida),13,41,25,40,0,0,361,27.8
72,71,SMU,12,44,8,43,0,1,333,27.8
73,74,Ohio,13,44,16,44,0,1,358,27.5
74,74,Auburn,13,41,23,40,1,0,357,27.5
75,76,East Carolina,12,43,10,41,0,0,329,27.4
76,77,Syracuse,12,40,16,37,0,1,327,27.3
77,78,Rutgers,12,42,12,35,1,0,325,27.1
78,79,Georgia State,13,45,12,42,0,1,350,26.9
79,79,Texas State,12,42,11,32,2,1,323,26.9
80,81,Wisconsin,13,42,18,42,0,0,348,26.8
81,82,Buffalo,12,41,13,31,1,1,320,26.7
82,83,Louisiana-Lafayette,12,41,11,32,3,0,317,26.4
83,83,Texas,12,40,13,38,0,0,317,26.4
84,85,Georgia,13,41,18,40,0,1,342,26.3
85,86,Nevada,13,42,17,38,0,0,341,26.2
86,87,Rice,12,41,9,40,0,0,313,26.1
87,88,Central Michigan,13,41,16,38,0,2,336,25.8
88,88,Virginia,12,37,17,34,0,1,309,25.8
89,90,Florida International,12,40,10,32,2,0,306,25.5
90,91,Eastern Michigan,12,39,11,36,1,0,305,25.4
91,92,Purdue,12,41,5,38,1,0,301,25.1
92,93,Iowa State,12,37,14,36,0,0,300,25.0
93,93,South Alabama,12,36,16,32,2,0,300,25.0
94,95,Maryland,12,38,11,33,1,0,296,24.7
95,95,Kentucky,12,35,17,33,1,0,296,24.7
96,97,Colorado,13,38,18,36,1,0,320,24.6
97,98,Old Dominion,12,37,12,31,1,0,291,24.3
98,99,Akron,13,38,15,36,0,1,311,23.9
99,100,Florida,14,44,7,36,1,1,325,23.2
100,100,Penn State,13,36,18,31,0,0,301,23.2
101,102,Ball State,12,33,16,31,0,0,277,23.1
102,103,Illinois,12,32,16,32,0,0,272,22.7
