,Rank,Name,G,Att,Yards,Avg.,TD,Att/G,Yards/G
0,1,Alabama,15,468,1136,2.43,7,31.20,75.73
1,2,Boston College,12,417,998,2.39,6,34.75,83.17
2,3,Akron,13,410,1208,2.95,12,31.54,92.92
3,4,Wisconsin,13,396,1240,3.13,13,30.46,95.38
4,5,Boise State,13,440,1407,3.20,14,33.85,108.23
5,6,Utah,13,430,1412,3.28,11,33.08,108.62
6,7,San Diego State,14,482,1522,3.16,14,34.43,108.71
7,8,Houston,14,480,1524,3.18,16,34.29,108.86
8,9,Nebraska,13,379,1428,3.77,18,29.15,109.85
9,10,Toledo,12,413,1370,3.32,11,34.42,114.17
10,11,Michigan State,14,449,1624,3.62,16,32.07,116.00
11,12,Arkansas,13,403,1514,3.76,25,31.00,116.46
12,13,Louisiana Tech,13,440,1551,3.53,13,33.85,119.31
13,14,Louisville,13,477,1563,3.28,11,36.69,120.23
14,15,Iowa,14,469,1700,3.62,11,33.50,121.43
15,16,Michigan,13,437,1589,3.64,12,33.62,122.23
16,17,LSU,12,387,1475,3.81,14,32.25,122.92
17,18,Clemson,15,531,1879,3.54,18,35.40,125.27
18,19,Washington,13,495,1629,3.29,15,38.08,125.31
19,20,Arizona State,13,450,1637,3.64,16,34.62,125.92
20,21,Northwestern,13,463,1640,3.54,21,35.62,126.15
21,22,Ohio State,13,488,1649,3.38,10,37.54,126.85
22,23,Mississippi,13,496,1652,3.33,9,38.15,127.08
23,24,Temple,14,470,1790,3.81,16,33.57,127.86
24,25,Florida,14,508,1793,3.53,12,36.29,128.07
25,26,Georgia Southern,13,438,1702,3.89,13,33.69,130.92
26,27,Appalachian State,13,497,1710,3.44,15,38.23,131.54
27,28,Missouri,12,484,1593,3.29,11,40.33,132.75
28,29,Central Michigan,13,453,1810,4.00,17,34.85,139.23
29,30,Stanford,14,453,1958,4.32,16,32.36,139.86
30,31,South Florida,13,497,1838,3.70,19,38.23,141.38
31,32,Navy,13,452,1859,4.11,17,34.77,143.00
32,33,Vanderbilt,12,427,1718,4.02,12,35.58,143.17
33,34,BYU,13,511,1870,3.66,22,39.31,143.85
34,35,Kent State,12,494,1727,3.50,15,41.17,143.92
35,36,Air Force,14,483,2026,4.19,20,34.50,144.71
36,37,Florida State,13,493,1889,3.83,10,37.92,145.31
37,38,Memphis,13,540,1904,3.53,24,41.54,146.46
38,39,North Carolina State,13,444,1917,4.32,18,34.15,147.46
39,40,Pittsburgh,13,444,1930,4.35,18,34.15,148.46
40,41,USC,14,527,2090,3.97,17,37.64,149.29
41,42,Georgia,13,491,1943,3.96,11,37.77,149.46
42,43,Penn State,13,510,1963,3.85,19,39.23,151.00
43,44,Arkansas State,13,454,1969,4.34,21,34.92,151.46
44,45,Tennessee,13,470,1971,4.19,13,36.15,151.62
45,46,Southern Mississippi,14,506,2126,4.20,17,36.14,151.86
46,47,Utah State,13,552,1975,3.58,27,42.46,151.92
47,48,Middle Tennessee,13,484,1978,4.09,18,37.23,152.15
48,49,Duke,13,553,1999,3.61,17,42.54,153.77
49,50,Virginia,12,418,1880,4.50,15,34.83,156.67
50,51,West Virginia,13,522,2063,3.95,9,40.15,158.69
51,52,Wake Forest,12,462,1935,4.19,16,38.50,161.25
52,53,Oklahoma,13,552,2102,3.81,15,42.46,161.69
53,54,Maryland,12,521,1953,3.75,23,43.42,162.75
54,54,UTEP,12,394,1953,4.96,19,32.83,162.75
55,56,Baylor,13,552,2120,3.84,17,42.46,163.08
56,57,Georgia Tech,12,422,1981,4.69,24,35.17,165.08
