,Rank,Name,G,Pen.,Yards,Pen./G,Yards/G
0,1,Navy,13,40,339,3.1,26.1
1,2,Georgia Tech,12,38,329,3.2,27.4
2,3,Ball State,12,44,425,3.7,35.4
3,4,San Jose State,13,57,464,4.4,35.7
4,5,Old Dominion,12,49,437,4.1,36.4
5,6,Arkansas,13,55,477,4.2,36.7
6,7,Air Force,14,53,536,3.8,38.3
7,8,Kansas State,13,66,505,5.1,38.8
8,9,Mississippi State,13,53,506,4.1,38.9
9,10,South Carolina,12,60,468,5.0,39.0
10,11,Fresno State,12,59,471,4.9,39.3
11,12,Army,12,48,474,4.0,39.5
12,13,Northwestern,13,58,516,4.5,39.7
13,14,Arizona State,13,60,518,4.6,39.8
14,15,Washington State,13,70,525,5.4,40.4
15,16,Penn State,13,67,529,5.2,40.7
16,17,Iowa State,12,59,489,4.9,40.8
17,17,Pittsburgh,13,65,530,5.0,40.8
18,17,Tennessee,13,66,530,5.1,40.8
19,20,UTEP,12,57,508,4.8,42.3
20,20,Middle Tennessee,13,62,550,4.8,42.3
21,22,Michigan State,14,75,600,5.4,42.9
22,23,Missouri,12,63,517,5.3,43.1
23,24,Idaho,12,54,524,4.5,43.7
24,24,California,13,67,568,5.2,43.7
25,26,UNLV,12,57,538,4.8,44.8
26,27,Notre Dame,13,67,586,5.2,45.1
27,27,UCF,12,64,541,5.3,45.1
28,29,Georgia,13,67,592,5.2,45.5
29,29,Minnesota,13,73,591,5.6,45.5
30,31,Connecticut,13,74,595,5.7,45.8
31,32,Stanford,14,78,648,5.6,46.3
32,32,Clemson,15,84,694,5.6,46.3
33,34,Auburn,13,62,603,4.8,46.4
34,34,North Carolina,14,80,650,5.7,46.4
35,36,Wake Forest,12,61,559,5.1,46.6
36,37,Nevada,13,68,608,5.2,46.8
37,38,Vanderbilt,12,73,566,6.1,47.2
38,39,Duke,13,71,621,5.5,47.8
39,40,Syracuse,12,64,577,5.3,48.1
40,41,Georgia Southern,13,67,629,5.2,48.4
41,42,Arizona,13,74,633,5.7,48.7
42,43,Iowa,14,73,683,5.2,48.8
43,44,Illinois,12,66,589,5.5,49.1
44,45,Florida International,12,69,594,5.8,49.5
45,46,Washington,13,71,651,5.5,50.1
46,46,Ohio State,13,75,651,5.8,50.1
47,46,Northern Illinois,14,81,702,5.8,50.1
48,49,SMU,12,65,604,5.4,50.3
49,49,Louisiana Tech,13,72,654,5.5,50.3
50,51,Oklahoma State,13,75,657,5.8,50.5
51,52,Rutgers,12,79,624,6.6,52.0
52,53,Florida,14,91,737,6.5,52.6
53,54,North Carolina State,13,72,687,5.5,52.8
54,55,Wisconsin,13,75,689,5.8,53.0
55,56,Utah,13,72,693,5.5,53.3
56,57,Tulane,12,70,641,5.8,53.4
57,58,Central Michigan,13,80,695,6.2,53.5
58,58,Boise State,13,82,696,6.3,53.5
59,60,Purdue,12,65,647,5.4,53.9
60,61,Mississippi,13,79,702,6.1,54.0
61,61,Florida State,13,89,702,6.8,54.0
62,63,Charlotte,12,64,652,5.3,54.3
63,64,Texas A&M,13,83,713,6.4,54.8
64,65,South Florida,13,79,714,6.1,54.9
65,66,Temple,14,81,773,5.8,55.2
66,67,Alabama,15,89,835,5.9,55.7
67,67,Colorado,13,80,724,6.2,55.7
68,69,Houston,14,85,783,6.1,55.9
69,70,Western Michigan,13,81,728,6.2,56.0
70,71,Kansas,12,70,674,5.8,56.2
71,71,Texas State,12,74,674,6.2,56.2
72,71,Tulsa,13,91,730,7.0,56.2
73,74,Kentucky,12,69,676,5.8,56.3
74,75,North Texas,12,74,681,6.2,56.8
75,75,Wyoming,12,75,681,6.3,56.8
76,75,Appalachian State,13,84,739,6.5,56.8
77,78,Florida Atlantic,12,75,687,6.3,57.3
78,79,Boston College,12,78,689,6.5,57.4
79,80,Troy,12,80,691,6.7,57.6
80,81,BYU,13,85,750,6.5,57.7
81,82,South Alabama,12,81,693,6.8,57.8
82,83,Western Kentucky,14,83,810,5.9,57.9
83,84,Louisiana-Monroe,13,95,754,7.3,58.0
84,85,San Diego State,14,89,813,6.4,58.1
85,86,New Mexico State,12,77,699,6.4,58.3
86,87,Eastern Michigan,12,81,701,6.8,58.4
87,88,Oregon State,12,76,704,6.3,58.7
88,89,Utah State,13,83,766,6.4,58.9
89,90,Texas,12,77,709,6.4,59.1
90,91,Michigan,13,87,778,6.7,59.8
91,91,Indiana,13,91,778,7.0,59.8
92,93,Oregon,13,90,793,6.9,61.0
93,94,Oklahoma,13,80,800,6.2,61.5
94,95,Louisville,13,97,814,7.5,62.6
95,96,Rice,12,84,752,7.0,62.7
96,97,Virginia Tech,13,96,816,7.4,62.8
97,98,Maryland,12,85,757,7.1,63.1
98,99,Texas Tech,13,91,826,7.0,63.5
99,100,Nebraska,13,94,829,7.2,63.8
100,100,Virginia,12,91,766,7.6,63.8
101,102,Massachusetts,12,89,767,7.4,63.9
102,103,Buffalo,12,84,768,7.0,64.0
103,104,Miami (Ohio),12,89,772,7.4,64.3
104,105,Akron,13,99,845,7.6,65.0
105,106,New Mexico,13,89,849,6.8,65.3
106,106,LSU,12,97,784,8.1,65.3
107,108,Georgia State,13,92,852,7.1,65.5
108,109,UTSA,12,84,788,7.0,65.7
109,110,Marshall,13,91,860,7.0,66.2
110,111,Southern Mississippi,14,98,936,7.0,66.9
111,112,Toledo,12,96,818,8.0,68.2
112,113,USC,14,104,961,7.4,68.6
113,114,East Carolina,12,89,825,7.4,68.8
114,115,Hawai'i,13,107,897,8.2,69.0
115,116,Colorado State,13,97,898,7.5,69.1
116,117,West Virginia,13,87,910,6.7,70.0
117,118,UCLA,13,108,916,8.3,70.5
118,119,TCU,13,94,922,7.2,70.9
119,120,Louisiana-Lafayette,12,85,853,7.1,71.1
120,121,Ohio,13,91,931,7.0,71.6
121,122,Kent State,12,93,872,7.8,72.7
122,123,Cincinnati,13,104,948,8.0,72.9
123,124,Memphis,13,99,976,7.6,75.1
124,125,Arkansas State,13,109,1041,8.4,80.1
125,126,Bowling Green,14,123,1123,8.8,80.2
126,126,Baylor,13,118,1043,9.1,80.2
127,128,Miami (Florida),13,121,1094,9.3,84.2
