,Rank,Name,G,Fum. Gain,Int. Gain,Total Gain,Fum. Lost,Int. Lost,Total Lost,Margin,Margin/G
0,1,Oregon,13,15,25,40,10,9,19,21,1.62
1,2,Boise State,13,18,18,36,9,7,16,20,1.54
2,2,Kansas State,13,14,18,32,3,9,12,20,1.54
3,4,Kent State,14,15,23,38,7,11,18,20,1.43
4,5,Mississippi State,13,15,19,34,8,10,18,16,1.23
5,5,LSU,13,15,18,33,10,7,17,16,1.23
6,7,UTSA,10,15,10,25,6,7,13,12,1.20
7,8,Fresno State,13,13,22,35,12,8,20,15,1.15
8,8,Florida,13,10,20,30,10,5,15,15,1.15
9,8,Ohio,13,12,13,25,5,5,10,15,1.15
10,11,SMU,13,16,21,37,8,15,23,14,1.08
11,11,Northwestern,13,16,13,29,8,7,15,14,1.08
12,11,Louisiana Tech,12,16,10,26,8,5,13,13,1.08
13,14,Alabama,14,11,18,29,12,3,15,14,1.00
14,14,Iowa,12,13,10,23,3,8,11,12,1.00
15,16,Pittsburgh,13,7,15,22,7,3,10,12,0.92
16,17,UCF,14,16,11,27,8,7,15,12,0.86
17,18,New Mexico,13,14,11,25,10,4,14,11,0.85
18,18,Louisville,13,13,11,24,5,8,13,11,0.85
19,20,Middle Tennessee,12,16,12,28,10,8,18,10,0.83
20,20,Texas State,12,12,14,26,8,8,16,10,0.83
21,22,Georgia,14,17,13,30,8,11,19,11,0.79
22,23,Rutgers,13,14,18,32,6,16,22,10,0.77
23,24,Penn State,12,12,10,22,8,5,13,9,0.75
24,25,Cincinnati,13,12,16,28,8,11,19,9,0.69
25,25,Arkansas State,13,10,13,23,9,5,14,9,0.69
26,27,Wake Forest,12,12,11,23,8,7,15,8,0.67
27,28,Stanford,14,12,15,27,8,10,18,9,0.64
28,29,San Jose State,13,17,15,32,15,9,24,8,0.62
29,29,Oregon State,13,11,20,31,7,16,23,8,0.62
30,29,Notre Dame,13,7,16,23,7,8,15,8,0.62
31,32,North Carolina,12,9,16,25,11,7,18,7,0.58
32,32,Miami (Florida),12,11,11,22,8,7,15,7,0.58
33,32,Wyoming,12,14,6,20,5,8,13,7,0.58
34,35,Toledo,13,10,17,27,9,11,20,7,0.54
35,35,Louisiana-Monroe,13,10,16,26,4,15,19,7,0.54
36,35,West Virginia,13,10,10,20,6,7,13,7,0.54
37,38,UCLA,14,17,15,32,14,11,25,7,0.50
38,38,Northern Illinois,14,12,15,27,14,6,20,7,0.50
39,40,Arizona State,13,9,21,30,12,12,24,6,0.46
40,41,Washington,13,16,17,33,14,14,28,5,0.38
41,41,Rice,13,16,11,27,17,5,22,5,0.38
42,41,Texas,13,6,15,21,5,11,16,5,0.38
43,44,Utah,12,14,8,22,9,9,18,4,0.33
44,45,South Carolina,13,9,15,24,11,9,20,4,0.31
45,45,Bowling Green,13,12,10,22,5,13,18,4,0.31
