,Rank,Name,G,10+Yards,20+Yards,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
0,1,Oklahoma,13,262,54,25,14,9,7,4,2,1
1,2,Oklahoma State,13,260,92,41,20,11,7,3,0,0
2,3,Arizona,13,257,77,28,13,7,5,2,0,0
3,3,Texas Tech,13,257,68,23,8,3,1,0,0,0
4,5,Nevada,13,256,63,25,16,5,2,1,0,0
5,6,Oregon,13,249,80,36,16,10,4,4,2,0
6,7,Florida State,14,245,78,34,18,8,7,4,1,0
7,7,Texas A&M,13,245,100,51,19,11,5,5,3,0
8,9,Baylor,13,243,86,57,32,14,10,6,2,0
9,9,Marshall,12,243,63,22,12,7,3,1,0,0
10,11,Georgia,14,238,90,45,28,15,9,4,1,0
11,12,UCLA,14,233,79,35,17,10,7,4,0,0
12,13,Clemson,13,231,87,39,21,12,5,0,0,0
13,13,San Jose State,13,231,77,30,12,8,3,2,0,0
14,15,Louisiana Tech,12,230,77,36,18,9,5,3,1,0
15,16,Arizona State,13,229,72,23,8,5,0,0,0,0
16,16,Northern Illinois,14,229,73,41,23,11,7,4,1,0
17,16,West Virginia,13,229,70,43,24,11,5,5,1,0
18,19,Syracuse,13,223,64,26,10,5,3,0,0,0
19,20,Ball State,13,222,41,15,8,4,2,1,0,0
20,21,Alabama,14,220,76,33,16,8,2,2,1,0
21,22,Nebraska,14,219,80,33,14,11,7,5,1,1
22,23,Fresno State,13,215,78,41,16,10,5,3,3,2
23,23,Oregon State,13,215,67,27,16,7,1,1,0,0
24,25,Tennessee,12,212,66,27,19,5,4,1,0,0
25,26,Louisville,13,209,60,23,11,9,3,2,0,0
26,26,UCF,14,209,68,28,17,6,3,2,1,0
27,28,Ohio,13,208,65,32,19,8,3,1,0,0
28,29,North Carolina,12,207,72,36,15,9,5,1,0,0
29,30,Akron,12,206,45,19,6,3,1,1,0,0
30,30,Houston,12,206,73,31,17,8,5,3,1,0
31,30,Troy,12,206,68,35,17,9,3,1,0,0
32,33,Louisiana-Lafayette,13,205,70,30,21,14,9,8,2,0
33,34,Pittsburgh,13,204,55,22,10,5,2,2,0,0
34,35,Louisiana-Monroe,13,202,58,23,12,7,2,1,1,0
35,35,Toledo,13,202,63,27,15,9,3,0,0,0
36,37,Mississippi,13,200,62,33,17,11,4,2,0,0
37,37,USC,13,200,69,32,19,12,7,6,2,0
38,39,Cincinnati,13,199,81,33,16,10,6,5,1,0
39,39,Tulsa,14,199,71,36,21,9,7,6,1,0
40,41,Arkansas State,13,198,65,34,16,10,5,4,0,0
41,41,Rice,13,198,62,30,12,3,2,1,1,0
42,41,UAB,12,198,63,29,12,7,5,2,0,0
43,41,Wisconsin,14,198,64,26,21,15,6,0,0,0
44,45,Kansas State,13,196,59,25,11,5,2,1,1,1
45,46,North Carolina State,13,195,58,25,13,6,5,3,1,0
46,47,Utah State,13,194,74,38,26,18,13,5,2,0
47,48,East Carolina,13,192,52,22,10,7,3,1,0,0
48,48,Texas,13,192,59,33,22,10,7,3,1,0
49,48,Western Michigan,12,192,65,21,8,3,2,1,1,0
50,51,BYU,13,191,54,16,7,4,2,0,0,0
51,51,Notre Dame,13,191,64,24,10,7,2,0,0,0
52,53,Central Michigan,13,189,61,23,10,6,4,2,1,1
53,54,Boise State,13,187,49,20,10,5,2,2,1,0
54,55,Boston College,12,185,52,20,5,2,1,1,1,1
55,56,Stanford,14,184,47,23,13,5,2,1,0,0
56,57,Mississippi State,13,183,60,19,13,6,4,1,0,0
57,58,Kent State,14,182,68,33,16,7,6,3,1,0
58,58,Western Kentucky,13,182,69,23,8,2,1,1,0,0
59,60,Purdue,13,181,52,25,17,11,6,4,3,0
60,61,Miami (Florida),12,180,63,32,21,15,9,3,1,0
61,61,Ohio State,12,180,53,29,14,10,7,3,0,0
62,63,Miami (Ohio),12,179,51,28,12,5,2,0,0,0
63,63,San Diego State,13,179,57,29,14,6,3,2,2,0
64,65,Iowa State,13,176,44,22,10,4,2,1,0,0
65,66,Duke,13,175,52,28,12,8,4,2,1,1
66,66,Georgia Tech,14,175,71,37,21,12,6,4,1,0
67,66,Virginia Tech,13,175,57,29,18,8,5,3,2,0
68,69,Penn State,12,174,53,22,12,2,0,0,0,0
69,70,Indiana,12,173,55,27,14,9,5,5,0,0
70,71,Navy,13,172,48,21,9,3,2,1,0,0
71,71,South Carolina,13,172,65,27,13,8,4,2,1,1
72,71,Vanderbilt,13,172,55,26,14,11,8,6,2,1
73,74,TCU,13,171,60,27,14,8,6,2,2,1
74,75,Washington State,12,170,60,26,13,5,2,1,1,0
75,76,Buffalo,12,169,53,23,9,1,0,0,0,0
76,76,North Texas,12,169,45,26,14,8,5,3,2,0
77,76,Washington,13,169,49,15,7,1,1,0,0,0
78,79,Army,12,168,43,16,9,6,2,2,0,0
79,79,SMU,13,168,56,21,9,4,3,2,0,0
80,81,Arkansas,12,167,63,25,13,8,6,3,1,0
81,82,Bowling Green,13,166,48,17,10,6,3,2,1,0
82,82,Northwestern,13,166,50,19,9,2,2,2,1,0
83,84,Texas State,12,165,46,24,13,6,4,3,1,1
84,84,Virginia,12,165,60,23,13,5,1,1,0,0
85,86,California,12,164,56,28,12,9,5,2,1,0
86,87,South Florida,12,163,45,18,8,6,1,1,1,0
87,88,Florida,13,162,51,25,9,6,3,3,1,0
88,89,Florida International,12,161,63,28,12,7,2,0,0,0
89,89,UTEP,12,161,47,30,14,8,5,1,0,0
90,91,Air Force,13,159,50,23,16,8,1,0,0,0
91,92,Connecticut,12,157,45,12,5,3,1,1,0,0
92,92,Wyoming,12,157,47,24,14,8,7,5,3,0
93,94,Michigan,13,156,61,38,23,12,7,4,0,0
94,94,Michigan State,13,156,49,20,9,0,0,0,0,0
95,96,South Alabama,13,155,45,13,6,3,2,1,0,0
96,97,Middle Tennessee,12,154,49,20,11,7,5,3,1,1
97,98,Missouri,12,153,49,16,9,7,7,6,2,0
98,99,Kansas,12,152,40,21,13,5,2,0,0,0
99,100,New Mexico State,12,150,45,22,13,8,3,1,1,0
100,100,UNLV,13,150,51,20,13,8,7,3,0,0
101,102,LSU,13,149,59,26,13,7,3,2,0,0
102,103,Florida Atlantic,12,147,38,22,12,3,2,1,0,0
103,104,Kentucky,12,146,39,10,4,3,2,0,0,0
104,105,Auburn,12,145,45,18,7,3,1,1,1,0
105,105,Minnesota,13,145,39,17,6,3,2,1,0,0
106,107,Colorado State,12,144,43,18,8,6,4,2,0,0
107,107,Southern Mississippi,12,144,43,23,12,5,1,1,1,0
108,109,Eastern Michigan,12,143,53,21,12,4,2,1,0,0
109,110,New Mexico,13,142,48,27,17,9,3,2,0,0
110,110,Rutgers,13,142,42,25,15,5,5,2,1,0
111,112,Massachusetts,12,140,29,10,3,2,0,0,0,0
112,113,Hawai'i,12,139,39,14,3,3,0,0,0,0
113,114,Memphis,12,138,39,15,8,3,2,0,0,0
