,Rank,Name,G,Attempts,Conversions,Conversion %
0,1,Clemson,13,18,14,77.78
1,1,Ohio State,12,9,7,77.78
2,3,Northern Illinois,14,27,20,74.07
3,4,East Carolina,13,15,11,73.33
4,5,Louisiana-Lafayette,13,11,8,72.73
5,6,Mississippi,13,18,13,72.22
6,7,Memphis,12,28,20,71.43
7,7,BYU,13,28,20,71.43
8,9,Rice,13,17,12,70.59
9,10,Baylor,13,30,21,70.00
10,11,Michigan,13,13,9,69.23
11,11,Louisville,13,13,9,69.23
12,13,Louisiana Tech,12,29,20,68.97
13,14,Louisiana-Monroe,13,35,24,68.57
14,15,Kent State,14,22,15,68.18
15,16,San Diego State,13,24,16,66.67
16,16,North Carolina,12,21,14,66.67
17,16,Middle Tennessee,12,18,12,66.67
18,19,Oregon,13,31,20,64.52
19,20,Nevada,13,28,18,64.29
20,20,Navy,13,28,18,64.29
21,22,Alabama,14,11,7,63.64
22,22,Oklahoma,13,11,7,63.64
23,22,Florida,13,11,7,63.64
24,22,Nebraska,14,11,7,63.64
25,26,Syracuse,13,19,12,63.16
26,27,Texas Tech,13,16,10,62.50
27,27,Kansas State,13,8,5,62.50
28,29,Georgia Tech,14,37,23,62.16
29,30,Mississippi State,13,21,13,61.90
30,31,Wyoming,12,20,12,60.00
31,31,UCF,14,15,9,60.00
32,31,Ball State,13,15,9,60.00
33,34,Purdue,13,27,16,59.26
34,35,South Carolina,13,17,10,58.82
35,35,Maryland,12,17,10,58.82
36,37,Texas A&M,13,12,7,58.33
37,38,Air Force,13,43,25,58.14
38,39,Iowa State,13,14,8,57.14
39,39,LSU,13,7,4,57.14
40,41,Tulsa,14,37,21,56.76
41,42,Vanderbilt,13,30,17,56.67
42,43,Texas,13,23,13,56.52
43,44,Penn State,12,34,19,55.88
44,45,Virginia,12,27,15,55.56
45,45,Duke,13,27,15,55.56
46,47,Michigan State,13,11,6,54.55
47,48,Stanford,14,13,7,53.85
48,49,Northwestern,13,15,8,53.33
49,49,Pittsburgh,13,15,8,53.33
50,51,Oregon State,13,23,12,52.17
51,51,Marshall,12,23,12,52.17
52,53,North Carolina State,13,27,14,51.85
53,54,Army,12,41,21,51.22
54,55,Fresno State,13,32,16,50.00
55,55,Utah,12,26,13,50.00
56,55,Colorado,12,26,13,50.00
57,55,South Alabama,13,24,12,50.00
58,55,North Texas,12,22,11,50.00
59,55,UCLA,14,22,11,50.00
60,55,Indiana,12,22,11,50.00
61,55,Ohio,13,20,10,50.00
62,55,TCU,13,20,10,50.00
63,55,Wisconsin,14,18,9,50.00
64,55,Eastern Michigan,12,16,8,50.00
65,55,Arkansas State,13,14,7,50.00
66,55,Oklahoma State,13,14,7,50.00
67,55,San Jose State,13,14,7,50.00
68,55,Western Michigan,12,12,6,50.00
69,55,South Florida,12,10,5,50.00
70,55,Utah State,13,10,5,50.00
71,55,Cincinnati,13,8,4,50.00
72,55,Notre Dame,13,6,3,50.00
73,55,Florida State,14,6,3,50.00
74,75,West Virginia,13,35,17,48.57
75,76,USC,13,27,13,48.15
76,76,New Mexico,13,27,13,48.15
77,78,Arizona,13,23,11,47.83
78,79,Wake Forest,12,21,10,47.62
79,79,Colorado State,12,21,10,47.62
80,81,Tennessee,12,19,9,47.37
81,82,Miami (Florida),12,17,8,47.06
82,82,Toledo,13,17,8,47.06
83,84,Florida International,12,24,11,45.83
84,85,Boise State,13,22,10,45.45
85,86,Akron,12,20,9,45.00
86,87,Washington State,12,27,12,44.44
87,87,Idaho,12,18,8,44.44
88,87,Georgia,14,9,4,44.44
89,90,Massachusetts,12,32,14,43.75
90,90,Minnesota,13,16,7,43.75
91,90,Southern Mississippi,12,16,7,43.75
92,93,Buffalo,12,23,10,43.48
93,93,Missouri,12,23,10,43.48
94,95,Troy,12,14,6,42.86
95,96,Washington,13,24,10,41.67
96,97,Illinois,12,15,6,40.00
97,98,Arizona State,13,18,7,38.89
98,98,Western Kentucky,13,18,7,38.89
99,100,UNLV,13,26,10,38.46
100,100,Houston,12,26,10,38.46
101,100,Hawai'i,12,26,10,38.46
102,100,UTSA,10,13,5,38.46
103,104,UTEP,12,21,8,38.10
104,105,Florida Atlantic,12,22,8,36.36
105,105,New Mexico State,12,22,8,36.36
106,105,Texas State,12,22,8,36.36
107,108,UAB,12,28,10,35.71
108,109,Miami (Ohio),12,20,7,35.00
109,109,Virginia Tech,13,20,7,35.00
110,109,Iowa,12,20,7,35.00
111,112,Bowling Green,13,23,8,34.78
112,113,Kansas,12,32,11,34.38
113,114,Arkansas,12,18,6,33.33
114,114,Auburn,12,9,3,33.33
115,116,Temple,11,16,5,31.25
116,116,SMU,13,16,5,31.25
117,118,Central Michigan,13,13,4,30.77
118,118,California,12,13,4,30.77
119,120,Rutgers,13,10,3,30.00
120,121,Boston College,12,18,5,27.78
121,121,Tulane,12,18,5,27.78
122,123,Connecticut,12,7,1,14.29
123,124,Kentucky,12,22,3,13.64
