,Rank,Name,G,20+Yards,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
0,1,North Carolina,12,11,4,2,2,2,2,0,0
1,2,Florida State,14,9,5,3,2,2,1,0,0
2,2,South Carolina,13,9,6,4,3,2,1,0,0
3,2,Texas A&M,13,9,5,1,1,1,1,1,1
4,5,Texas State,12,8,4,2,2,1,1,0,0
5,6,Kansas State,13,7,6,2,1,1,1,1,0
6,7,Alabama,14,6,3,0,0,0,0,0,0
7,7,Hawai'i,12,6,3,1,1,1,0,0,0
8,7,Memphis,12,6,2,1,1,0,0,0,0
9,7,Missouri,12,6,4,4,3,3,2,0,0
10,7,Nevada,13,6,3,1,1,0,0,0,0
11,7,Oklahoma,13,6,5,5,3,3,2,2,1
12,7,Oklahoma State,13,6,2,1,1,1,0,0,0
13,7,UAB,12,6,1,1,1,1,1,0,0
14,15,BYU,13,5,3,1,0,0,0,0,0
15,15,Boise State,13,5,2,0,0,0,0,0,0
16,15,California,12,5,1,1,1,1,0,0,0
17,15,Connecticut,12,5,4,2,2,1,1,1,0
18,15,Duke,13,5,1,1,1,1,0,0,0
19,15,Nebraska,14,5,2,2,1,1,1,1,0
20,15,Ohio,13,5,4,0,0,0,0,0,0
21,15,Oregon,13,5,4,3,1,1,1,0,0
22,15,TCU,13,5,3,3,3,3,1,0,0
23,15,Temple,11,5,2,1,0,0,0,0,0
24,15,UCLA,14,5,2,1,0,0,0,0,0
25,15,Utah State,13,5,3,1,0,0,0,0,0
26,15,Virginia Tech,13,5,2,2,1,1,1,1,1
27,28,Akron,12,4,1,1,1,0,0,0,0
28,28,Arizona State,13,4,1,0,0,0,0,0,0
29,28,Boston College,12,4,3,3,2,2,2,1,0
30,28,Cincinnati,13,4,1,1,0,0,0,0,0
31,28,Florida,13,4,4,1,1,0,0,0,0
32,28,Fresno State,13,4,1,1,1,1,1,0,0
33,28,Georgia,14,4,1,0,0,0,0,0,0
34,28,Georgia Tech,14,4,2,2,2,0,0,0,0
35,28,Kentucky,12,4,0,0,0,0,0,0,0
36,28,Maryland,12,4,1,0,0,0,0,0,0
37,28,Massachusetts,12,4,0,0,0,0,0,0,0
38,28,North Carolina State,13,4,2,2,1,1,1,0,0
39,28,Northern Illinois,14,4,3,1,0,0,0,0,0
40,28,Northwestern,13,4,3,3,3,2,2,1,0
41,28,Toledo,13,4,3,2,2,1,0,0,0
42,28,UCF,14,4,3,1,1,0,0,0,0
43,28,USC,13,4,2,0,0,0,0,0,0
44,28,Vanderbilt,13,4,2,2,1,1,1,1,0
45,28,Washington,13,4,1,0,0,0,0,0,0
46,28,Western Michigan,12,4,2,1,0,0,0,0,0
47,48,Arizona,13,3,1,1,1,1,0,0,0
48,48,Baylor,13,3,2,1,0,0,0,0,0
49,48,Bowling Green,13,3,1,1,1,1,1,1,0
50,48,LSU,13,3,3,2,2,2,2,1,0
51,48,Louisiana Tech,12,3,1,0,0,0,0,0,0
52,48,Michigan,13,3,1,1,0,0,0,0,0
53,48,Minnesota,13,3,0,0,0,0,0,0,0
54,48,Penn State,12,3,0,0,0,0,0,0,0
55,48,Pittsburgh,13,3,3,1,0,0,0,0,0
56,48,SMU,13,3,3,1,1,0,0,0,0
57,48,Tennessee,12,3,2,1,1,1,1,1,0
58,48,Wisconsin,14,3,2,1,1,1,1,1,0
59,48,Wyoming,12,3,2,1,0,0,0,0,0
60,61,Arkansas,12,2,0,0,0,0,0,0,0
61,61,Arkansas State,13,2,0,0,0,0,0,0,0
62,61,Auburn,12,2,2,0,0,0,0,0,0
63,61,Ball State,13,2,0,0,0,0,0,0,0
64,61,Buffalo,12,2,2,0,0,0,0,0,0
65,61,East Carolina,13,2,2,2,0,0,0,0,0
66,61,Florida Atlantic,12,2,1,1,0,0,0,0,0
67,61,Florida International,12,2,1,1,0,0,0,0,0
68,61,Idaho,12,2,0,0,0,0,0,0,0
69,61,Iowa,12,2,0,0,0,0,0,0,0
70,61,Iowa State,13,2,1,1,0,0,0,0,0
71,61,Kansas,12,2,1,0,0,0,0,0,0
72,61,Louisiana-Lafayette,13,2,0,0,0,0,0,0,0
73,61,Miami (Florida),12,2,0,0,0,0,0,0,0
74,61,Michigan State,13,2,2,1,0,0,0,0,0
75,61,Mississippi State,13,2,0,0,0,0,0,0,0
76,61,Ohio State,12,2,2,2,2,2,1,0,0
77,61,Oregon State,13,2,0,0,0,0,0,0,0
78,61,Rutgers,13,2,0,0,0,0,0,0,0
79,61,San Diego State,13,2,0,0,0,0,0,0,0
80,61,South Alabama,13,2,2,0,0,0,0,0,0
81,61,South Florida,12,2,1,0,0,0,0,0,0
82,61,Stanford,14,2,2,1,1,1,1,0,0
83,61,Syracuse,13,2,1,0,0,0,0,0,0
84,61,Texas Tech,13,2,0,0,0,0,0,0,0
85,61,Troy,12,2,2,1,1,0,0,0,0
86,61,Tulsa,14,2,1,1,1,0,0,0,0
87,61,UTEP,12,2,0,0,0,0,0,0,0
88,61,UTSA,10,2,1,1,1,1,1,0,0
89,61,Virginia,12,2,0,0,0,0,0,0,0
90,61,Wake Forest,12,2,2,1,1,1,0,0,0
91,61,West Virginia,13,2,2,2,1,1,1,0,0
92,61,Western Kentucky,13,2,1,1,1,1,1,0,0
93,94,Air Force,13,1,1,0,0,0,0,0,0
94,94,Army,12,1,1,0,0,0,0,0,0
95,94,Colorado,12,1,0,0,0,0,0,0,0
96,94,Colorado State,12,1,1,1,1,1,1,0,0
97,94,Eastern Michigan,12,1,0,0,0,0,0,0,0
98,94,Houston,12,1,0,0,0,0,0,0,0
99,94,Indiana,12,1,0,0,0,0,0,0,0
100,94,Louisiana-Monroe,13,1,0,0,0,0,0,0,0
101,94,Louisville,13,1,1,0,0,0,0,0,0
102,94,Marshall,12,1,1,0,0,0,0,0,0
103,94,Middle Tennessee,12,1,0,0,0,0,0,0,0
104,94,Mississippi,13,1,0,0,0,0,0,0,0
105,94,Navy,13,1,1,1,0,0,0,0,0
106,94,New Mexico,13,1,1,0,0,0,0,0,0
107,94,Purdue,13,1,0,0,0,0,0,0,0
108,94,San Jose State,13,1,0,0,0,0,0,0,0
109,94,Texas,13,1,1,0,0,0,0,0,0
110,94,Tulane,12,1,1,1,1,0,0,0,0
111,94,UNLV,13,1,0,0,0,0,0,0,0
112,94,Utah,12,1,1,1,1,0,0,0,0
113,94,Washington State,12,1,0,0,0,0,0,0,0
114,115,Central Michigan,13,0,0,0,0,0,0,0,0
115,115,Clemson,13,0,0,0,0,0,0,0,0
116,115,Illinois,12,0,0,0,0,0,0,0,0
117,115,Kent State,14,0,0,0,0,0,0,0,0
118,115,Miami (Ohio),12,0,0,0,0,0,0,0,0
119,115,New Mexico State,12,0,0,0,0,0,0,0,0
120,115,North Texas,12,0,0,0,0,0,0,0,0
121,115,Notre Dame,13,0,0,0,0,0,0,0,0
