,Rank,Name,G,Att,Comp,Pct.,Yards,Yards/Att,TD,Int,Rating,Att/G,Yards/G
0,1,Florida State,14,453,221,48.8,2266,5.0,13,11,95.42,32.4,161.9
1,2,Fresno State,13,380,196,51.6,2173,5.7,15,22,101.06,29.2,167.2
2,3,Arizona State,13,394,198,50.3,2183,5.5,23,21,105.40,30.3,167.9
3,4,Nebraska,14,397,187,47.1,2354,5.9,18,13,105.31,28.4,168.1
4,5,Boise State,13,376,219,58.2,2203,5.9,4,18,101.41,28.9,169.5
5,5,Michigan,13,330,198,60.0,2203,6.7,16,7,127.84,25.4,169.5
6,7,Alabama,14,397,217,54.7,2431,6.1,8,18,103.67,28.4,173.6
7,8,Georgia,14,351,200,57.0,2459,7.0,13,13,120.64,25.1,175.6
8,9,Michigan State,13,425,223,52.5,2285,5.4,10,14,98.80,32.7,175.8
9,10,BYU,13,378,214,56.6,2329,6.2,12,12,112.49,29.1,179.2
10,11,Hawai'i,12,308,169,54.9,2193,7.1,20,9,130.27,25.7,182.8
11,12,Minnesota,13,404,231,57.2,2426,6.0,15,13,113.43,31.1,186.6
12,13,Bowling Green,13,411,238,57.9,2471,6.0,11,10,112.37,31.6,190.1
13,14,Vanderbilt,13,432,232,53.7,2493,5.8,7,11,102.44,33.2,191.8
14,14,Texas Tech,13,365,198,54.2,2493,6.8,25,8,129.84,28.1,191.8
15,16,Florida,13,444,231,52.0,2498,5.6,7,20,95.48,34.2,192.2
16,17,Louisville,13,382,219,57.3,2500,6.5,22,11,125.55,29.4,192.3
17,18,Wisconsin,14,464,255,55.0,2711,5.8,18,8,113.39,33.1,193.6
18,19,Illinois,12,288,180,62.5,2324,8.1,21,7,149.48,24.0,193.7
19,20,Pittsburgh,13,414,237,57.2,2524,6.1,15,15,113.17,31.8,194.2
20,21,South Carolina,13,379,213,56.2,2533,6.7,18,15,120.09,29.2,194.8
21,22,Army,12,254,162,63.8,2340,9.2,19,7,160.34,21.2,195.0
