,Rank,Name,G,Att,Comp,Pct.,Yards,Yards/Att,TD,Int,Rating,Att/G,Yards/G
0,1,Marshall,12,607,424,69.9,4381,7.2,39,12,147.72,50.6,365.1
1,2,Texas Tech,13,594,418,70.4,4627,7.8,44,16,154.86,45.7,355.9
2,3,Louisiana Tech,12,533,365,68.5,4209,7.9,33,5,153.36,44.4,350.8
3,4,Baylor,13,475,294,61.9,4427,9.3,34,13,158.34,36.5,340.5
4,5,Oklahoma,13,571,376,65.8,4379,7.7,30,11,143.76,43.9,336.8
5,6,San Jose State,13,468,336,71.8,4325,9.2,35,9,170.25,36.0,332.7
6,7,Oklahoma State,13,495,312,63.0,4312,8.7,34,16,152.41,38.1,331.7
7,8,Troy,12,509,337,66.2,3978,7.8,22,12,141.40,42.4,331.5
8,9,Washington State,12,624,363,58.2,3965,6.4,23,21,116.97,52.0,330.4
9,10,West Virginia,13,532,374,70.3,4285,8.1,44,7,162.62,40.9,329.6
10,11,Houston,12,591,337,57.0,3941,6.7,27,20,121.34,49.3,328.4
11,12,Fresno State,13,535,352,65.8,4233,7.9,38,8,152.70,41.2,325.6
12,13,Clemson,13,474,318,67.1,4176,8.8,40,14,163.03,36.5,321.2
13,14,Texas A&M,13,492,329,66.9,4114,8.4,28,10,151.82,37.8,316.5
14,15,Tennessee,12,477,285,59.7,3787,7.9,35,14,144.79,39.8,315.6
15,16,Akron,12,583,364,62.4,3753,6.4,30,18,127.32,48.6,312.8
16,17,Indiana,12,537,330,61.5,3744,7.0,24,13,129.92,44.8,312.0
17,18,North Carolina State,13,569,330,58.0,4031,7.1,31,17,129.51,43.8,310.1
18,19,UAB,12,479,279,58.2,3706,7.7,21,13,132.28,39.9,308.8
19,20,Oregon State,13,505,315,62.4,3992,7.9,27,16,140.09,38.8,307.1
20,21,Arkansas,12,459,272,59.3,3618,7.9,23,16,135.04,38.3,301.5
21,22,Miami (Ohio),12,495,311,62.8,3584,7.2,26,12,136.13,41.3,298.7
22,23,Arizona,13,538,326,60.6,3879,7.2,30,15,133.98,41.4,298.4
23,24,Louisville,13,456,307,67.3,3849,8.4,27,8,154.26,35.1,296.1
24,25,Miami (Florida),12,447,264,59.1,3545,7.9,23,7,139.53,37.3,295.4
